"9818 Longden Avenue, Temple City, California 91780",5385-022-007,B24-46385,Building,"NEW 2-STORY SINGLE FAMILY DWELLING: 5 BEDROOMS, 4.5 BATHROOMS WITH ATTACHED 2-CAR GARAGE AND COVERED PORCH.","$533,811.55",Issued,03-20-2024,04-01-2025,"Assen Homes, Inc."
"9820 Longden Avenue, Temple City, California 91780",5385-022-007,B24-46386,Building,"NEW 2-STORY SINGLE FAMILY DWELLING: 4 BEDROOMS, 5 BATHROOMS WITH ATTACHED 2-CAR GARAGE AND COVERED PORCH.","$536,078.1",Issued,03-20-2024,04-01-2025,"Assen Homes, Inc."
"9822 Longden Avenue, Temple City, California 91780",5385-022-007,B24-46387,Building,"NEW 2-STORY FAMILY DWELLING UNIT: 4 BEDROOMS, 4.5 BATHROOMS WITH ATTACHED 2-CAR GARAGE AND COVERED PORCH.","$514,207.16",Issued,03-20-2024,04-01-2025,"Assen Homes, Inc."
"9824 Longden Avenue, Temple City, California 91780",5385-022-007,B24-46388,Building,"NEW 2-STORY SINGLE FAMILY DWELLING: 5 BEDROOMS, 4.5 BATHROOMS WITH ATTACHED 2-CAR GARAGE AND COVERED PORCH.","$530,040.36",Issued,03-20-2024,04-01-2025,"Assen Homes, Inc."
"6103 Kauffman Avenue, Temple City, California 91780",5385-017-009,B25-48881,Building,"TEAR OFF/REROOF 17 SQUARES. INSTALL 15LB FELT UNDERLAYMENT AND COMP SHINGLES: GAF TIMBERLINE HDZ-SANDALWOOD CRRC #0676-0133B","$13,151",Finaled,04-01-2025,04-01-2025,"Roof Doctors"
"9089 Emperor Avenue, San Gabriel, California 91775",5382-012-023,E25-48882,Electrical,"TEMPORARY POWER POLE",$0,Finaled,04-01-2025,04-01-2025,"Romani Construction and Development"
"9818 - 9824 Longden Avenue, Temple City, California 91780",5385-022-007,G23-43939,Grading,"GRADING FOR FOUR NEW SINGLE FAMILY DWELLINGS (SEE ALSO GRADING PLAN CHECK # G20-40098)",$0,Issued,01-23-2023,04-01-2025,"Assen Homes, Inc."
"9227 Olive Street, Temple City, California 91780",8588-031-011,B24-46553,Building,"NEW 2-STORY SINGLE FAMILY DWELLING: 4 BEDROOMS, 4 BATHROOMS AND FRONT PORCH","$540,000",Issued,04-11-2024,04-02-2025,Owner-Builder
"6229 Encinita Avenue Unit B , Temple City, California 91780",5384-011-021,B25-48884,Building,"INSTALL FIRE SPRINKLER FOR A NEW DETACHED ACCESSORY DWELLING UNIT",$3500,Issued,04-02-2025,04-02-2025,"Premium Fire & Safety Services Inc."
"6346 Barela Avenue, Temple City, California 91780",5383-018-003,E25-48888,Electrical,"UPGRADE ELECTRICAL PANEL FROM 100 AMP TO 200 AMP AND INSTALL A 240V EV CHARGER OUTLET",$0,Issued,04-02-2025,04-02-2025,"JBL Electrical & Energy Inc."
"9006 Garibaldi Avenue, Temple City, California 91780",5384-016-067,E25-48889,Electrical,"UPGRADE ELECTRICAL PANEL FROM 100 AMP TO 200 AMP AND INSTALL A 240V EV CHARGER OUTLET NEXT TO MAIN PANEL",$0,Issued,04-02-2025,04-02-2025,"JBL Electrical & Energy Inc."
"9227 Olive Street, Temple City, California 91780",8588-031-011,G24-47346,Grading,"GRADING FOR A NEW SINGLE FAMILY DWELLING",$0,Issued,08-22-2024,04-02-2025,Owner-Builder
"9552 Live Oak Avenue, Temple City, California 91780",8588-007-005,G25-48886,Grading,"DEMOLISH EXISTING POOL WITH BACKFILLING WITH STRUCTURAL COMPACTED FILL",$0,Issued,04-02-2025,04-02-2025,"World Demolition"
"9552 Live Oak Avenue, Temple City, California 91780",8588-007-005,MISC25-48885,Miscellaneous,"DEMOLISH EXISTING POOL WITH BACKFILLING WITH STRUCTURAL COMPACTED FILL",$0,Issued,04-02-2025,04-02-2025,"World Demolition"
"5312 Temple City Boulevard Unit B , Temple City, California 91780",8589-001-013,B24-47532,Building,"NEW DETACHED ACCESSORY DWELLING UNIT: TWO BEDROOMS, TWO BATHROOMS, KITCHEN AND FRONT PORCH","$106,009.98",Issued,09-18-2024,04-03-2025,"WZ Home Design Inc."
"6023 Rowland Avenue Unit B, Temple City, California 91780",5385-028-008,B24-47911,Building,"NEW 800 SQ.FT. DETACHED ACCESSORY DWELLING UNIT: TWO BEDROOMS, TWO BATHROOMS AND KITCHEN","$150,000",Issued,11-12-2024,04-03-2025,"MMA Construction Corp."
"5711 Rio Hondo Avenue, Temple City, California 91780",8587-003-022,B25-48898,Building,"TEAR OFF REROOF MAIN HOUSE ADD NEW SHEATHING. INSTALL GAF SANDWOOD COOL ROOF SHINGLES","$11,000",Finaled,04-03-2025,04-03-2025,"United Master Roofing Inc."
"5711 Rio Hondo Avenue, Temple City, California 91780",8587-003-022,B25-48899,Building,"TEAR OFF REROOF DETACHED GARAGE ADD NEW SHEATHING. INSTALL GAF SANDWOOD COOL ROOF SHINGLES",$3000,Finaled,04-03-2025,04-03-2025,"United Master Roofing Inc."
"5312 Temple City Boulevard, Temple City, California 91780",8589-001-013,D25-48808,Demolition,"DEMOLITION OF EXISTING DETACHED GARAGE",$0,Issued,03-24-2025,04-03-2025,"WZ Home Design Inc."
"5312 Temple City Boulevard Unit B , Temple City, California 91780",8589-001-013,E25-48805,Electrical,"ELECTRICAL FOR A NEW DETACHED ACCESSORY DWELLING UNIT WITH A SUB-PANEL 100 AMP",$0,Issued,03-24-2025,04-03-2025,"WZ Home Design Inc."
"6023 Rowland Avenue Unit B , Temple City, California 91780",5385-028-008,E25-48894,Electrical,"ELECTRICAL FOR A NEW DETACHED ACCESSORY DWELLING UNIT",$0,Issued,04-03-2025,04-03-2025,"MMA Construction Corp."
"9063 Acaso Drive, Temple City, California 91780",5388-016-005,E25-48900,Electrical,"UPGRADE ELECTRICAL PANEL TO 200 AMP SERVICE",$0,Issued,04-03-2025,04-03-2025,"Timax Electric Inc."
"5312 Temple City Boulevard Unit B , Temple City, California 91780",8589-001-013,M25-48806,Mechanical,"INSTALL (3) MINI SPLIT SYSTEMS AND VENTILATION FANS FOR A NEW DETACHED ACCESSORY DWELLING UNIT",$0,Issued,03-24-2025,04-03-2025,"WZ Home Design Inc."
"6023 Rowland Avenue Unit B , Temple City, California 91780",5385-028-008,M25-48895,Mechanical,"INSTALL (3) MINI SPLIT SYSTEM AND VENTILATION FANS FOR THE NEW DETACHED ACCESSORY DWELLING UNIT",$0,Issued,04-03-2025,04-03-2025,"MMA Construction Corp."
"5312 Temple City Boulevard Unit B , Temple City, California 91780",8589-001-013,P25-48807,Plumbing,"PLUMBING FOR A NEW DETACHED ACCESSORY DWELLING UNIT AND CONNECT TO PUBLIC SEWER",$0,Issued,03-24-2025,04-03-2025,"WZ Home Design Inc."
"6023 Rowland Avenue Unit B , Temple City, California 91780",5385-028-008,P25-48896,Plumbing,"PLUMBING FOR A NEW DETACHED ACCESSORY DWELLING UNIT AND CONNECT TO PUBLIC SEWER",$0,Issued,04-03-2025,04-03-2025,"MMA Construction Corp."
"5322 Buttons Avenue, Temple City, California 91780",8590-004-028,P25-48897,Plumbing,"REMOVE EXISTING WATER LINE & INSTALL NEW WATER LINE",$0,Issued,04-03-2025,04-03-2025,"Jung Chi Yu"
"5338 Camellia Avenue, Temple City, California 91780",8589-002-017,B25-48902,Building,"PREFABRICATED FIREPLACE. REMOVAL AND REPLACING IT WITH A UL LISTED PREFABRICATED ELECTRIC FIREPLACE. MODERN FLAMES SPECTRUM SLIMLINE",$7000,Issued,04-07-2025,04-07-2025,"The PyroGuy LLC"
"5739 Agnes Avenue, Temple City, California 91780",8587-028-009,B25-48904,Building,"MAIN HOUSE ONLY. TEAR OFF EXISTING ROOFING WITH EXISTING SOLID SHEETING. RE-ROOF WITH NEW GAF TIMBERLINE HDZ COLOR: BIRCHWOOD CRRC # 0676-0096","$17,000",Issued,04-07-2025,04-07-2025,"California Construction & Roofing Inc."
