permit_number,status,permit_type,applied_date,issued_date,address,parcel_number,fee,valuation,description
BLD25-3880,Finaled,"Building Permit No Plan Check",7/1/2025,07/01/2025,"3970 Llano Rd Bellevue [BEL]",134-231-028,$374.76,$0.00,"SFD, Upgrade Main Panel from 100A to 200A"
BLD25-3881,Finaled,"Building Permit No Plan Check",7/1/2025,07/01/2025,"4201 Shook Rd Graton [GRA]",130-080-036,$397.65,$0.00,"Remove existing roof Replace rot if encountered Install synthetic underlayment Install 30 year composition shingles New ridge cap New metal flashing as needed Add eyebrow vents as needed Pitch:5/12 Total Cost $5,000"
BLD25-3882,Issued,"Building Permit No Plan Check",7/1/2025,07/01/2025,"14105 Woodland Dr Guerneville [GUE]",070-070-032,$546.73,$0.00,"Tear off & Reroof *Self Cert* with Asphalt Shingles 20 SQ"
BLD25-3883,Finaled,"Building Permit No Plan Check",7/1/2025,07/02/2025,"369 Horn Ave Bellevue [BEL]",045-161-035,$374.76,$0.00,"Install new Breakers in existing Electrical Panel for new Septic System"
BLD25-3885,Issued,"Building Permit No Plan Check",7/1/2025,07/01/2025,"1036 Pleasant Hill Rd Twin Hills [TWI]",076-071-054,$370.00,$0.00,"Replace old 100a meter main panel with new 200a meter main panel"
BLD25-3887,Finaled,"Building Permit No Plan Check",7/1/2025,07/01/2025,"15688 Norton Rd Healdsburg [HEA]",089-061-017,$374.76,$0.00,"SFD - Replace wall furnace in hallway with 24k HP minisplit system; HP condenser located under deck, 24k wall mount indoor unit located in living room"
BLD25-3888,Issued,"Building Permit No Plan Check",7/1/2025,07/01/2025,"1985 Westside Rd A Healdsburg [HEA]",110-150-021,$370.00,$0.00,"Upgrade electric panel to 400A"
BLD25-3889,Finaled,"Building Permit No Plan Check",7/1/2025,07/01/2025,"3150 Sonoma Mountain Rd Penngrove [PEN]",136-180-002,$553.61,$0.00,"For Garage - Remove/Inspect/Replace all siding, door & window trim, weather resistive barrier, and flashing (as requested by inspector Scott Anderson). Verify Sheer Wall Nailing per Structural Drawings for BLD16-1013/1014, Install W.R.B Flashings, Siding, & Trim. Associated w/ BLD25-3115"
BLD25-3900,"Application Accepted/In Review","Building Permit No Plan Check",7/1/2025,,"17132 Bodega Ln Bodega Bay [BBY]",103-120-019,$0.00,$0.00,"Project Description: This permit application is being submitted to regularize the unpermitted installation of a 250-gallon underground propane tank, which was professionally installed on April 28, 2025 by licensed technicians from McPhail Fuel Company. The tank was placed on the north side of the property, in the same location where an above-ground tank had previously been situated. A licensed plumber installed the associated gas line, which is currently pressurized and ready for county inspection. The permit application was discussed with Dan Patalano at the County prior to submission. Scope Includes: Installation of a 250-gallon underground propane tank by McPhail Fuel Company technicians. Installation of a gas line by a licensed plumber. Pressure test completed and system ready for inspection. All work completed in accordance with industry standards and safety codes. Purpose of Permit: This permit is requested after-the-fact to bring the installation into compliance. The owner was unaware that a permit was required for an underground propane tank installation and is now seeking to regularize the situation in coordination with the County."
BLD25-3902,Issued,"Building Permit No Plan Check",7/1/2025,07/01/2025,"9633 Hwy 116 N Forestville [FOR]",083-240-028,$547.03,$0.00,"GRANNY UNIT SFD-Re-Roof-T/o existing comp, 1 layer, install GAF UHDZ Class A shingles in Pewter Grey pitch 8/12, 12 squares, no resheeting* self certify."
