permit_number,status,permit_type,applied_date,issued_date,address,parcel_number,fee,valuation,description
BLD25-6705,Issued,"Building Permit No Plan Check",11/2/2025,11/04/2025,"1460 High School Rd Graton [GRA]",060-303-011,$374.76,,"SFD, UNINSTALL/REINSTALLPROJECT UNINSTALL AND REINSTALL OF 17 (E) SOLARCITY SC325 SOLARMODULES AF"
BLD25-6706,Finaled,"Building Permit No Plan Check",11/3/2025,11/03/2025,"1460 High School Rd Graton [GRA]",060-303-011,$557.62,$0.00,"Remove & dispose off existing roofing material, install new roof, re-flash pipes, vent to code."
BLD25-6707,Issued,"Building Permit No Plan Check",11/3/2025,11/03/2025,"1150 Butler Ave Bellevue [BEL]",134-051-005,$374.76,$0.00,"Replacement 100 AMP service panel for agricultural well."
BLD25-6708,"Pre- Due","Building Permit No Plan Check",11/3/2025,,"4305 Hwy 116 S Sebastopol [SEB]",062-070-005,$555.88,$0.00,"Re.roof. Removing existing roof materials and installing 47 squares of GAF Timberline HDZ RS roofing system on a single family dwelling. Job value: $29,738.33. Self-certified."
BLD25-6709,Issued,"Building Permit No Plan Check",11/3/2025,11/03/2025,"2987 Parnell Rd Santa Rosa [SRO]",059-060-020,$374.76,$0.00,"Remove a 100 Amp Main Panel and Replace with a 225 Amp Main Panel."
BLD25-6710,Issued,"Building Permit No Plan Check",11/3/2025,11/03/2025,"5280 Las Flores Rd Bodega Bay [BBY]",101-240-008,$374.76,$0.00,"replace meter main electrical panel like for like 100 amp"
BLD25-6711,Issued,"Building Permit No Plan Check",11/3/2025,11/03/2025,"3337 Calistoga Rd Rincon Valley [RIN]",028-320-043,$374.76,$0.00,"ELECTRIC FOR SEPTIC (189)"
BLD25-6713,"Pre- Due","Building Permit No Plan Check",11/3/2025,,"655 Gull Dr Bodega Bay [BBY]",100-370-028,$924.88,$0.00,"Re roof house. Flashings, gutters, and downspouts are heavy copper in good shape and are to remain unless damage is found. Replace insulation and repair drywall damage in garage ceiling. Replace 1 exterior GFCI outlet that quit working."
BLD25-6714,Issued,"Building Permit No Plan Check",11/3/2025,12/02/2025,"1500 Country Club Dr Petaluma [PET]",019-220-042,$553.61,$0.00,"replace like for like grease trap"
BLD25-6715,Issued,"Building Permit No Plan Check",11/3/2025,11/03/2025,"15186 Hwy 12 Glen Ellen [GLE]",056-011-015,$559.83,$0.00,"Existing pool remodel. Project valuation: $52,500"
BLD25-6719,Issued,"Building Permit No Plan Check",11/3/2025,11/03/2025,"183 Wikiup Meadows Dr Windsor [WIN]",039-360-022,$553.48,$0.00,"TEAR OFF AND REROOF RESIDENCE, INSTALL ""CLASS A"" FIRE RATED ASPHALT SHINGLES, INSTALL 21 SQ IN TOTAL, SELF CERTIFIED W/COUNTY, SFD."
BLD25-6720,Issued,"Building Permit No Plan Check",11/3/2025,11/05/2025,"8455 Brand Ln Penngrove [PEN]",047-201-008,$374.76,$0.00,"SFD- REMOVE WALL FURNACE. ADD DUCTLESS MINI SPLIT SYSTEM"
BLD25-6727,Finaled,"Building Permit No Plan Check",11/3/2025,11/04/2025,"7021 Dry Creek Rd Geyserville [GEY]",139-170-043,$374.76,$0.00,"SFD, Replace Water Supply Line in Crawlspace with (N) Copper Piping & Stub up through Floor to Connect to (E) In-Wall Piping"
