"9321 Broadway Unit A, Temple City, California 91780",8588-002-010,B24-47880,Building,"682 SQ.FT. ADDITION OF TWO BEDROOMS, TWO BATHROOMS, FAMILY ROOM. 463 SQ.FT. ATTACHED 2-CAR GARAGE AND 102 SQ.FT. INTERIOR REMODEL TO REMOVE ONE EXISTING BATHROOM AND REMODEL ONE EXISTING BATHROOM","$167,639.94",Issued,11-06-2024,06-02-2025,"TB Construction"
"9321 Broadway Unit B , Temple City, California 91780",8588-002-010,B24-47881,Building,"NEW 850 SQ.FT. DETACHED ACCESSORY DWELLING UNIT: THREE BEDROOMS, TWO BATHROOMS, LIVING ROOM, KITCHEN 24 SQ.FT. FRONT PORCH","$142,360.66",Issued,11-06-2024,06-02-2025,"TB Construction"
"4902 Baldwin Avenue Unit A-B , Temple City, California 91780",8585-009-024,B25-48922,Building,"CONVERT EXISTING 406 SQ.FT. ATTACHED 2-CAR GARAGE INTO ACCESSORY DWELLING UNIT: ONE BEDROOM, ONE BATHROOM AND KITCHEN","$41,200.88",Issued,04-09-2025,06-02-2025,Owner-Builder
"5016 Farago Avenue, Temple City, California 91780",8574-009-049,B25-49206,Building,"INTERIOR REMODEL OF THE EXISTING ONE STORY RESIDENCE: (1) REMOVE EXISTING POWDER ROOM NEAR AT THE KITCHEN (2) ENLARGE THE EXISTING KITCHEN COUNTER WITH NEW CABINET AND KITCHEN APPLIANCE (3) REMODEL TWO BATHROOMS (4) ENCLOSE PORTION OF THE EXISTING MASTER BEDROOM AREA TO WALK-IN CLOSET (5) REPLACE WINDOWS AT KITCHEN, LIVING ROOM AND BATHROOM (6) PROVIDE NEW EGRESS WINDOW AT MASTER BEDROOM AT THE REAR OF THE HOUSE","$50,000",Issued,05-13-2025,06-02-2025,Owner-Builder
"5612 Glickman Avenue, Temple City, California 91780",8586-016-005,B25-49322,Building,"REMODEL KITCHEN AND BATHROOM, FIXTURES IN SAME LOCATION",$4500,Issued,06-02-2025,06-02-2025,Owner-Builder
"5623 Encinita Avenue, Temple City, California 91780",5387-019-006,B25-49326,Building,"INTERIOR REMODEL EXISTING ONE SINGLE FAMILY DWELLING TO REARRANGE PARTITION WALLS, ADDING TWO BATHROOMS AND REPLACING ALL EXISTING WINDOWS.","$100,000",Issued,06-02-2025,06-02-2025,Owner-Builder
"9177 Las Tunas Drive, Temple City, California 91780",5387-016-002,B25-49334,Building,"NEW WALL SIGN INTERNALLY ILLUMINATED CHANNEL LETTERS ON STOREFRONT AND NEW SIGN ON PARKING LOT SIDE OF BUILDING (HOME BLISS)",$1200,Issued,06-02-2025,06-02-2025,"Gil Sign Company"
"5557 Harker Avenue, Temple City, California 91780",5387-026-037,B25-49337,Building,"TEAR OFF EXISTING ROOF. REPAIR DAMAGED ROOF SHEATHING. INSTALL 30 YEAR ASPHALT SHINGLES HOUSE & ATTACHED GARAGE 29 SQ'S","$13,000",Issued,06-02-2025,06-02-2025,"Golden West Roofing Services Inc."
"6003 Loma Avenue, Temple City, California 91780",5384-014-024,B25-49338,Building,"TEAR OFF EXISTING ROOF. INSTALL OSB RADIANT BARRIERS AND NEW SHEATHING. INSTALL 3O YEAR ASPHALT SHINGLES 21 SQ'S","$16,500",Issued,06-02-2025,06-02-2025,"Golden West Roofing Services Inc."
"6121 Camellia Avenue, Temple City, California 91780",5385-015-013,B25-49340,Building,"TEAR OFF EXISTING ROOF AND ROOF REPLACEMENT ASPHALT SHINGLE ON DETACHED GARAGE (SEE ALSO PERMIT # B25-48704)",$0,Finaled,06-02-2025,06-02-2025,Owner-Builder
