"5324 Arden Drive Unit C , Temple City, California 91780",8585-020-001,B25-50041,Building,"CONVERT EXISTING 413 SQ.FT. ATTACHED GARAGE INTO STUDIO ACCESSORY DWELLING UNIT","$75,000",Issued,09-16-2025,12-01-2025,"Robert Konstruction"
"10231 Olive Street, Temple City, California 91780",8586-026-006,B25-50550,Building,"REPLACE (9) WINDOWS LIKE FOR LIKE",$2500,Issued,11-17-2025,12-01-2025,
"6023 Golden West Avenue, Temple City, California 91780",5385-019-008,B25-50620,Building,"TEAR OFF ROOFING MATERIAL DOWN TO WOOD SHEATHING AND INSTALL SHINGLES TO SHINGLES ON MAIN HOUSE",$8000,Finaled,12-01-2025,12-01-2025,"Jeffrey Obata"
"6023 Golden West Avenue, Temple City, California 91780",5385-019-008,B25-50621,Building,"TEAR OFF ROOFING MATERIAL DOWN TO WOOD SHEATHING AND INSTALL SHINGLES TO SHINGLES ON DETACHED GARAGE",$9000,Finaled,12-01-2025,12-01-2025,"Jeffrey Obata"
"9220 Kennerly Street, Temple City, California 91780",8590-010-007,E25-50624,Electrical,"MAIN SERVICE PANEL UPGRADE FROM 100A TO 200A. EV CHARGER INSTALLATION 50A OUTLET",$0,Issued,12-01-2025,12-01-2025,"Nason Huaye Trading Inc. dba Nason Solar"
"5324 Arden Drive Unit C , Temple City, California 91780",8585-020-001,E25-50625,Electrical,"(6) BRANCH CIRCUITS, (30) OUTLETS/LIGHT FIXTURES, FAU/AC UNITS, ELECTRIC OVEN, GARBAGE DISPOSAL, DISHWASHER, RANGE HOOD, WASHING MACHINE AND EXHAUST FOR ATTACHED STUDIO ACCESSORY DWELLING UNIT",$0,Issued,12-01-2025,12-01-2025,"Robert Konstruction"
"4925 Robinhood Avenue, Temple City, California 91780",8585-008-002,M25-50617,Mechanical,"3 TON CONDENSER C/O IN SIDE YARD",$0,Issued,12-01-2025,12-01-2025,"Service Champions Inc. dba Service Champions Heating and Air Conditioning"
"9327 Olive Street, Temple City, California 91780",8588-029-011,M25-50618,Mechanical,"70K BTUS FURNACE C/O IN CLOSET",$0,Issued,12-01-2025,12-01-2025,"ARS American Residential Services of Californian Inc. dba Rightime Home Services"
"5324 Arden Drive Unit C , Temple City, California 91780",8585-020-001,M25-50626,Mechanical,"INSTALL HVAC SYSTEM FOR THE ATTACHED STUDIO ACCESSORY DWELLING UNIT",$0,Issued,12-01-2025,12-01-2025,"Robert Konstruction"
"5409 - 5411 Baldwin Avenue, Temple City, California 91780",8588-019-017,P25-50619,Plumbing,"PLUMBING FOR TWO NEW SINGLE FAMILY DWELLING AND CONNECT TO PUBLIC SEWER (SEE ALSO PERMIT # P25-49581)",$0,Issued,12-01-2025,12-01-2025,"H & H Plumbing, Inc."
"5125 Baldwin Avenue, Temple City, California 91780",8589-007-001,P25-50623,Plumbing,"PRESSURE REGULATOR AND WATER SERVICE REPLACEMENT FROM METER TO HOUSE STUB",$0,Finaled,12-01-2025,12-01-2025,"CA Plus Plumbing and Engineering"
"5324 Arden Drive Unit C , Temple City, California 91780",8585-020-001,P25-50627,Plumbing,"SHOWER, CLOTHES WASHER, DISHWASHER, HOSE BIBB, LAVATORY, SINK, WATER CLOSET, WATER MAIN AND CONNECT ATTACHED STUDIO TO PUBLIC SEWER",$0,Issued,12-01-2025,12-01-2025,"Robert Konstruction"
"5215 Camellia Avenue, Temple City, California 91780",8589-013-005,B25-50622,Building,"TEAR OFF AND REROOF HOUSE AND GARAGE WITH GAF COMP SHINGLES. 30 SQUARES","$18,200",Issued,12-01-2025,12-02-2025,"J.N. Davis Roofing Co."
"10620 Fairhall Street, Temple City, California 91780",8585-026-006,B25-50628,Building,"CHANGE FROM OWNER BUILDER TO CONTRACTOR FOR TEAR OFF EXISTING ROOF AND RE ROOF WITH COOL SHINGLES. (SEE ALSO PERMIT # B25-50446)",$0,Finaled,12-02-2025,12-02-2025,"Paw Construction Inc."
"5912 Golden West Avenue, Temple City, California 91780",8587-026-016,B25-50629,Building,"REROOF OVER EXISTING WITH ASPHALT SHINGLES",$9750,Finaled,12-02-2025,12-02-2025,Owner-Builder
"5916 Golden West Avenue, Temple City, California 91780",8587-026-016,B25-50630,Building,"REROOF OVER EXISTING WITH ASPHALT SHINGLES",$9750,Finaled,12-02-2025,12-02-2025,Owner-Builder
"4950 Agnes Avenue, Temple City, California 91780",8589-023-037,B25-50631,Building,"ROOF REPAIR OF LEAK ABOVE FRONT DOOR. NEW UNDERLAYMENT IN PAPER AREA THEN REINSTALL TILE. REPAIR ARE IS LESS THAN 100 SQ.FT.",$500,Finaled,12-02-2025,12-02-2025,Owner-Builder
"5526 Parmerton Avenue, Temple City, California 91780",8573-008-011,B25-49829,Building,"ADDITION TO (E) SINGLE FAMILY DWELLING: MASTER BEDROOM, MASTER BATHROOM, WALK-IN CLOSET, POWDER ROOM, DINING ROOM, FAMILY ROOM . INTERIOR REMODEL OF KITCHEN. DEMOLITION OF WALL EXISTING SUNROOM AND SHED IN BACK YARD. BACK DECK","$180,000",Issued,08-14-2025,12-03-2025,"Precision General Construction, Inc."
"10751 Lynrose Street Unit A-B-C, Temple City, California 91780",8573-011-018,B25-50098,Building,"CONVERT EXISTING 370 SQ.FT. ATTACHED GARAGE INTO JUNIOR ACCESSORY DWELLING UNIT: ONE BEDROOM, ONE BATHROOM , KITCHEN AND 15 SQ.FT. PORCH","$38,473.8",Issued,09-23-2025,12-03-2025,Owner-Builder
"10751 Lynrose Street Unit A-B-C , Temple City, California 91780",8573-011-018,B25-50099,Building,"NEW 800 SQ.FT. ATTACHED ACCESSORY DWELLING UNIT: THREE BEDROOMS, TWO BATHROOMS, KITCHEN AND 24 SQ.FT. PORCH","$138,311.36",Issued,09-23-2025,12-03-2025,Owner-Builder
"5623 Encinita Avenue Unit A-B , Temple City, California 91780",5387-019-006,B25-50322,Building,"CONVERT 500 SQ.FT. FROM EXISTING MASTER SUITE INTO JUNIOR ACCESSORY DWELLING UNIT: ONE BEDROOM, ONE BATHROOM AND KITCHEN. ADD BATHROOM TO MAIN HOUSE","$60,000",Issued,10-21-2025,12-03-2025,Owner-Builder
"5610 Pal Mal Avenue, Arcadia, California 91780",8586-009-022,B25-50642,Building,"TEAR OFF EXISTING ROOF LAYERS FROM HOUSE & GARAGE ATTACHED. THE SHEATHING WILL BE REPLACED AS NEEDED. NEW SYNTHETIC FELT WILL BE NAILED TO THE DECK FOLLOWED BY THE INSTALLATION OF CLASS ""A"" COMP SHINGLES. THE ROOF DIMENSION IS 19 SQ'S",$7000,Finaled,12-03-2025,12-03-2025,"Eduardo Peralta"
"5612 Pal Mal Avenue, Arcadia, California 91780",8586-009-022,B25-50643,Building,"TEAR OFF EXISTING ROOF LAYERS FROM HOUSE & GARAGE ATTACHED. THE SHEATHING WILL BE REPLACED AS NEEDED. NEW SYNTHETIC FELT WILL BE NAILED TO THE DECK FOLLOWED BY THE INSTALLATION OF CLASS ""A"" COMP SHINGLES. THE ROOF DIMENSION IS 19 SQ'S",$7000,Finaled,12-03-2025,12-03-2025,"Eduardo Peralta"
"5614 Pal Mal Avenue, Arcadia, California 91780",8586-009-022,B25-50644,Building,"TEAR OFF EXISTING ROOF LAYERS FROM HOUSE & GARAGE ATTACHED. THE SHEATHING WILL BE REPLACED AS NEEDED. NEW SYNTHETIC FELT WILL BE NAILED TO THE DECK FOLLOWED BY THE INSTALLATION OF CLASS ""A"" COMP SHINGLES. THE ROOF DIMENSION IS 19 SQ'S",$7000,Finaled,12-03-2025,12-03-2025,"Eduardo Peralta"
"9821 Garibaldi Avenue, Temple City, California 91780",5385-026-013,B25-50648,Building,"REROOF TO HOUSE ONLY (E) WOODSHAKE TO (N) COMP SHINGLES. 8 SQUARES (1) LAYER, RESHEATHING. INSTALLAING PLYWOOD & UNDERLAYMENT CLASS ""A"" MATERIAL. CRRC #: 0890-0016A",$9740,Finaled,12-03-2025,12-03-2025,"Prime American Roofing"
"5526 Parmerton Avenue, Temple City, California 91780",8573-008-011,E25-50467,Electrical,"(4) BRANCH CIRCUITS, (35) OUTLETS, (20) LIGHT FIXTURES, (2) EXHAUST FANS, AC UNIT AND 200 AMP SERVICE PANEL",$0,Issued,11-10-2025,12-03-2025,"Precision General Construction, Inc."
"9020 Pentland Street, Temple City, California 91780",5388-020-003,E25-50636,Electrical,"EV-PLUG 240V LEVEL 2 ON THE GARAGE",$0,Issued,12-03-2025,12-03-2025,"Calgreen Energy Solutions, Inc."
"4433 Temple City Boulevard, Temple City, California 91780",8592-002-045,E25-50637,Electrical,"MAIN PANEL UPGRADE TO 200 AMP SERVICE AND EV 220V OUTLET",$0,Finaled,12-03-2025,12-03-2025,"Alex & Alex Electrical Inc."
"4924 Rosemead Boulevard, San Gabriel, California 91776",5388-021-004,E25-50638,Electrical,"(5) CIRCUITS AND (1) SUB-PANEL 60 AMP",$0,Issued,12-03-2025,12-03-2025,"Service Genius Corporation"
"5511 Robinhood Avenue, Temple City, California 91780",8586-022-025,E25-50641,Electrical,"UPGRADE SERVICE PANEL TO 100 AMP",$0,Issued,12-03-2025,12-03-2025,"Guohua Liu"
"5623 Encinita Avenue Unit A-B , Temple City, California 91780",5387-019-006,E25-50645,Electrical,"(38) OUTLETS, (20) LIGHT FIXTURES, GARBAGE DISPOSAL, DISHWASHER, RANGE HOOD, EXHAUST FAN, AC UNITS FOR A JUNIOR ACCESSORY DWELLING UNIT",$0,Issued,12-03-2025,12-03-2025,Owner-Builder
"4924 Rosemead Boulevard, San Gabriel, California 91776",5388-021-004,M25-50639,Mechanical,"MINI-SPLIT BTU - 3 HEADS (1) HEAT PUMP",$0,Finaled,12-03-2025,12-03-2025,"Service Genius Corporation"
"5623 Encinita Avenue Unit A-B , Temple City, California 91780",5387-019-006,M25-50646,Mechanical,"INSTALL MINI SPLIT SYSTEM AND VENTILATION FANS FOR THE JUNIOR ACCESSORY DWELLING UNIT",$0,Issued,12-03-2025,12-03-2025,Owner-Builder
"5526 Parmerton Avenue, Temple City, California 91780",8573-008-011,M25-50651,Mechanical,"RELOCATE EXISTING AC UNIT, (3) AIR INLETS, (2) VENTILATION FANS AND ALTERATION OF EXISTING DUCT WORK",$0,Issued,12-03-2025,12-03-2025,"Precision General Construction, Inc."
"6059 Golden West Avenue, Temple City, California 91780",5385-019-001,MISC25-50649,Miscellaneous,"TO VERIFY COMPLIANCE: (1) REMOVE UNPERMITTED WALL AT THE HOME ENTRY. (2) REMOVE UNPERMITTED WASTE PLUMBING AT LIVING ROOM",$0,Finaled,12-03-2025,12-03-2025,Owner-Builder
"5526 Parmerton Avenue, Temple City, California 91780",8573-008-011,P25-50469,Plumbing,"ADDITION: (1) SHOWER, (1) HOSE BIBB, (3) LAVATORIES, (2) WATER CLOSETS, (1) WATER HEATER, (1) DRAINAGE VENT, (5) WATER PIPE FIXTURES",$0,Issued,11-10-2025,12-03-2025,"Precision General Construction, Inc."
"4924 Rosemead Boulevard, San Gabriel, California 91776",5388-021-004,P25-50640,Plumbing,"WATER HEATER 65 GALLONS",$0,Finaled,12-03-2025,12-03-2025,"Service Genius Corporation"
"5623 Encinita Avenue Unit A-B , Temple City, California 91780",5387-019-006,P25-50647,Plumbing,"SHOWER, DISHWASHER, LAVATORY, KITCHEN SINK, WATER CLOSET, GAS OUTLET AND CONNECT JUNIOR ACCESSORY DWELLING UNIT TO PUBLIC SEWER",$0,Issued,12-03-2025,12-03-2025,Owner-Builder
