"5649 Loma Avenue, Temple City, California 91780",5387-022-014,B25-48326,Building,"BUILD A NEW DETACHED 2-CAR GARAGE","$28,307.79",Issued,01-21-2025,05-01-2025,"CGS Home Improvements"
"5649 Loma Avenue Unit B , Temple City, California 91780",5387-022-014,B25-48327,Building,"NEW DETACHED ACCESSORY DWELLING UNIT: TWO BEDROOMS, TWO BATHROOMS, LIVING ROOM, KITCHEN AND FRONT PORCH","$134,076.56",Issued,01-21-2025,05-01-2025,"CGS Home Improvements"
"5356 Parmerton Avenue, Temple City, California 91780",8573-007-010,B25-49107,Building,"SHINGLES ROOF REPLACEMENT OF 28 SQ.FT. MIAN HOUSE ATTACHED GARAGE. TEAR OFF REPLACE ALL WOOD AS NEEDED. NEW SHEATHING FLAT ROOF REPLACEMENT OF 3 SQ.FT. ON MAIN HOUSE CRRC #0890-0038","$15,000",Issued,05-01-2025,05-01-2025,"Epic Home Upgrade and Construction dba Epic Roof Replacement"
"5649 Loma Avenue, Temple City, California 91780",5387-022-014,D25-49113,Demolition,"(E) GARAGE TO BE DEMOLISH AND (E) UNPERMITTED STRUCTURE TO BE DEMOLISH",$0,Issued,05-01-2025,05-01-2025,"CGS Home Improvements"
"5922 Burton Avenue, San Gabriel, California 91776",5386-014-056,E25-49106,Electrical,"UPGRADE SERVICE PANEL FROM 100 AMP TO 200 AMP",$0,Issued,05-01-2025,05-01-2025,"5620 Inc. dba Leeways Construction"
"5649 Loma Avenue, Temple City, California 91780",5387-022-014,E25-49109,Electrical,"(4) OUTLETS AND (4) LIGHT FIXTURES FOR THE NEW DETACHED 2-CAR GARAGE",$0,Issued,05-01-2025,05-01-2025,"CGS Home Improvements"
"5649 Loma Avenue Unit B , Temple City, California 91780",5387-022-014,E25-49110,Electrical,"ELECTRICAL FOR A NEW DETACHED ACCESSORY DWELLING UNIT WITH A SUB-PANEL 100 AMP",$0,Issued,05-01-2025,05-01-2025,"CGS Home Improvements"
"5649 Loma Avenue Unit B , Temple City, California 91780",5387-022-014,M25-49111,Mechanical,"INSTALL (1) MINI SPLIT SYSTEM AND VENTILATION FANS FOR A NEW DETACHED ACCESSORY DWELLING UNIT",$0,Issued,05-01-2025,05-01-2025,"CGS Home Improvements"
"5649 Loma Avenue Unit B , Temple City, California 91780",5387-022-014,P25-49112,Plumbing,"PLUMBING FOR A NEW DETACHED ACCESSORY DWELLING AND CONNECT TO PUBLIC SEWER",$0,Issued,05-01-2025,05-01-2025,"CGS Home Improvements"
"4941 Camellia Avenue Unit A , Temple City, California 91780",8589-014-023,B25-49095,Building,"REPLACE EXISTING (10) WINDOWS RETROFIT",$5000,Issued,04-30-2025,05-05-2025,"CL Builders & Development Inc."
"9045 Hermosa Drive, Temple City, California 91780",5384-016-046,B25-49115,Building,"(1) KITCHEN REMODEL, RELOCATE SINK AND STOVE. NEW CABINETS AND COUNTERTOPS. (2) BATHROOM REMODEL, REMOVE TUB ENLARGE SHOWER, INSTALL CABINET AND RELOCATE LAVATORY","$10,000",Issued,05-05-2025,05-05-2025,Owner-Builder
