Address,Parcel No,Permit No,Permit Type,Bldg Permit Subtype,Work Description,Valuation,Permit Status,Application Date,Issue Date,Expire Date,Final Date,Contractor
"5233 Barela Avenue, Temple City, California 91780",8589-012-002,B25-48442,Building,RA Residential Addition,62 SQ.FT. ADDITION TO EXPAND BEDROOM #3 AND ENCLOSE (E) PATIO COVER 178 SQ.FT. TO LIVING SPACE,"$60,000",Issued,01-29-2025,03-03-2025,03-03-2026,,Owner-Builder
"9619 Las Tunas Drive, Temple City, California 91780",8587-019-038,B25-48670,Building,SI Sign,"(1) ILLUMINATED INDIVIDUAL PAN CHANNEL LETTER TO ""RED LANTERN RESTAURANT""  ",$2500,Issued,02-26-2025,03-03-2025,03-03-2026,,Martinez Electric 
"9823 Woodruff Avenue, Temple City, California 91780",5385-027-014,B25-48687,Building,RR Residential Alteration,RETROFIT (3) BEDROOM WINDOWS AND (1) BATHROOM WINDOW ,$4000,Issued,03-03-2025,03-03-2025,03-03-2026,,W Home Construction & Development 
"4947 Heleo Avenue, Temple City, California 91780",8590-023-027,B25-48688,Building,CB Combo Building,NEW 3.20 KW DC ROOF MOUNT PV SYSTEM WITH (8) MODULES AND (8) MICRO-INVERTERS ,$0,Issued,03-03-2025,03-03-2025,03-03-2026,,Solen Energy Construction Corporation 
"5333 Barela Avenue, Temple City, California 91780",8589-002-006,D25-48685,Demolition,,DEMOLITION OF EXISTING HOUSE & GARAGE ,$0,Issued,03-03-2025,03-03-2025,03-03-2026,,McWong Holding Company
"9227 Olive Street, Temple City, California 91780",8588-031-011,D25-48689,Demolition,,DEMO EXISTING HOUSE W/GARAGE ,$0,Finaled,03-03-2025,03-03-2025,03-03-2026,04-01-2025,Owner-Builder
"9619 Las Tunas Drive, Temple City, California 91780",8587-019-038,E25-48671,Electrical,,"(1) ILLUMINATED INDIVIDUAL PAN CHANNEL LETTER TO ""RED LANTERN RESTAURANT""  ",$0,Issued,02-26-2025,03-03-2025,03-03-2026,,Martinez Electric 
"5333 Barela Avenue, Temple City, California 91780",8589-002-006,E25-48686,Electrical,,TEMPORARY POWER POLE  ,$0,Issued,03-03-2025,03-03-2025,03-03-2026,,McWong Holding Company
"4921 Hallowell Avenue Unit A , Temple City, California 91780",8585-016-060,B25-48676,Building,CB Combo Building,INSTALL 2.49KW ROOF MOUNTED SOLAR PV SYSTEM. (6) MODULES WITH (6) MICRO-INVERTERS ,$6000,Issued,02-26-2025,03-04-2025,03-04-2026,,Sun Bees Group dba True Power Solar
"4921 Hallowell Avenue Unit B , Temple City, California 91780",8585-016-060,B25-48677,Building,CB Combo Building,INSTALL 2.08KW ROOF MOUNTED SOLAR PV SYSTEM. (5) MODULES WITH (5) MICRO-INVERTERS ,$5000,Issued,02-26-2025,03-04-2025,03-04-2026,,Sun Bees Group dba True Power Solar
"9918 Bogue Street, Temple City, California 91780",8588-015-023,B25-48691,Building,RR Residential Alteration,MAIN HOUSE - TEAR OFF EXISTING ROOF INSTALL FELT 40 YRS SHINGLE COLOR: MOJAVE ,"$12,000",Issued,03-04-2025,03-04-2025,03-04-2026,,Google Roofing Inc. 
"9918 Bogue Street, Temple City, California 91780",8588-015-023,B25-48692,Building,OT Other,DETACHED GARAGE - TEAR OFF EXISTING ROOF INSTALL FELT 40 YRS SHINGLE COLOR: MOJAVE ,$3000,Issued,03-04-2025,03-04-2025,03-04-2026,,Google Roofing Inc. 
"9855 Flaherty Street, Temple City, California 91780",5385-025-015,B25-48694,Building,RR Residential Alteration,REMOVE ROOF INSTALL OSB & 30 YRS SHINGLE & TORCH  DOWN ON PATIO ,"$15,000",Finaled,03-04-2025,03-04-2025,03-04-2026,03-27-2025,Owner-Builder
"5025 Daleview Avenue, Temple City, California 91780",8574-006-012,B25-48695,Building,RR Residential Alteration,TEAR OFF EXISTING ROOF AND RE ROOF WITH ASPHALT SHINGLES,"$15,000",Issued,03-04-2025,03-04-2025,03-04-2026,,Owner-Builder
"5233 Willmonte Avenue, Temple City, California 91780",8589-006-020,B25-48697,Building,RR Residential Alteration,TEAR OFF ALL LAYERS COMP. INSTALL 1/2 OSB PLYWOOD COMPLETE HOUSE & FLAT PATIO ROOF POLYFRESKO TORCH DOWN OWENS CORNING GOLDEN MEADOW #08900033 ,"$16,000",Issued,03-04-2025,03-04-2025,03-04-2026,,MW Roofing 
"5233 Willmonte Avenue, Temple City, California 91780",8589-006-020,B25-48698,Building,OT Other,TEAR OFF ALL LAYERS COMP. INSTALL 1/2 OSB PLYWOOD COMPLETE DETACHED GARAGE POLYFRESKO TORCH DOWN OWENS CORNING GOLDEN MEADOW #08900033 ,$4000,Issued,03-04-2025,03-04-2025,03-04-2026,,MW Roofing 
"9704 Live Oak Avenue, Temple City, California 91780",8588-011-020,M25-48693,Mechanical,,(6) SUPPLY DUCT CHANGE OUT ,$0,Issued,03-04-2025,03-04-2025,03-04-2026,,Service Champions Inc. dba Service Champions Heating and Air Conditioning 
"6346 Barela Avenue Unit A-B , Temple City, California 91780",5383-018-003,B24-47987,Building,NR New Residential,CONVERT AN EXISTING 383 SQ.FT. ATTACHED GARAGE INTO STUDIO ACCESSORY DWELLING UNIT ,"$60,000",Issued,11-25-2024,03-05-2025,03-05-2026,,Owner-Builder
"5317 El Monte Avenue, Temple City, California 91780",8585-031-021,B25-48699,Building,RR Residential Alteration,REMOVE ALL ROOF. REPLACE WOOD DAMAGED AS NEEDED. INSTALL NEW FELT PAPER SYNTHETIC AND INSTALL NEW SHINGLES 1100 SQ.FT. ,$7800,Finaled,03-05-2025,03-05-2025,03-05-2026,03-26-2025,Silvestre Roofing 
"9508 Live Oak Avenue, Temple City, California 91780",8588-006-008,B25-48700,Building,RR Residential Alteration,"TEAR OFF EXISTING ROOF AND RE-ROOF WITH ""CLASS A"" COMPOSITION SHINGLES CRRC #: 0890-0033 SRI 21 (HOUSE ONLY) ","$12,000",Finaled,03-05-2025,03-05-2025,03-05-2026,03-27-2025,Allbest Roofing Inc. 
"9708 Richmond Way, Temple City, California 91780",8589-019-050,B25-48703,Building,RR Residential Alteration,"REMOVE AND REPLACE TWO SLIDING PATIO DOORS MILGARD TUSCANY  VINYL NAIL-ON. BRADK OUT AND PLASTER IN 1-8'0""X6'-8"" AND 6'-0""X6'-8""",$3200,Issued,03-05-2025,03-05-2025,03-05-2026,,Reifer Construction 
"6121 Camellia Avenue, Temple City, California 91780",5385-015-013,B25-48704,Building,RR Residential Alteration,TEAR OFF EXISTING ROOF AND ROOF REPLACEMENT ASPHALT SHINGLE (HOUSE ONLY) ,"$10,000",Issued,03-05-2025,03-05-2025,03-05-2026,,Owner-Builder
"8714 Hermosa Drive, San Gabriel, California 91775",5387-006-035,B25-48707,Building,OT Other,SUPPLEMENTAL PERMIT FOR THE DETACHED GARAGE REMOVE THE OLD SHINGLE AND INSTALL NEW SHINGLE (SEE ALSO PERMIT #B25-48647),$0,Issued,03-05-2025,03-05-2025,03-05-2026,,JBL Electrical & Energy dba JBL Construction 
"9663 Olive Street, Temple City, California 91780",8588-024-022,E25-48708,Electrical,,UPGRADE EXISTING PANEL FROM 100 AMP TO 200 AMP SERVICE PANEL AND INSTALL 240V L2 EV CHARGER ON THE GARAGE ,$0,Issued,03-05-2025,03-05-2025,03-05-2026,,JBL Electrical & Energy Inc. 
"9705 Olive Street, Temple City, California 91780",8588-021-018,E25-48709,Electrical,,UPGRADE EXISTING PANEL FROM 100 AMP TO 200 AMP SERVICE PANEL AND INSTALL 240V L2 EV CHARGER ON THE GARAGE ,$0,Issued,03-05-2025,03-05-2025,03-05-2026,,JBL Electrical & Energy Inc. 
"9517 Las Tunas Drive, Temple City, California 91780",8587-013-016,E25-48710,Electrical,,REPLACE OLD 100 AMP PUSHMATIC ELECTRICAL METER TO NEW 200 AMP SIEMENS,$0,Issued,03-05-2025,03-05-2025,03-05-2026,,Gary & Son Electric 
"9926 La Rosa Drive, Temple City, California 91780",8589-023-006,M25-48705,Mechanical,,(1) 3 TON HEAT PUMP PACKAGE UNIT ON ROOF CHANGEOUT LIKE FOR LIKE R8 (7) SUPPLY (1) RETURN ,$0,Issued,03-05-2025,03-05-2025,03-05-2026,,Service Champions Inc. dba Service Champions Heating and Air Conditioning 
"9702 Woolley Street, Temple City, California 91780",5383-017-006,MISC25-48701,Miscellaneous,,"TO VERIFY COMPLIANCE: TO CONVERT GARAGE BACK TO ORIGINAL CONDITION AND REMOVE ALL UNPERMITTED WALLS, ELECTRICAL, MECHANICAL AND PLUMBING ",$0,Issued,03-05-2025,03-05-2025,03-05-2026,,Owner-Builder
"9702 Woolley Street, Temple City, California 91780",5383-017-006,P25-48702,Plumbing,,REPLACE WATER HEATER ,$0,Issued,03-05-2025,03-05-2025,03-05-2026,,Owner-Builder
"9658 Workman Avenue, Temple City, California 91780",8587-022-015,B25-48711,Building,RR Residential Alteration,PARTIAL RE-ROOF APPROX 1400 SQUARE FEET ON A 2-STORY SFD (ONLY THE LOWER ROOF AT THE FRONT ON THE HOME) REMOVE EXISTING SHINGLES & UNDERLAYMENT AND INSTALL NEW OVER EXISTING SHEATHING (TO BE REPLACED AS NEEDED) ,$6000,Finaled,03-06-2025,03-06-2025,03-06-2026,03-25-2025,Bumble Roofing of LA LLC 
"4922 Arden Drive, Temple City, California 91780",8585-016-027,B25-48712,Building,FS Fire Sprinkler,INSTALLATION OF FIRE SPRINKLER SYSTEM FOR A NEW SINGLE FAMILY DWELLING AND ATTACHED ACCESSORY DWELLING UNIT ,$3800,Finaled,03-06-2025,03-06-2025,03-06-2026,03-06-2025,United Fire & Safety Corp.
"9716 East Lemon Avenue Unit A , Arcadia, California 91007",5383-016-012,B25-48713,Building,RR Residential Alteration,EXISTING SHINGLE TEAR OFF (DAMAGED SHINGLES) NEW UNDERLAYMENT RE ROOF WITH ASPHALT SHINGLE APPROX. 2400 SQ.FT. ,$8000,Issued,03-06-2025,03-06-2025,03-06-2026,,PLJ Construction LLC 
