Address,Parcel No,Permit No,Permit Type,Bldg Permit Subtype,Work Description,Valuation,Permit Status,Application Date,Issue Date,Expire Date,Final Date,Contractor
"4946 Heleo Avenue, Temple City, California 91780",8590-022-009,B25-48264,Building,NR New Residential,"NEW 1-STORY SINGLE FAMILY DWELLING: 4 BEDROOMS, 4 BATHROOMS, WITH ATTACHED 2-CAR GARAGE AND FRONT PORCH ","$602,200",Issued,01-09-2025,10-01-2025,10-01-2026,,Overseas Union Construction & Development Inc.
"4950 Heleo Avenue, Temple City, California 91780",8590-022-009,B25-48265,Building,NR New Residential,"NEW 1-STORY SINGLE FAMILY DWELLING: 4 BEDROOMS, 5 BATHROOMS WITH ATTACHED 2-CAR GARAGE AND FRONT PORCH ","$628,800",Issued,01-09-2025,10-01-2025,10-01-2026,,Overseas Union Construction & Development Inc.
"9528 Flaherty Street, Temple City, California 91780",5385-008-008,B25-49906,Building,RR Residential Alteration,"REMODEL: (N) KITCHEN, (N) .75 BATH , (2) BATH REMODEL, LAUNDRY ROOM  AND C/O ALL WINDOWS & DOORS, (N) BATH","$43,000",Issued,08-28-2025,10-01-2025,10-01-2026,,Owner-Builder
"5926 Sultana Avenue, Temple City, California 91780",5384-015-001,B25-50171,Building,RR Residential Alteration,"VOLUNTARY SEISMIC RETROFIT PER LA CITY STANDARD PLAN, DETAIL #7 ",$3000,Finaled,10-01-2025,10-01-2025,10-01-2026,11-18-2025,Thanh Quoc Tran 
"4946 Heleo Avenue, Temple City, California 91780",8590-022-009,E25-50165,Electrical,,ELECTRICAL FOR A NEW SINGLE FAMILY DWELLING WITH 225 AMP SERVICE PANEL ,$0,Issued,10-01-2025,10-01-2025,10-01-2026,,Overseas Union Construction & Development Inc.
"4950 Heleo Avenue, Temple City, California 91780",8590-022-009,E25-50168,Electrical,,ELECTRICAL FOR A NEW SINGLE FAMILY DWELLING WITH 225 AMP SERVICE PANEL ,$0,Issued,10-01-2025,10-01-2025,10-01-2026,,Overseas Union Construction & Development Inc.
"9528 Flaherty Street, Temple City, California 91780",5385-008-008,E25-50172,Electrical,,"(60) OUTLETS, (6) LIGHT FIXTURES, FAU/AC UNITS , GARBAGE DISPOSAL, RANGE HOOD, WASHING MACHINE AND EXHAUST FANS",$0,Issued,10-01-2025,10-01-2025,10-01-2026,,Owner-Builder
"9225 Flaherty Street Unit A , Temple City, California 91780",5385-002-007,E25-50176,Electrical,,PANEL UPGRADE FROM 100 AMP TO 200 AMP AND INSTALL A 240V OUTLET FOR EV CHARGER ,$0,Finaled,10-01-2025,10-01-2025,10-01-2026,10-06-2025,JBL Electrical & Energy Inc. 
"9541 Olema Street, Temple City, California 91780",5382-014-015,E25-50177,Electrical,,PANEL UPGRADE FROM 100 AMP TO 200 AMP AND INSTALL A 240V OUTLET FOR EV CHARGER ,$0,Finaled,10-01-2025,10-01-2025,10-01-2026,10-06-2025,JBL Electrical & Energy Inc. 
"10350 Key West Street, Temple City, California 91780",8585-018-077,E25-50178,Electrical,,PANEL UPGRADE FROM 100 AMP TO 200 AMP AND INSTALL A 240V OUTLET FOR EV CHARGER ,$0,Finaled,10-01-2025,10-01-2025,10-01-2026,10-30-2025,JBL Electrical & Energy Inc. 
"9465 Woodruff Avenue, Temple City, California 91780",5385-006-014,E25-50179,Electrical,,PANEL UPGRADE FROM 100 AMP TO 200 AMP ,$0,Finaled,10-01-2025,10-01-2025,10-01-2026,11-17-2025,JBL Electrical & Energy Inc. 
"6219 Primrose Avenue, Temple City, California 91780",5385-009-012,E25-50180,Electrical,,PANEL UPGRADE FROM 100 AMP TO 200 AMP AND INSTALL A 240V OUTLET FOR EV CHARGER ,$0,Finaled,10-01-2025,10-01-2025,10-01-2026,11-17-2025,JBL Electrical & Energy Inc. 
"5939 North Bartlett Avenue, San Gabriel, California 91775",5386-014-042,E25-50181,Electrical,,PANEL UPGRADE FROM 100 AMP TO 200 AMP AND INSTALL A 240V OUTLET FOR EV CHARGER ,$0,Finaled,10-01-2025,10-01-2025,10-01-2026,10-06-2025,JBL Electrical & Energy Inc. 
"4946 Heleo Avenue, Temple City, California 91780",8590-022-009,M25-50166,Mechanical,,"INSTALL (2) HVAC SYSTEMS, FIREPLACE, AIR INLETS AND VENTILATION FANS FOR A NEW SINGLE FAMILY DWELLING  ",$0,Issued,10-01-2025,10-01-2025,10-01-2026,,Overseas Union Construction & Development Inc.
"4950 Heleo Avenue, Temple City, California 91780",8590-022-009,M25-50169,Mechanical,,"INSTALL (2) HVAC SYSTEMS, FIREPLACE, AIR INLETS AND VENTILATION FANS FOR A NEW SINGLE FAMILY DWELLING  ",$0,Issued,10-01-2025,10-01-2025,10-01-2026,,Overseas Union Construction & Development Inc.
"9528 Flaherty Street, Temple City, California 91780",5385-008-008,M25-50173,Mechanical,,"INSTALL HVAC SYSTEM, AIR INLETS AND VENTILATION FANS ",$0,Issued,10-01-2025,10-01-2025,10-01-2026,,Owner-Builder
"9066 Hermosa Drive Unit B , Temple City, California 91780",5387-015-012,M25-50175,Mechanical,,INSTALL (2) MINI SPLIT SYSTEMS FOR  A NEW DETACHED ACCESSORY DWELLING UNIT ,$0,Issued,10-01-2025,10-01-2025,10-01-2026,,Daniel K Leung 
"4946 Heleo Avenue, Temple City, California 91780",8590-022-009,P25-50167,Plumbing,,PLUMBING FOR A NEW SINGLE FAMILY DWELLING AND CONNECT TO PUBLIC SEWER ,$0,Issued,10-01-2025,10-01-2025,10-01-2026,,Overseas Union Construction & Development Inc.
"4950 Heleo Avenue, Temple City, California 91780",8590-022-009,P25-50170,Plumbing,,PLUMBING FOR A NEW SINGLE FAMILY DWELLING AND CONNECT TO PUBLIC SEWER ,$0,Issued,10-01-2025,10-01-2025,10-01-2026,,Overseas Union Construction & Development Inc.
"9528 Flaherty Street, Temple City, California 91780",5385-008-008,P25-50174,Plumbing,,"BATHTUB/SHOWERS, CLOTHES WASHER, DISHWASHER, LAVATORIES, SINK, WATER CLOSETS, WATER HEATER AND GAS OUTLETS ",$0,Issued,10-01-2025,10-01-2025,10-01-2026,,
"9529 Las Tunas Drive, Temple City, California 91780",8587-013-013,B24-47985,Building,CR Commercial Alteration,FACADE IMPROVEMENT ,"$26,000",Issued,11-25-2024,10-02-2025,10-02-2026,,G C B T Construction 
"9529 Las Tunas Drive, Temple City, California 91780",8587-013-013,B24-47986,Building,OT Other,BUILD A NEW 340 SQ.FT. DETACHED GARAGE ,"$21,824.6",Issued,11-25-2024,10-02-2025,10-02-2026,,G C B T Construction 
"5620 Rosemead Boulevard, Temple City, California 91780",5387-028-021,B25-49987,Building,CR Commercial Alteration,INSTALL NEW WINDOWS AND REPLACE EXISTING DOOR FOR STOREFRONT ONE DOOR & (2) WINDOWS ,$5500,Issued,09-09-2025,10-02-2025,10-02-2026,,168 Construction and Remodeling 
"5561 Noel Drive, Temple City, California 91780",5387-026-019,B25-50186,Building,RR Residential Alteration,"TEAR OFF EXISTING ROOF, INSTALL 30 YEAR ASPHALT SHINGLES. REPAIR OR REPLACE DAMAGED ROOF SHEATHING HOUSE 19 SQ'S ","$11,000",Finaled,10-02-2025,10-02-2025,10-02-2026,10-23-2025,Golden West Roofing Services Inc.
"5561 Noel Drive, Temple City, California 91780",5387-026-019,B25-50187,Building,OT Other,"TEAR OFF EXISTING ROOF, INSTALL 30 YEAR ASPHALT SHINGLES. REPAIR OR REPLACE DAMAGED ROOF SHEATHING DETACHED GARAGE 5 SQ'S ",$3000,Finaled,10-02-2025,10-02-2025,10-02-2026,10-23-2025,Golden West Roofing Services Inc.
"5469 Sara Mar Lane Unit A-B , Temple City, California 91780",8588-022-014,B25-50193,Building,RR Residential Alteration,TEAR OFF EXISTING ROOF AND RE ROOF WITH ASPHALT SHINGLES ,$4000,Issued,10-02-2025,10-02-2025,10-02-2026,,Owner-Builder
"5103 Fratus Drive Unit A-B , Temple City, California 91780",8590-031-013,E25-50055,Electrical,,400 AMP PANEL (2) GANG METER AND (2) 200 AMP SUB-PANELS ,$0,Issued,09-17-2025,10-02-2025,10-02-2026,,Owner-Builder
"6251 Ivar Avenue, Temple City, California 91780",5386-010-037,M25-50192,Mechanical,,"CONVERT A GAS FAU TO CLEAN AIR HP & AH, 7 DUCT RUNS BEING REPLACED ",$0,Issued,10-02-2025,10-02-2025,10-02-2026,,Nexgen Air Conditioning and Heating Inc.  
"10224 Randwick Drive, Temple City, California 91780",8585-005-035,P25-50194,Plumbing,,LEAKED PIPE REPLACEMENT IN BATHROOM AREA ,$0,Finaled,10-02-2025,10-02-2025,10-02-2026,10-16-2025,Owner-Builder
"9414 Lemon Avenue, Temple City, California 91780",5382-014-026,B24-47961,Building,NR New Residential,"NEW 2-STORY SINGLE FAMILY-DWELLING: 4 BEDROOMS, 4 BATHROOMS, 1 POWDER, MUD ROOM WITH ATTACHED 2- CAR GARAGE COVERED PORCH, TRELLIS PATIO AND WALK DECK.","$484,233.19",Issued,11-21-2024,10-06-2025,10-06-2026,,Jotek Development Inc
"6158 Oak Avenue, Temple City, California 91780",5385-010-035,B25-50196,Building,RR Residential Alteration,REPLACING THE POSTS FOR BALCONY SUPPORT ,$1000,Finaled,10-06-2025,10-06-2025,10-06-2026,10-21-2025,"Tung Wing Construction, Inc. "
"9055 Broadway, Temple City, California 91780",5387-026-008,B25-50200,Building,RR Residential Alteration,CREATE A NEW STUDY ROOM 140 SQ.FT. IN FAMILY ROOM AND NEW ATTACHED 313 SQ.FT. PATIO COVER ,"$10,000",Issued,10-06-2025,10-06-2025,10-06-2026,,Owner-Builder
"5537 El Monte Avenue, Temple City, California 91780",8586-010-009,B25-50203,Building,RR Residential Alteration,TEAR OFF EXISTING ROOF AND RE-ROOF WITH ASPHALT SHINGLES ,"$19,000",Finaled,10-06-2025,10-06-2025,10-06-2026,10-15-2025,Owner-Builder
"9655 Woodruff Avenue Unit A , Temple City, California 91780",5385-018-015,E25-50195,Electrical,,INSTALL SUB-PANEL 100 AMP ,$0,Issued,10-06-2025,10-06-2025,10-06-2026,,JP Service dba P Construction CO.
"5675 Loma Avenue, Temple City, California 91780",5387-022-009,E25-50197,Electrical,,INSTALL SUB-PANEL 200 AMP ,$0,Issued,10-06-2025,10-06-2025,10-06-2026,,Freedom Forever Southern California LLC 
"10218 Daines Drive, Temple City, California 91780",8586-027-004,E25-50204,Electrical,,ADD (1) OUTSIDE PLUG / RECONNECT 230V TO CONDENSER ,$0,Finaled,10-06-2025,10-06-2025,10-06-2026,11-17-2025,Air Tech Air Conditioning Heating Inc. 
"10218 Daines Drive, Temple City, California 91780",8586-027-004,M25-50205,Mechanical,,"REPLACING FAU, COIL & CONDENSER SYSTEM ",$0,Finaled,10-06-2025,10-06-2025,10-06-2026,11-17-2025,Air Tech Air Conditioning Heating Inc. 
"9055 Broadway, Temple City, California 91780",5387-026-008,MISC25-50201,Miscellaneous,,TO VERIFY COMPLIANCE: TO REMOVE UNPERMITTED PATIO 456 SQ.FT. REMOVE EXTERIOR LAUNDRY AND REMOVE 2ND KITCHEN ,$0,Issued,10-06-2025,10-06-2025,10-06-2026,,Owner-Builder
"9664 Workman Avenue, Temple City, California 91780",8587-022-014,P25-50202,Plumbing,,INSTALL NEW GAS LINE FOR A POOL HEATER ,$0,Finaled,10-06-2025,10-06-2025,10-06-2026,10-13-2025,City Pool and Spa Construction 
"10628 Roseglen Street, Temple City, California 91780",8585-027-025,B25-50206,Building,RR Residential Alteration,HOUSE - REMOVE EXISTING COMP SHINGLE. INSTALL NEW COMP SHINGLES OVER EXISTING SHEATHING ,$8000,Finaled,10-07-2025,10-07-2025,10-07-2026,10-20-2025,Keefer's Roofing
"10628 Roseglen Street, Temple City, California 91780",8585-027-025,B25-50207,Building,OT Other,DETACHED GARAGE - REMOVE EXISTING COMP SHINGLE. INSTALL NEW COMP SHINGLES OVER EXISTING SHEATHING ,$2000,Finaled,10-07-2025,10-07-2025,10-07-2026,10-20-2025,Keefer's Roofing
"5226 Golden West Avenue, Temple City, California 91780",8589-009-006,B25-50211,Building,CB Combo Building,TO INSTALL A LG BATTERY WITH ROOF MOUNTED SOLAR PV SYSTEM 10.14 KW (26) MODULES ,$0,Finaled,10-07-2025,10-07-2025,10-07-2026,11-06-2025,Jun Yan Li dba SolarLife 
"4919 Glickman Avenue, Temple City, California 91780",8585-012-056,B25-50213,Building,CB Combo Building,ROOFTOP MOUNTED SOLAR ENERGY SYSTEM 9.84 KW DC (11.5 KW AC) (24) Q.PEAK DUO BLK ML-G10+410 SOLAR MODULES (1) 170700-XX-Y (11.5 KW) INVERTER (1) 1807000-XX-Y BATTERY ,$0,Issued,10-07-2025,10-07-2025,10-07-2026,,Off Grid Energy Solutions LLC dba Avego 
