Address                                                              , Parcel No   , Permit No   , Permit Type  , Bldg Permit Subtype      , Work Description                                                                                                                                                                                                                                                                                                                                                                                                              , Valuation     , Permit Status, Application Date, Issue Date, Expire Date, Final Date, Contractor
"6166 Encinita Avenue, Temple City, California 91780"                , 5385-002-002, B24-47531   , Building     , RR Residential Alteration, "INTERIOR REMODEL OF EXISTING KITCHEN RELOCATION W/WALK-IN PANTRY, BATHROOM RELOCATION, BEDROOM RELOCATION WITH NEW BATHROOMS, LAUNDRY ROOM RELOCATION AND STUDY RELOCATION. RAISING CEILING TO 9' NEW ROOF AT REMODEL AREA ONLY. RE ROOFING NEW ASPHLAT SHINGLES SHALL MATCH EXISTING. REMOVE EXISTING FIREPLACE. REPLACE (E) PICTURE WINDOW WITH NEW SINGLE HUNG WINDOW SIZE UNCHANGE @ LIVING ROOM (STREET FACING FACADE) ", "$90,000 "    , Issued       , 9/18/2024       , 1/2/2025  , 1/2/2026   ,           , Right Builder Construction Inc.
"10527 Key West Street, Temple City, California 91780"               , 8585-023-024, B24-47537   , Building     , RA Residential Addition  , "INTERIOR REMODEL OF 472 SQ.FT. TO RELOCATE EXISTING KITCHEN, BEDROOM AND BATHROOM. SECOND FLOOR ADDITION OF 3 BEDROOMS, 2 BATHROOMS AND ATTACHED 2-CAR GARAGE "                                                                                                                                                                                                                                                              , "$300,000 "   , Issued       , 9/18/2024       , 1/2/2025  , 1/2/2026   ,           , 
"5319 Cloverly Avenue, Temple City, California 91780"                , 8590-004-011, B25-48194   , Building     , RR Residential Alteration, TEAR  OFF REROOF TORCH DOWN LIKE FOR LIKE ON FLAT SECTION ONLY                                                                                                                                                                                                                                                                                                                                                                , "$3,500 "     , Finaled      , 1/2/2025        , 1/2/2025  , 1/2/2026   , 1/10/2025 , BXD Construction
"9647 Garibaldi Avenue, Temple City, California 91780"               , 5385-017-021, B25-48196   , Building     , RR Residential Alteration, REMOVED SIDING ON HOUSE ADDED STUCCO                                                                                                                                                                                                                                                                                                                                                                                          , "$2,300 "     , Issued       , 1/2/2025        , 1/2/2025  , 1/2/2026   ,           , Owner-Builder
"5756 Loma Avenue Unit A, Temple City, California 91780"             , 5387-017-017, B25-48198   , Building     , FS Fire Sprinkler        , FIRE SPRINKLER SYSTEM FOR SFD                                                                                                                                                                                                                                                                                                                                                                                                 , "$5,600 "     , Issued       , 1/2/2025        , 1/2/2025  , 1/2/2026   ,           , United Fire & Safety Corp.
"5756 Loma Avenue Unit B, Temple City, California 91780"             , 5387-017-017, B25-48199   , Building     , FS Fire Sprinkler        , FIRE SPRINKLERS FOR ADU                                                                                                                                                                                                                                                                                                                                                                                                       , "$1,500 "     , Issued       , 1/2/2025        , 1/2/2025  , 1/2/2026   ,           , United Fire & Safety Corp.
"10225 La Rosa Drive, Temple City, California 91780"                 , 8585-006-004, B25-48200   , Building     , RR Residential Alteration, TEAR OFF REROOF HOUSE SHINGLES LIKE FOR LIKE                                                                                                                                                                                                                                                                                                                                                                                  , "$20,500 "    , Issued       , 1/2/2025        , 1/2/2025  , 1/2/2026   ,           , Shunde Roofing Inc.
"8802 Garibaldi Avenue, San Gabriel, California 91780"               , 5386-011-033, B25-48202   , Building     , RR Residential Alteration, REROOF OVER 1 LAYER SHINGLES MAIN HOUSE                                                                                                                                                                                                                                                                                                                                                                                       , "$10,500 "    , Issued       , 1/2/2025        , 1/2/2025  , 1/2/2026   ,           , Shunde Roofing Inc.
"6208 North Muscatel Avenue, San Gabriel, California 91775"          , 5386-010-016, E25-48195   , Electrical   ,                          , 200A MPU                                                                                                                                                                                                                                                                                                                                                                                                                      , $0            , Issued       , 1/2/2025        , 1/2/2025  , 1/2/2026   ,           , David Electric Service Partnership
"6059 Golden West Avenue, Temple City, California 91780"             , 5385-019-001, E25-48201   , Electrical   ,                          , 200A MPU                                                                                                                                                                                                                                                                                                                                                                                                                      , $0            , Issued       , 1/2/2025        , 1/2/2025  , 1/2/2026   ,           , 
