Address,Parcel No,Permit No,Permit Type,Bldg Permit Subtype,Work Description,Valuation,Permit Status,Application Date,Issue Date,Expire Date,Final Date,Contractor
"5823 Rosemead Boulevard, Temple City, California 91780",5387-012-045,B25-48372,Building,SI Sign,INTERNALLY LED ILLUMINATED CHANNEL LETTER WALL SIGN ,$3000,Issued,01-23-2025,02-03-2025,02-03-2026,,Dong Bang Sign 
"5221 Hallowell Avenue, Temple City, California 91780",8585-019-018,B25-48467,Building,OT Other,REPLACE EXISTING PATIO COVER (SAME LOCATION) ,$4500,Issued,02-03-2025,02-03-2025,02-03-2026,,B X D Construction Inc. 
"5802 Alessandro Avenue, Temple City, California 91780",8587-006-024,B25-48468,Building,RR Residential Alteration,"TEAR OFF NEW WOOD AND SHINGLES. INSTALL NEW 1/2"" OSB PLYWOOD. INSTALL NEW OWENS CORNING CLASS ""A"" ROOF DIMENSIONAL SHINGLES ","$12,000",Finaled,02-03-2025,02-03-2025,02-03-2026,02-26-2025,Pin Roofing Inc. 
"5227 Camellia Avenue, Temple City, California 91780",8589-013-003,B25-48471,Building,RR Residential Alteration,TEAR OFF EXISTING SHINGLES FLASHING OVER HOUSE. REPLACE WOOD AS NEEDED. INSTALL NEW SYNTHETIC UNDERLAYMENT 30 YR COOL ROOF SHINGLES AND TORCH DOWN LOW SLOPE AREA ,$6600,Issued,02-03-2025,02-03-2025,02-03-2026,,Ruano Construction Inc. dba SoCal Roofing Solutions 
"5227 Camellia Avenue, Temple City, California 91780",8589-013-003,B25-48472,Building,OT Other,TEAR OFF EXISTING SHINGLES FLASHING OVER DETACHED GARAGE. REPLACE WOOD AS NEEDED. INSTALL NEW SYNTHETIC UNDERLAYMENT 30 YR COOL ROOF SHINGLES AND TORCH DOWN LOW SLOPE AREA ,$1500,Issued,02-03-2025,02-03-2025,02-03-2026,,Ruano Construction Inc. dba SoCal Roofing Solutions 
"4928 Doreen Avenue, Temple City, California 91780",8585-025-022,B25-48473,Building,RR Residential Alteration,"REMOVE AND REPLACE ROOF 3 LAYERS AND HAUL AWAY ALL ROOF DEBRIS. INSTALL OSB RADIANT BARRIER. INSTALL SYNTHETIC FEL, NEW OWENS CORNING MYSTIC/GRAY SHINGLES + TORCH DOWN AT ROOF VALLEY/RIDGED CAPS/PAINT & SEAL ALL NEW ROOF FLASHINGS ",$5100,Issued,02-03-2025,02-03-2025,02-03-2026,,Owner-Builder
"5823 Rosemead Boulevard, Temple City, California 91780",5387-012-045,E25-48403,Electrical,,INTERNALLY LED ILLUMINATED CHANNEL LETTER WALL SIGN ,$0,Issued,01-28-2025,02-03-2025,02-03-2026,,Dong Bang Sign 
"5121 Sereno Drive, Temple City, California 91780",5388-017-019,E25-48461,Electrical,,INSTALL A NEW ELECTRICAL GATE ,$0,Issued,02-03-2025,02-03-2025,02-03-2026,,Owner-Builder
"4925 Halifax Road, Temple City, California 91780",8585-017-036,E25-48462,Electrical,,200 AMP PANEL UPGRADE ,$0,Issued,02-03-2025,02-03-2025,02-03-2026,,3 Phase  Electric 
"5820 Temple City Boulevard, Temple City, California 91780",8587-018-025,E25-48463,Electrical,,REPLACE 200 AMP SUB-PANEL ,$0,Issued,02-03-2025,02-03-2025,02-03-2026,,Tran U S Construction Inc. 
"4950 Loma Avenue, Temple City, California 91780",5388-013-020,E25-48469,Electrical,,UPGRADE ELECTRICAL PANEL TO 200 AMP SERVICE ,$0,Finaled,02-03-2025,02-03-2025,02-03-2026,02-05-2025,Owner-Builder
"5932 Rosemead Boulevard, Temple City, California 91780",5384-016-013,E25-48470,Electrical,,"INSTALL (9) OUTLETS, SWITCHES AND LIGHT FIXTURES. INSTALL (2) 110V BRANCH CIRCUITS ",$0,Issued,02-03-2025,02-03-2025,02-03-2026,,Joseph La Muth 
"5838 Agnes Avenue, Temple City, California 91780",8587-030-011,P25-48464,Plumbing,,CHANGE GALVANIZED PIPES TO COPPER (8) PLUMBING FIXTURES ,$0,Finaled,02-03-2025,02-03-2025,02-03-2026,02-05-2025,Luckett & Sons Construction Company 
"10200 Nadine Street Unit B , Temple City, California 91780",8586-026-012,B24-47680,Building,CB Combo Building,INSTALL 2.96 KW ROOF MOUNT PV SOLAR SYSTEM (5) PANELS ,$7748,Issued,10-03-2024,02-04-2025,02-04-2026,,Integratesun LLC
"4853 Doreen Avenue Unit A , Temple City, California 91780",8585-024-036,B24-47952,Building,RA Residential Addition,"MAIN HOUSE ADDITION OF 1364 SQ.FT. OF 3 BEDROOMS, 3 BATHROOMS AND RENOVATION OF EXISTING HOUSE 1136 SQ.FT. OF CHANGING EXISTING LAYOUT FROM 3 BEDROOMS 1 BATHROOM INTO 2 BEDROOMS AND 2 BATHROOMS","$288,703.8",Issued,11-19-2024,02-04-2025,02-04-2026,,Aligcus Construction LLC 
"4853 Doreen Avenue Unit B , Temple City, California 91780",8585-024-036,B24-47953,Building,NR New Residential,"NEW DETACHED 1000 SQ.FT. ACCESSORY DWELLING UNIT: THREE BEDROOMS, TWO BATHROOMS, KITCHEN AND 15 SQ.FT. FRONT PORCH ","$166,632.85",Issued,11-19-2024,02-04-2025,02-04-2026,,Aligcus Construction LLC 
"4853 Doreen Avenue, Temple City, California 91780",8585-024-036,B24-47954,Building,OT Other,BUILD A NEW DETACHED 2-CAR GARAGE 400 SQ.FT. ,"$25,676",Issued,11-19-2024,02-04-2025,02-04-2026,,Aligcus Construction LLC 
"6251 Avon Avenue, San Gabriel, California 91775",5386-006-030,B25-48310,Building,CB Combo Building,"INSTALL ROOF-MOUNTED PV 6.15KW, (15) MODULES (1) TESLA POWERWALL ESS & (1) 200 INTERNAL LOAD CENTER",$0,Issued,01-15-2025,02-04-2025,02-04-2026,,Tesla Energy Operations Inc. 
"9018 Garibaldi Avenue, Temple City, California 91780",5384-016-023,B25-48404,Building,CB Combo Building,PV ROOF MOUNT SOLAR 4.40KW SYSTEM (11) MODULES. (1) ESS BATTERY ,"$29,256",Issued,01-28-2025,02-04-2025,02-04-2026,,Clean Energy Solutions Inc. 
"8756 Garibaldi Avenue, San Gabriel, California 91775",5386-008-036,B25-48405,Building,RR Residential Alteration,"25 SQ.FT. REMOVE AND INSTALL CLASS ""A"" OWENS CORNING SHINGLES ON MAIN HOUSE ",$6000,Finaled,01-28-2025,02-04-2025,02-04-2026,02-26-2025,Clear View Roofing & Construction 
"8756 Garibaldi Avenue, San Gabriel, California 91775",5386-008-036,B25-48406,Building,OT Other,"REMOVE AND INSTALL CLASS ""A"" OWENS CORNING SHINGLES DETACHED GARAGE AND 2 SQ'S REMOVE AND INSTALL FRESKO TORCH DOWN ",$2000,Finaled,01-28-2025,02-04-2025,02-04-2026,02-26-2025,Clear View Roofing & Construction 
"4853 Doreen Avenue Unit A , Temple City, California 91780",8585-024-036,B25-48449,Building,RR Residential Alteration,RE-ROOFING FOR EXISTING MAIN HOUSE PORTION 1136 SQ.FT. TO MATCH NEW ADDITION ,$6000,Issued,01-30-2025,02-04-2025,02-04-2026,,Aligcus Construction LLC 
