Address,Parcel No,Permit No,Permit Type,Bldg Permit Subtype,Work Description,Valuation,Permit Status,Application Date,Issue Date,Expire Date,Final Date,Contractor
"5752 Agnes Avenue, Temple City, California 91780",8587-029-015,B25-48726,Building,RA Residential Addition,"1ST: STORY ADDITION 868 SQ.FT.  AND REMODEL 702 SQ.FT. OF 2 BEDROOMS, 2.5 BATHROOMS, KITCHEN, LIVING ROOM DINING ROOM AND 2ND: STORY ADDITION 637 SQ.FT. OF 2 BEDROOMS, 2 BATHROOMS, FRONT PORCH 84.5 SQ.FT. AND CONVERT 412 SQ.FT.  LIVING AREA AND  ADD 58 SQ.FT. INTO NEW 470 SQ.FT. ATTACHED 2-CAR GARAGE . ","$300,000",Issued,03-10-2025,07-01-2025,07-01-2026,,MMA Construction Corp. 
"5837-5839 Golden West Avenue, Temple City, California 91780",8587-024-008,B25-49521,Building,RR Residential Alteration,TEAR OFF EXISTING SHINGLES (3) LAYERS MAIN HOUSES  2100 SQ.FT.  INSTALL NEW PLYWOOD OSB 1/2 INCH. INSTALL SYNTHETIC UNDERLAYMENT AND NEW SHINGLE COOL ROOF SIERRA GRAY OWENS CORNING SRI 20 CRRC # 0890-0013,"$12,180",Finaled,07-01-2025,07-01-2025,07-01-2026,07-22-2025,Jose Pena 
"5837 Golden West Avenue, Temple City, California 91780",8587-024-008,B25-49522,Building,OT Other,TEAR OFF EXISTING SHINGLES (3) LAYERS DETACHED GARAGE 600 SQ.FT.  INSTALL NEW PLYWOOD OSB 1/2 INCH. INSTALL SYNTHETIC UNDERLAYMENT AND NEW SHINGLE COOL ROOF SIERRA GRAY OWENS CORNING SRI 20 CRRC # 0890-0013,$3408,Finaled,07-01-2025,07-01-2025,07-01-2026,07-22-2025,Jose Pena 
"5752 Agnes Avenue, Temple City, California 91780",8587-029-015,E25-49524,Electrical,,"(10) BRANCH CIRCUITS, (10) BRANCH CIRCUITS LIGHTING, (60) OUTLETS AND LIGHT FIXTURES, FAU, GARBAGE DISPOSAL, DISHWASHER, RANGE HOOD, WASHING MACHINE, EXHAUST FANS, ELECTRIC WATER HEATER, HEAT PUMPS AND AC UNITS ",$0,Issued,07-01-2025,07-01-2025,07-01-2026,,MMA Construction Corp. 
"5524 - 5532  Mcculloch Avenue, Temple City, California 91780",8573-013-008,G24-46986,Grading,,GRADING FOR 11 UNITS RESIDENTIAL CONDOMINIUMS ,$0,Issued,06-26-2024,07-01-2025,07-01-2026,,BBB Demolition Inc. 
"5752 Agnes Avenue, Temple City, California 91780",8587-029-015,M25-49525,Mechanical,,"INSTALL (2) HVAC SYSTEMS, AIR INLETS AND VENTILATION FANS ",$0,Issued,07-01-2025,07-01-2025,07-01-2026,,MMA Construction Corp. 
"5752 Agnes Avenue, Temple City, California 91780",8587-029-015,P25-49526,Plumbing,,"BATHTUBS/SHOWERS, CLOTHES WASHER, DISHWASHER, HOSE BIBBS, LAVATORIES, SINK, WATER CLOSETS, WATER HEATER  AND GAS LINES ",$0,Issued,07-01-2025,07-01-2025,07-01-2026,,MMA Construction Corp. 
"9566 Las Tunas Drive, Temple City, California 91780",8587-015-015,B25-49519,Building,SI Sign,"18"" X 36"" X 090"" ALUMINUM PANEL WITH BRACKET. PROJECTING SIGN INSTALLED AT LOCATION ADDRESS.  STOREFRONT IMPROVEMENT BLADE SIGNAGE ""PATHS TO SPICY"" ",$0,Issued,06-30-2025,07-02-2025,07-02-2026,,"ASI Sign Systems, Inc. dba ASI "
"5614 Loma Avenue, Temple City, California 91780",5387-019-011,B25-49527,Building,OT Other,DEMOLITION OF EXISTING CHIMNEY TO THE FOUNDATION ,$7434,Issued,07-02-2025,07-02-2025,07-02-2026,,Boston Brick & Stone 
"9662 Las Tunas Drive, Temple City, California 91780",8587-021-015,B25-49530,Building,SI Sign,(1) ILLUMINATED INDIVIDUAL CHANNEL LETTER METAL CANOPY SIGN ON EXISTING RACEWAY (SONIC TOUR) ,$2300,Issued,07-02-2025,07-02-2025,07-02-2026,,Martinez Electric 
"8859 Elm Avenue, Temple City, California 91780",5387-010-012,B25-49533,Building,RR Residential Alteration,REMOVE OLD ROOF. REPLACEMENT 900 SQ.FT. WITH ASPHALT SHINGLE ,"$13,750",Finaled,07-02-2025,07-02-2025,07-02-2026,07-21-2025,Owner-Builder
"4929 Ryland Avenue, Temple City, California 91780",8585-010-011,B25-49534,Building,CB Combo Building, 11.07 KW DC ROOF MOUNTED SOLAR PV SYSTEM (27) MODULES WITH ENERGY STORAGE SYSTEM ,$0,Issued,07-02-2025,07-02-2025,07-02-2026,,Freedom Forever Southern California LLC 
"5131 Sereno Drive, Temple City, California 91780",5388-018-018,B25-49536,Building,RR Residential Alteration,MAIN HOUSE - TEAR OFF EXISTING ROOF. RE-ROOF WITH COMPO SHINGLES ,$6000,Finaled,07-02-2025,07-02-2025,07-02-2026,07-23-2025,Owner-Builder
"5131 Sereno Drive, Temple City, California 91780",5388-018-018,B25-49537,Building,OT Other,DETACHED GARAGE  - TEAR OFF EXISTING ROOF. RE-ROOF WITH COMPO SHINGLES ,$3000,Finaled,07-02-2025,07-02-2025,07-02-2026,07-23-2025,Owner-Builder
"5745 Primrose Avenue, Temple City, California 91780",8587-011-009,B25-49538,Building,RR Residential Alteration,REMOVE EXISTING ROOF ON MAIN HOUSE - APPROXIMATELY 3 LAYERS SHEATHING. INSTALL 30 YEAR SHINGLE PEEL & STICK ON FLAT AREA  ,"$16,000",Finaled,07-02-2025,07-02-2025,07-02-2026,07-10-2025,Cruz Roofing Systems
"5745 Primrose Avenue, Temple City, California 91780",8587-011-009,B25-49539,Building,OT Other,REMOVE EXISTING ROOF ON DETACHED GARAGE  - APPROXIMATELY 3 LAYERS SHEATHING. INSTALL 30 YEAR SHINGLE PEEL & STICK ON FLAT AREA  ,$2000,Finaled,07-02-2025,07-02-2025,07-02-2026,07-10-2025,Cruz Roofing Systems
"4902 Baldwin Avenue, Temple City, California 91780",8585-009-024,B25-49542,Building,CB Combo Building,9.20 KW DC ROOF MOUNTED SOLAR PV SYSTEM (22) MODULES WITH ENERGY STORAGE SYSTEM ,$0,Issued,07-02-2025,07-02-2025,07-02-2026,,Freedom Forever Southern California LLC 
"9662 Las Tunas Drive, Temple City, California 91780",8587-021-015,E25-49531,Electrical,,(1) ILLUMINATED INDIVIDUAL CHANNEL LETTER METAL CANOPY SIGN ON EXISTING RACEWAY (SONIC TOUR) ,$0,Issued,07-02-2025,07-02-2025,07-02-2026,,Martinez Electric 
"4929 Ryland Avenue, Temple City, California 91780",8585-010-011,E25-49535,Electrical,,ENERGY STORAGE SYSTEM ,$0,Issued,07-02-2025,07-02-2025,07-02-2026,,Freedom Forever Southern California LLC 
"5302 Noel Drive, Temple City, California 91780",5388-007-036,E25-49541,Electrical,,PANEL UPGRADE FROM 100 AMP TO 200 AMP SERVICE PANEL ,$0,Finaled,07-02-2025,07-02-2025,07-02-2026,07-23-2025,Roledn Electric 
"4902 Baldwin Avenue, Temple City, California 91780",8585-009-024,E25-49543,Electrical,,ENERGY STORAGE SYSTEM & SUB-PANEL ,$0,Issued,07-02-2025,07-02-2025,07-02-2026,,Freedom Forever Southern California LLC 
"9111 Olema Street, Temple City, California 91780",5382-023-024,M25-49532,Mechanical,,CHANGE OUT FURNACE IN ATTIC ,$0,Finaled,07-02-2025,07-02-2025,07-02-2026,07-03-2025,Air Tro Incorporated 
"5212 Mcclintock Avenue, Temple City, California 91780",8574-005-015,B25-48903,Building,RA Residential Addition,2ND: STORY ADDITION 921 SQ.FT. OF (N) TWO BEDROOMS AND TWO BATHROOMS ,"$152,582.07",Issued,04-07-2025,07-03-2025,07-03-2026,,Owner-Builder
"10709 La Rosa Drive, Temple City, California 91780",8574-002-020,B25-49547,Building,RR Residential Alteration,RE-ROOF W/TEAR OFF HOUSE 2125 SQ.FT. SHEATHING AS NEEDED. INSTALL NEW SYNTHETIC UNDERLAYMENT AND NEW COOL ROOF SHINGLES ,$7350,Finaled,07-03-2025,07-03-2025,07-03-2026,07-28-2025,Ruano Construction Inc. dba SoCal Roofing Solutions 
"10709 La Rosa Drive, Temple City, California 91780",8574-002-020,B25-49548,Building,OT Other,RE-ROOF W/TEAR OFF DETACHED GARAGE 446 SQ.FT. SHEATHING AS NEEDED. INSTALL NEW SYNTHETIC UNDERLAYMENT AND NEW COOL ROOF SHINGLES ,$1400,Finaled,07-03-2025,07-03-2025,07-03-2026,07-28-2025,Ruano Construction Inc. dba SoCal Roofing Solutions 
