antecedents,consequents,support,confidence,lift,antecedent_len,predicted_target
"description_keywords=solar+electrical, fee_bucket=2_999, valuation_bucket=10000_99999",permit_type_input=Solar Permit (R),0.00564478441596773,0.9913606911447084,79.81336954429784,3,Solar Permit (R)
"description_keywords=solar+electrical, fee_bucket=2_999",permit_type_input=Solar Permit (R),0.006444154758098237,0.9849624060150376,79.29825057693739,2,Solar Permit (R)
"description_keywords=solar+electrical, valuation_bucket=10000_99999",permit_type_input=Solar Permit (R),0.006259684679145043,0.9826254826254827,79.11010742000842,2,Solar Permit (R)
"description_keywords=pool, fee_bucket=2_999, valuation_bucket=10000_99999",permit_type_input=Swimming Pool Permit (R),0.012691541431979732,0.9781990521327014,51.02070412130756,3,Swimming Pool Permit (R)
"description_keywords=pool, valuation_bucket=10000_99999",permit_type_input=Swimming Pool Permit (R),0.01611038689524559,0.9696521095484825,50.57491445530809,2,Swimming Pool Permit (R)
description_keywords=solar+electrical,permit_type_input=Solar Permit (R),0.007464889194972575,0.9681020733652312,77.94084355804002,1,Solar Permit (R)
"description_keywords=other, fee_bucket=1000_9999, valuation_bucket=100000_plus",permit_type_input=New Building Permit (R),0.04353493863295373,0.9482989552638629,9.816674888392837,3,New Building Permit (R)
"description_keywords=mechanical+pool, fee_bucket=le_1, valuation_bucket=le_1",permit_type_input=Occupancy Permit (C),0.00643185675283469,0.9355992844364938,5.300816625882738,3,Occupancy Permit (C)
"description_keywords=other, fee_bucket=1000_9999",permit_type_input=New Building Permit (R),0.04459256708561871,0.922177009155646,9.546263694778128,2,New Building Permit (R)
"description_keywords=other, valuation_bucket=100000_plus",permit_type_input=New Building Permit (R),0.08922202818702807,0.8887663849075096,9.200400995845861,2,New Building Permit (R)
"description_keywords=other, fee_bucket=2_999, valuation_bucket=100000_plus",permit_type_input=New Building Permit (R),0.02218560149543744,0.8821515892420537,9.131925439545302,3,New Building Permit (R)
"description_keywords=plumbing+mechanical, fee_bucket=2_999, valuation_bucket=le_1",permit_type_input=Plumbing Permit (R),0.006382664731780505,0.8752107925801011,29.214651226542834,3,Plumbing Permit (R)
"description_keywords=plumbing+mechanical, valuation_bucket=le_1",permit_type_input=Plumbing Permit (R),0.007415697173918391,0.8739130434782609,29.171332191047334,2,Plumbing Permit (R)
"description_keywords=pool, fee_bucket=2_999",permit_type_input=Swimming Pool Permit (R),0.013576997810955064,0.8591439688715953,44.81105367852784,2,Swimming Pool Permit (R)
