row_index,target_field,algorithm,predicted_value,confidence,prediction_source,passes_threshold,candidate_status,rejection_reason,validation_record_status
6,permit_type,grouped_majority,Building Permit OTC,0.5693950177935944,group_majority,True,Accepted,,valid
8,permit_type,grouped_majority,Building Permit OTC,0.5693950177935944,group_majority,True,Accepted,,valid
11,permit_type,grouped_majority,Building Permit OTC,0.5693950177935944,group_majority,True,Accepted,,valid
17,permit_type,grouped_majority,Building Permit OTC,0.5693950177935944,group_majority,True,Accepted,,valid
20,permit_type,grouped_majority,Building Permit OTC,0.5693950177935944,group_majority,True,Accepted,,valid
22,permit_type,grouped_majority,Building Permit OTC,0.9090909090909091,group_majority,True,Accepted,,valid
23,permit_type,grouped_majority,Building Permit OTC,0.5693950177935944,group_majority,True,Accepted,,valid
24,permit_type,grouped_majority,Building Permit OTC,0.5693950177935944,group_majority,True,Accepted,,valid
26,permit_type,grouped_majority,Building Permit OTC,0.9090909090909091,group_majority,True,Accepted,,valid
28,permit_type,grouped_majority,Building Permit OTC,0.5693950177935944,group_majority,True,Accepted,,valid
29,permit_type,grouped_majority,Building Permit OTC,0.5693950177935944,group_majority,True,Accepted,,valid
31,permit_type,grouped_majority,Building Permit OTC,0.5693950177935944,group_majority,True,Accepted,,valid
33,permit_type,grouped_majority,Building Permit OTC,0.5693950177935944,group_majority,True,Accepted,,valid
34,permit_type,grouped_majority,Building Permit OTC,0.5693950177935944,group_majority,True,Accepted,,valid
38,permit_type,grouped_majority,Building Permit OTC,0.9090909090909091,group_majority,True,Accepted,,valid
42,permit_type,grouped_majority,Electrical OTC,0.9866666666666667,group_majority,True,Accepted,,valid
44,permit_type,grouped_majority,Electrical OTC,0.9565217391304348,group_majority,True,Accepted,,valid
52,permit_type,grouped_majority,Electrical OTC,0.9866666666666667,group_majority,True,Accepted,,valid
54,permit_type,grouped_majority,Electrical OTC,0.9866666666666667,group_majority,True,Accepted,,valid
56,permit_type,grouped_majority,Electrical OTC,0.9866666666666667,group_majority,True,Accepted,,valid
58,permit_type,grouped_majority,Electrical OTC,0.9866666666666667,group_majority,True,Accepted,,valid
67,permit_type,grouped_majority,Electrical OTC,0.9866666666666667,group_majority,True,Accepted,,valid
71,permit_type,grouped_majority,Mechanical OTC,1.0,group_majority,True,Accepted,,valid
72,permit_type,grouped_majority,Mechanical OTC,0.9900990099009901,group_majority,True,Accepted,,valid
73,permit_type,grouped_majority,Mechanical OTC,0.9900990099009901,group_majority,True,Accepted,,valid
74,permit_type,grouped_majority,Mechanical OTC,0.9900990099009901,group_majority,True,Accepted,,valid
75,permit_type,grouped_majority,Mechanical OTC,0.9900990099009901,group_majority,True,Accepted,,valid
78,permit_type,grouped_majority,Mechanical OTC,0.9900990099009901,group_majority,True,Accepted,,valid
81,permit_type,grouped_majority,Mechanical OTC,0.9900990099009901,group_majority,True,Accepted,,valid
82,permit_type,grouped_majority,Plumbing OTC,0.9883720930232558,group_majority,True,Accepted,,valid
86,permit_type,grouped_majority,Plumbing OTC,0.9883720930232558,group_majority,True,Accepted,,valid
88,permit_type,grouped_majority,Plumbing OTC,0.9883720930232558,group_majority,True,Accepted,,valid
89,permit_type,grouped_majority,Plumbing OTC,0.9883720930232558,group_majority,True,Accepted,,valid
90,permit_type,grouped_majority,Plumbing OTC,1.0,group_majority,True,Accepted,,valid
91,permit_type,grouped_majority,Plumbing OTC,1.0,group_majority,True,Accepted,,valid
100,permit_type,grouped_majority,Plumbing OTC,0.9883720930232558,group_majority,True,Accepted,,valid
101,permit_type,grouped_majority,Plumbing OTC,0.9883720930232558,group_majority,True,Accepted,,valid
105,permit_type,grouped_majority,Residential Building Report,0.9908256880733946,group_majority,True,Accepted,,valid
107,permit_type,grouped_majority,Residential Building Report,0.9908256880733946,group_majority,True,Accepted,,valid
111,permit_type,grouped_majority,Residential Building Report,0.9908256880733946,group_majority,True,Accepted,,valid
112,permit_type,grouped_majority,Residential Building Report,0.9908256880733946,group_majority,True,Accepted,,valid
116,permit_type,grouped_majority,Residential Building Report,0.9908256880733946,group_majority,True,Accepted,,valid
120,permit_type,grouped_majority,Building Permit OTC,0.5693950177935944,group_majority,True,Accepted,,valid
122,permit_type,grouped_majority,Building Permit OTC,0.5693950177935944,group_majority,True,Accepted,,valid
123,permit_type,grouped_majority,Building Permit OTC,0.5693950177935944,group_majority,True,Accepted,,valid
128,permit_type,grouped_majority,Building Permit OTC,0.9090909090909091,group_majority,True,Accepted,,valid
131,permit_type,grouped_majority,Building Permit OTC,0.5693950177935944,group_majority,True,Accepted,,valid
132,permit_type,grouped_majority,Building Permit OTC,0.5693950177935944,group_majority,True,Accepted,,valid
134,permit_type,grouped_majority,Building Permit OTC,0.5693950177935944,group_majority,True,Accepted,,valid
135,permit_type,grouped_majority,Building Permit OTC,0.5693950177935944,group_majority,True,Accepted,,valid
137,permit_type,grouped_majority,Building Permit OTC,0.5693950177935944,group_majority,True,Accepted,,valid
140,permit_type,grouped_majority,Building Permit OTC,0.5693950177935944,group_majority,True,Accepted,,valid
141,permit_type,grouped_majority,Building Permit OTC,0.5693950177935944,group_majority,True,Accepted,,valid
142,permit_type,grouped_majority,Building Permit OTC,0.9090909090909091,group_majority,True,Accepted,,valid
145,permit_type,grouped_majority,Building Permit OTC,0.5693950177935944,group_majority,True,Accepted,,valid
148,permit_type,grouped_majority,Building Permit OTC,0.5693950177935944,group_majority,True,Accepted,,valid
150,permit_type,grouped_majority,Building Permit OTC,0.5693950177935944,group_majority,True,Accepted,,valid
152,permit_type,grouped_majority,Building Permit OTC,0.5693950177935944,group_majority,True,Accepted,,valid
153,permit_type,grouped_majority,Building Permit OTC,0.9090909090909091,group_majority,True,Accepted,,valid
155,permit_type,grouped_majority,Building Permit OTC,0.5693950177935944,group_majority,True,Accepted,,valid
156,permit_type,grouped_majority,Building Permit OTC,0.5693950177935944,group_majority,True,Accepted,,valid
157,permit_type,grouped_majority,Building Permit OTC,0.5693950177935944,group_majority,True,Accepted,,valid
160,permit_type,grouped_majority,Building Permit OTC,0.5693950177935944,group_majority,True,Accepted,,valid
162,permit_type,grouped_majority,Building Permit OTC,0.5693950177935944,group_majority,True,Accepted,,valid
164,permit_type,grouped_majority,Building Permit OTC,0.5693950177935944,group_majority,True,Accepted,,valid
165,permit_type,grouped_majority,Building Permit OTC,0.5693950177935944,group_majority,True,Accepted,,valid
166,permit_type,grouped_majority,Building Permit OTC,0.5693950177935944,group_majority,True,Accepted,,valid
167,permit_type,grouped_majority,Building Permit OTC,0.5693950177935944,group_majority,True,Accepted,,valid
169,permit_type,grouped_majority,Electrical OTC,0.9866666666666667,group_majority,True,Accepted,,valid
176,permit_type,grouped_majority,Electrical OTC,0.9866666666666667,group_majority,True,Accepted,,valid
178,permit_type,grouped_majority,Electrical OTC,0.9866666666666667,group_majority,True,Accepted,,valid
179,permit_type,grouped_majority,Electrical OTC,0.9866666666666667,group_majority,True,Accepted,,valid
184,permit_type,grouped_majority,Electrical OTC,0.9866666666666667,group_majority,True,Accepted,,valid
185,permit_type,grouped_majority,Electrical OTC,0.9866666666666667,group_majority,True,Accepted,,valid
189,permit_type,grouped_majority,Electrical OTC,0.9866666666666667,group_majority,True,Accepted,,valid
