row_index,target_field,algorithm,predicted_value,confidence,prediction_source,passes_threshold,candidate_status,rejection_reason,validation_record_status
6,sub_type,grouped_majority,Over The Counter,0.5567375886524822,group_majority,True,Accepted,,valid
8,sub_type,grouped_majority,Over The Counter,0.5567375886524822,group_majority,True,Accepted,,valid
11,sub_type,grouped_majority,Over The Counter,0.5567375886524822,group_majority,True,Accepted,,valid
17,sub_type,grouped_majority,Over The Counter,0.5567375886524822,group_majority,True,Accepted,,valid
20,sub_type,grouped_majority,Over The Counter,0.5567375886524822,group_majority,True,Accepted,,valid
22,sub_type,grouped_majority,Over The Counter,0.9069767441860465,group_majority,True,Accepted,,valid
23,sub_type,grouped_majority,Over The Counter,0.5567375886524822,group_majority,True,Accepted,,valid
24,sub_type,grouped_majority,Over The Counter,0.5567375886524822,group_majority,True,Accepted,,valid
26,sub_type,grouped_majority,Over The Counter,0.9069767441860465,group_majority,True,Accepted,,valid
28,sub_type,grouped_majority,Over The Counter,0.5567375886524822,group_majority,True,Accepted,,valid
29,sub_type,grouped_majority,Over The Counter,0.5567375886524822,group_majority,True,Accepted,,valid
31,sub_type,grouped_majority,Over The Counter,0.5567375886524822,group_majority,True,Accepted,,valid
33,sub_type,grouped_majority,Over The Counter,0.5567375886524822,group_majority,True,Accepted,,valid
34,sub_type,grouped_majority,Over The Counter,0.5567375886524822,group_majority,True,Accepted,,valid
38,sub_type,grouped_majority,Over The Counter,0.9069767441860465,group_majority,True,Accepted,,valid
42,sub_type,grouped_majority,Over The Counter,0.9793103448275862,group_majority,True,Accepted,,valid
44,sub_type,grouped_majority,Over The Counter,0.96875,group_majority,True,Accepted,,valid
52,sub_type,grouped_majority,Over The Counter,0.9793103448275862,group_majority,True,Accepted,,valid
54,sub_type,grouped_majority,Over The Counter,0.9793103448275862,group_majority,True,Accepted,,valid
56,sub_type,grouped_majority,Over The Counter,0.9793103448275862,group_majority,True,Accepted,,valid
58,sub_type,grouped_majority,Over The Counter,0.9793103448275862,group_majority,True,Accepted,,valid
67,sub_type,grouped_majority,Over The Counter,0.9793103448275862,group_majority,True,Accepted,,valid
70,sub_type,grouped_majority,Over The Counter,1.0,group_majority,True,Accepted,,valid
71,sub_type,grouped_majority,Over The Counter,1.0,group_majority,True,Accepted,,valid
73,sub_type,grouped_majority,Over The Counter,1.0,group_majority,True,Accepted,,valid
74,sub_type,grouped_majority,Over The Counter,1.0,group_majority,True,Accepted,,valid
75,sub_type,grouped_majority,Over The Counter,1.0,group_majority,True,Accepted,,valid
77,sub_type,grouped_majority,Over The Counter,1.0,group_majority,True,Accepted,,valid
78,sub_type,grouped_majority,Over The Counter,1.0,group_majority,True,Accepted,,valid
81,sub_type,grouped_majority,Over The Counter,1.0,group_majority,True,Accepted,,valid
86,sub_type,grouped_majority,Over The Counter,0.9888888888888889,group_majority,True,Accepted,,valid
87,sub_type,grouped_majority,Over The Counter,0.9888888888888889,group_majority,True,Accepted,,valid
88,sub_type,grouped_majority,Over The Counter,0.9888888888888889,group_majority,True,Accepted,,valid
89,sub_type,grouped_majority,Over The Counter,0.9888888888888889,group_majority,True,Accepted,,valid
90,sub_type,grouped_majority,Over The Counter,1.0,group_majority,True,Accepted,,valid
99,sub_type,grouped_majority,Over The Counter,0.9888888888888889,group_majority,True,Accepted,,valid
100,sub_type,grouped_majority,Over The Counter,0.9888888888888889,group_majority,True,Accepted,,valid
101,sub_type,grouped_majority,Over The Counter,0.9888888888888889,group_majority,True,Accepted,,valid
104,sub_type,grouped_majority,Residential Building Report,0.9814814814814815,group_majority,True,Accepted,,valid
105,sub_type,grouped_majority,Residential Building Report,0.9814814814814815,group_majority,True,Accepted,,valid
106,sub_type,grouped_majority,Residential Building Report,0.9814814814814815,group_majority,True,Accepted,,valid
107,sub_type,grouped_majority,Residential Building Report,0.9814814814814815,group_majority,True,Accepted,,valid
111,sub_type,grouped_majority,Residential Building Report,0.9814814814814815,group_majority,True,Accepted,,valid
112,sub_type,grouped_majority,Residential Building Report,0.9814814814814815,group_majority,True,Accepted,,valid
115,sub_type,grouped_majority,Residential Building Report,0.9814814814814815,group_majority,True,Accepted,,valid
119,sub_type,grouped_majority,Over The Counter,0.5567375886524822,group_majority,True,Accepted,,valid
122,sub_type,grouped_majority,Over The Counter,0.5567375886524822,group_majority,True,Accepted,,valid
128,sub_type,grouped_majority,Over The Counter,0.9069767441860465,group_majority,True,Accepted,,valid
130,sub_type,grouped_majority,Over The Counter,0.5567375886524822,group_majority,True,Accepted,,valid
132,sub_type,grouped_majority,Over The Counter,0.5567375886524822,group_majority,True,Accepted,,valid
134,sub_type,grouped_majority,Over The Counter,0.5567375886524822,group_majority,True,Accepted,,valid
135,sub_type,grouped_majority,Over The Counter,0.5567375886524822,group_majority,True,Accepted,,valid
137,sub_type,grouped_majority,Over The Counter,0.5567375886524822,group_majority,True,Accepted,,valid
140,sub_type,grouped_majority,Over The Counter,0.5567375886524822,group_majority,True,Accepted,,valid
141,sub_type,grouped_majority,Over The Counter,0.5567375886524822,group_majority,True,Accepted,,valid
144,sub_type,grouped_majority,Over The Counter,0.9069767441860465,group_majority,True,Accepted,,valid
147,sub_type,grouped_majority,Over The Counter,0.5567375886524822,group_majority,True,Accepted,,valid
148,sub_type,grouped_majority,Over The Counter,0.5567375886524822,group_majority,True,Accepted,,valid
149,sub_type,grouped_majority,Over The Counter,0.9069767441860465,group_majority,True,Accepted,,valid
150,sub_type,grouped_majority,Over The Counter,0.5567375886524822,group_majority,True,Accepted,,valid
152,sub_type,grouped_majority,Over The Counter,0.5567375886524822,group_majority,True,Accepted,,valid
153,sub_type,grouped_majority,Over The Counter,0.9069767441860465,group_majority,True,Accepted,,valid
155,sub_type,grouped_majority,Over The Counter,0.5567375886524822,group_majority,True,Accepted,,valid
156,sub_type,grouped_majority,Over The Counter,0.5567375886524822,group_majority,True,Accepted,,valid
