row_index,target_field,algorithm,predicted_value,confidence,prediction_source,passes_threshold,candidate_status,rejection_reason,validation_record_status
6,sub_type,grouped_majority,Over The Counter,0.5,group_majority,True,Accepted,,valid
7,sub_type,grouped_majority,Over The Counter,0.5,group_majority,True,Accepted,,valid
9,sub_type,grouped_majority,Over The Counter,0.5,group_majority,True,Accepted,,valid
11,sub_type,grouped_majority,Over The Counter,0.5,group_majority,True,Accepted,,valid
16,sub_type,grouped_majority,Over The Counter,1.0,group_majority,True,Accepted,,valid
17,sub_type,grouped_majority,Over The Counter,0.5,group_majority,True,Accepted,,valid
18,sub_type,grouped_majority,Over The Counter,0.5,group_majority,True,Accepted,,valid
23,sub_type,grouped_majority,Over The Counter,0.5,group_majority,True,Accepted,,valid
30,sub_type,grouped_majority,Over The Counter,0.5,group_majority,True,Accepted,,valid
33,sub_type,grouped_majority,Over The Counter,0.5,group_majority,True,Accepted,,valid
34,sub_type,grouped_majority,Over The Counter,0.5,group_majority,True,Accepted,,valid
39,sub_type,grouped_majority,Over The Counter,0.5,group_majority,True,Accepted,,valid
41,sub_type,grouped_majority,Over The Counter,1.0,group_majority,True,Accepted,,valid
43,sub_type,grouped_majority,Over The Counter,1.0,group_majority,True,Accepted,,valid
45,sub_type,grouped_majority,Over The Counter,1.0,group_majority,True,Accepted,,valid
46,sub_type,grouped_majority,Over The Counter,1.0,group_majority,True,Accepted,,valid
49,sub_type,grouped_majority,Over The Counter,1.0,group_majority,True,Accepted,,valid
53,sub_type,grouped_majority,Over The Counter,1.0,group_majority,True,Accepted,,valid
55,sub_type,grouped_majority,Over The Counter,1.0,group_majority,True,Accepted,,valid
57,sub_type,grouped_majority,Over The Counter,1.0,group_majority,True,Accepted,,valid
58,sub_type,grouped_majority,Over The Counter,1.0,group_majority,True,Accepted,,valid
62,sub_type,grouped_majority,Over The Counter,1.0,group_majority,True,Accepted,,valid
63,sub_type,grouped_majority,Over The Counter,1.0,group_majority,True,Accepted,,valid
65,sub_type,grouped_majority,Over The Counter,1.0,group_majority,True,Accepted,,valid
