row_index,target_field,algorithm,predicted_value,confidence,prediction_source,passes_threshold,candidate_status,rejection_reason,validation_record_status
6,permit_type,grouped_majority,Building Permit OTC,0.5806451612903226,group_majority,True,Accepted,,valid
7,permit_type,grouped_majority,Building Permit OTC,0.5806451612903226,group_majority,True,Accepted,,valid
8,permit_type,grouped_majority,Building Permit OTC,0.5806451612903226,group_majority,True,Accepted,,valid
9,permit_type,grouped_majority,Building Permit OTC,0.5806451612903226,group_majority,True,Accepted,,valid
11,permit_type,grouped_majority,Building Permit OTC,0.5806451612903226,group_majority,True,Accepted,,valid
13,permit_type,grouped_majority,Building Permit OTC,0.5806451612903226,group_majority,True,Accepted,,valid
19,permit_type,grouped_majority,Building Permit OTC,0.5806451612903226,group_majority,True,Accepted,,valid
20,permit_type,grouped_majority,Building Permit OTC,0.5806451612903226,group_majority,True,Accepted,,valid
21,permit_type,grouped_majority,Building Permit OTC,0.5806451612903226,group_majority,True,Accepted,,valid
22,permit_type,grouped_majority,Building Permit OTC,1.0,group_majority,True,Accepted,,valid
27,permit_type,grouped_majority,Building Permit OTC,0.5806451612903226,group_majority,True,Accepted,,valid
35,permit_type,grouped_majority,Building Permit OTC,1.0,group_majority,True,Accepted,,valid
40,permit_type,grouped_majority,Building Permit OTC,0.5806451612903226,group_majority,True,Accepted,,valid
46,permit_type,grouped_majority,Building Permit OTC,0.5806451612903226,group_majority,True,Accepted,,valid
48,permit_type,grouped_majority,Building Permit OTC,0.5806451612903226,group_majority,True,Accepted,,valid
51,permit_type,grouped_majority,Building Permit OTC,0.5806451612903226,group_majority,True,Accepted,,valid
52,permit_type,grouped_majority,Building Permit OTC,0.5806451612903226,group_majority,True,Accepted,,valid
53,permit_type,grouped_majority,Electrical OTC,1.0,group_majority,True,Accepted,,valid
54,permit_type,grouped_majority,Electrical OTC,1.0,group_majority,True,Accepted,,valid
59,permit_type,grouped_majority,Electrical OTC,1.0,group_majority,True,Accepted,,valid
60,permit_type,grouped_majority,Electrical OTC,1.0,group_majority,True,Accepted,,valid
63,permit_type,grouped_majority,Electrical OTC,1.0,group_majority,True,Accepted,,valid
66,permit_type,grouped_majority,Electrical OTC,1.0,group_majority,True,Accepted,,valid
67,permit_type,grouped_majority,Electrical OTC,1.0,group_majority,True,Accepted,,valid
69,permit_type,grouped_majority,Electrical OTC,1.0,group_majority,True,Accepted,,valid
71,permit_type,grouped_majority,Electrical OTC,1.0,group_majority,True,Accepted,,valid
73,permit_type,grouped_majority,Electrical OTC,1.0,group_majority,True,Accepted,,valid
74,permit_type,grouped_majority,Electrical OTC,1.0,group_majority,True,Accepted,,valid
77,permit_type,grouped_majority,Electrical OTC,1.0,group_majority,True,Accepted,,valid
79,permit_type,grouped_majority,Electrical OTC,1.0,group_majority,True,Accepted,,valid
80,permit_type,grouped_majority,Electrical OTC,1.0,group_majority,True,Accepted,,valid
81,permit_type,grouped_majority,Electrical OTC,1.0,group_majority,True,Accepted,,valid
88,permit_type,grouped_majority,Mechanical OTC,1.0,group_majority,True,Accepted,,valid
89,permit_type,grouped_majority,Mechanical OTC,1.0,group_majority,True,Accepted,,valid
91,permit_type,grouped_majority,Mechanical OTC,1.0,group_majority,True,Accepted,,valid
92,permit_type,grouped_majority,Mechanical OTC,1.0,group_majority,True,Accepted,,valid
95,permit_type,grouped_majority,Mechanical OTC,1.0,group_majority,True,Accepted,,valid
97,permit_type,grouped_majority,Mechanical OTC,1.0,group_majority,True,Accepted,,valid
98,permit_type,grouped_majority,Mechanical OTC,1.0,group_majority,True,Accepted,,valid
103,permit_type,grouped_majority,Plumbing OTC,1.0,group_majority,True,Accepted,,valid
104,permit_type,grouped_majority,Plumbing OTC,1.0,group_majority,True,Accepted,,valid
105,permit_type,grouped_majority,Plumbing OTC,1.0,group_majority,True,Accepted,,valid
107,permit_type,grouped_majority,Plumbing OTC,1.0,group_majority,True,Accepted,,valid
109,permit_type,grouped_majority,Plumbing OTC,1.0,group_majority,True,Accepted,,valid
113,permit_type,grouped_majority,Plumbing OTC,1.0,group_majority,True,Accepted,,valid
117,permit_type,grouped_majority,Plumbing OTC,1.0,group_majority,True,Accepted,,valid
118,permit_type,grouped_majority,Plumbing OTC,1.0,group_majority,True,Accepted,,valid
