antecedents,consequents,support,confidence,lift,antecedent_len,predicted_target
"paid_fee_bucket=10000_99999, permit_number_prefix=B, status=Issued",sub_type_input=Full Plan Check,0.045454545454545456,1.0,14.666666666666668,3,Full Plan Check
"paid_fee_bucket=10000_99999, permit_number_prefix=B",sub_type_input=Full Plan Check,0.045454545454545456,1.0,14.666666666666668,2,Full Plan Check
"paid_fee_bucket=10000_99999, status=Issued",sub_type_input=Full Plan Check,0.045454545454545456,1.0,14.666666666666668,2,Full Plan Check
paid_fee_bucket=10000_99999,sub_type_input=Full Plan Check,0.045454545454545456,1.0,14.666666666666668,1,Full Plan Check
"fee_bucket=10000_99999, paid_fee_bucket=10000_99999, permit_number_prefix=B, status=Issued, valuation_bucket=100000_plus",sub_type_input=Full Plan Check,0.03409090909090909,1.0,14.666666666666668,5,Full Plan Check
"fee_bucket=10000_99999, paid_fee_bucket=10000_99999, permit_number_prefix=B, status=Issued",sub_type_input=Full Plan Check,0.03409090909090909,1.0,14.666666666666668,4,Full Plan Check
"fee_bucket=10000_99999, paid_fee_bucket=10000_99999, permit_number_prefix=B, valuation_bucket=100000_plus",sub_type_input=Full Plan Check,0.03409090909090909,1.0,14.666666666666668,4,Full Plan Check
"fee_bucket=10000_99999, paid_fee_bucket=10000_99999, status=Issued, valuation_bucket=100000_plus",sub_type_input=Full Plan Check,0.03409090909090909,1.0,14.666666666666668,4,Full Plan Check
"fee_bucket=10000_99999, permit_number_prefix=B, status=Issued, valuation_bucket=100000_plus",sub_type_input=Full Plan Check,0.03409090909090909,1.0,14.666666666666668,4,Full Plan Check
"paid_fee_bucket=10000_99999, permit_number_prefix=B, status=Issued, valuation_bucket=100000_plus",sub_type_input=Full Plan Check,0.03409090909090909,1.0,14.666666666666668,4,Full Plan Check
"fee_bucket=10000_99999, paid_fee_bucket=10000_99999, permit_number_prefix=B",sub_type_input=Full Plan Check,0.03409090909090909,1.0,14.666666666666668,3,Full Plan Check
"fee_bucket=10000_99999, paid_fee_bucket=10000_99999, status=Issued",sub_type_input=Full Plan Check,0.03409090909090909,1.0,14.666666666666668,3,Full Plan Check
"fee_bucket=10000_99999, paid_fee_bucket=10000_99999, valuation_bucket=100000_plus",sub_type_input=Full Plan Check,0.03409090909090909,1.0,14.666666666666668,3,Full Plan Check
"fee_bucket=10000_99999, permit_number_prefix=B, status=Issued",sub_type_input=Full Plan Check,0.03409090909090909,1.0,14.666666666666668,3,Full Plan Check
"fee_bucket=10000_99999, permit_number_prefix=B, valuation_bucket=100000_plus",sub_type_input=Full Plan Check,0.03409090909090909,1.0,14.666666666666668,3,Full Plan Check
"fee_bucket=10000_99999, status=Issued, valuation_bucket=100000_plus",sub_type_input=Full Plan Check,0.03409090909090909,1.0,14.666666666666668,3,Full Plan Check
"paid_fee_bucket=10000_99999, permit_number_prefix=B, valuation_bucket=100000_plus",sub_type_input=Full Plan Check,0.03409090909090909,1.0,14.666666666666668,3,Full Plan Check
"paid_fee_bucket=10000_99999, status=Issued, valuation_bucket=100000_plus",sub_type_input=Full Plan Check,0.03409090909090909,1.0,14.666666666666668,3,Full Plan Check
"fee_bucket=10000_99999, paid_fee_bucket=10000_99999",sub_type_input=Full Plan Check,0.03409090909090909,1.0,14.666666666666668,2,Full Plan Check
"fee_bucket=10000_99999, permit_number_prefix=B",sub_type_input=Full Plan Check,0.03409090909090909,1.0,14.666666666666668,2,Full Plan Check
"fee_bucket=10000_99999, status=Issued",sub_type_input=Full Plan Check,0.03409090909090909,1.0,14.666666666666668,2,Full Plan Check
"fee_bucket=10000_99999, valuation_bucket=100000_plus",sub_type_input=Full Plan Check,0.03409090909090909,1.0,14.666666666666668,2,Full Plan Check
"paid_fee_bucket=10000_99999, valuation_bucket=100000_plus",sub_type_input=Full Plan Check,0.03409090909090909,1.0,14.666666666666668,2,Full Plan Check
fee_bucket=10000_99999,sub_type_input=Full Plan Check,0.03409090909090909,1.0,14.666666666666668,1,Full Plan Check
"description_keywords=mechanical, paid_fee_bucket=10000_99999, permit_number_prefix=B, status=Issued",sub_type_input=Full Plan Check,0.022727272727272728,1.0,14.666666666666668,4,Full Plan Check
"description_keywords=mechanical, paid_fee_bucket=10000_99999, permit_number_prefix=B",sub_type_input=Full Plan Check,0.022727272727272728,1.0,14.666666666666668,3,Full Plan Check
"description_keywords=mechanical, paid_fee_bucket=10000_99999, status=Issued",sub_type_input=Full Plan Check,0.022727272727272728,1.0,14.666666666666668,3,Full Plan Check
"description_keywords=mechanical, paid_fee_bucket=10000_99999",sub_type_input=Full Plan Check,0.022727272727272728,1.0,14.666666666666668,2,Full Plan Check
"description_keywords=mechanical, fee_bucket=10000_99999, paid_fee_bucket=10000_99999, permit_number_prefix=B, status=Issued, valuation_bucket=100000_plus",sub_type_input=Full Plan Check,0.011363636363636364,1.0,14.666666666666668,6,Full Plan Check
"description_keywords=mechanical, fee_bucket=missing, paid_fee_bucket=10000_99999, permit_number_prefix=B, status=Issued, valuation_bucket=missing",sub_type_input=Full Plan Check,0.011363636363636364,1.0,14.666666666666668,6,Full Plan Check
"description_keywords=other, fee_bucket=10000_99999, paid_fee_bucket=10000_99999, permit_number_prefix=B, status=Issued, valuation_bucket=100000_plus",sub_type_input=Full Plan Check,0.011363636363636364,1.0,14.666666666666668,6,Full Plan Check
"description_keywords=remodel, fee_bucket=1000_9999, paid_fee_bucket=1000_9999, permit_number_prefix=B, status=Issued, valuation_bucket=100000_plus",sub_type_input=Full Plan Check,0.011363636363636364,1.0,14.666666666666668,6,Full Plan Check
"description_keywords=remodel+addition, fee_bucket=10000_99999, paid_fee_bucket=10000_99999, permit_number_prefix=B, status=Issued, valuation_bucket=100000_plus",sub_type_input=Full Plan Check,0.011363636363636364,1.0,14.666666666666668,6,Full Plan Check
"description_keywords=roof+demolition, fee_bucket=1000_9999, paid_fee_bucket=1000_9999, permit_number_prefix=B, status=Issued, valuation_bucket=10000_99999",sub_type_input=Full Plan Check,0.011363636363636364,1.0,14.666666666666668,6,Full Plan Check
"description_keywords=mechanical, fee_bucket=10000_99999, paid_fee_bucket=10000_99999, permit_number_prefix=B, status=Issued",sub_type_input=Full Plan Check,0.011363636363636364,1.0,14.666666666666668,5,Full Plan Check
"description_keywords=mechanical, fee_bucket=10000_99999, paid_fee_bucket=10000_99999, permit_number_prefix=B, valuation_bucket=100000_plus",sub_type_input=Full Plan Check,0.011363636363636364,1.0,14.666666666666668,5,Full Plan Check
"description_keywords=mechanical, fee_bucket=10000_99999, paid_fee_bucket=10000_99999, status=Issued, valuation_bucket=100000_plus",sub_type_input=Full Plan Check,0.011363636363636364,1.0,14.666666666666668,5,Full Plan Check
"description_keywords=mechanical, fee_bucket=10000_99999, permit_number_prefix=B, status=Issued, valuation_bucket=100000_plus",sub_type_input=Full Plan Check,0.011363636363636364,1.0,14.666666666666668,5,Full Plan Check
"description_keywords=mechanical, fee_bucket=missing, paid_fee_bucket=10000_99999, permit_number_prefix=B, status=Issued",sub_type_input=Full Plan Check,0.011363636363636364,1.0,14.666666666666668,5,Full Plan Check
"description_keywords=mechanical, fee_bucket=missing, paid_fee_bucket=10000_99999, permit_number_prefix=B, valuation_bucket=missing",sub_type_input=Full Plan Check,0.011363636363636364,1.0,14.666666666666668,5,Full Plan Check
"description_keywords=mechanical, fee_bucket=missing, paid_fee_bucket=10000_99999, status=Issued, valuation_bucket=missing",sub_type_input=Full Plan Check,0.011363636363636364,1.0,14.666666666666668,5,Full Plan Check
"description_keywords=mechanical, paid_fee_bucket=10000_99999, permit_number_prefix=B, status=Issued, valuation_bucket=100000_plus",sub_type_input=Full Plan Check,0.011363636363636364,1.0,14.666666666666668,5,Full Plan Check
"description_keywords=mechanical, paid_fee_bucket=10000_99999, permit_number_prefix=B, status=Issued, valuation_bucket=missing",sub_type_input=Full Plan Check,0.011363636363636364,1.0,14.666666666666668,5,Full Plan Check
"description_keywords=other, fee_bucket=10000_99999, paid_fee_bucket=10000_99999, permit_number_prefix=B, status=Issued",sub_type_input=Full Plan Check,0.011363636363636364,1.0,14.666666666666668,5,Full Plan Check
