antecedents                                                                                                                                          , consequents                        , support            , confidence, lift              , antecedent_len, predicted_target
building_type=1 to 2 Family                                                                                                                          , target_input=Res.1&2 or Guest House, 0.7088567839195979 ,        1.0, 1.4100974313551817,              1, Res.1&2 or Guest House
"building_type=1 to 2 Family, total_units_group=1"                                                                                                   , target_input=Res.1&2 or Guest House, 0.6441582914572864 ,        1.0, 1.4100974313551817,              2, Res.1&2 or Guest House
"building_type=1 to 2 Family, total_sf_nonzero=zero"                                                                                                 , target_input=Res.1&2 or Guest House, 0.5810301507537688 ,        1.0, 1.4100974313551817,              2, Res.1&2 or Guest House
"building_type=1 to 2 Family, total_sf_nonzero=zero, total_units_group=1"                                                                            , target_input=Res.1&2 or Guest House, 0.5477386934673367 ,        1.0, 1.4100974313551817,              3, Res.1&2 or Guest House
"building_type=1 to 2 Family, const_type=Alteration/Remodel"                                                                                         , target_input=Res.1&2 or Guest House, 0.5040829145728644 ,        1.0, 1.4100974313551817,              2, Res.1&2 or Guest House
"building_type=1 to 2 Family, const_type=Alteration/Remodel, total_units_group=1"                                                                    , target_input=Res.1&2 or Guest House, 0.4739321608040201 ,        1.0, 1.4100974313551817,              3, Res.1&2 or Guest House
"building_type=1 to 2 Family, const_type=Alteration/Remodel, total_sf_nonzero=zero"                                                                  , target_input=Res.1&2 or Guest House, 0.4682788944723618 ,        1.0, 1.4100974313551817,              3, Res.1&2 or Guest House
"building_type=1 to 2 Family, const_type=Alteration/Remodel, total_sf_nonzero=zero, total_units_group=1"                                             , target_input=Res.1&2 or Guest House, 0.44597989949748745,        1.0, 1.4100974313551817,              4, Res.1&2 or Guest House
"building_type=1 to 2 Family, valuation_bucket=10000_99999"                                                                                          , target_input=Res.1&2 or Guest House, 0.3015075376884422 ,        1.0, 1.4100974313551817,              2, Res.1&2 or Guest House
"building_type=1 to 2 Family, total_units_group=1, valuation_bucket=10000_99999"                                                                     , target_input=Res.1&2 or Guest House, 0.2961683417085427 ,        1.0, 1.4100974313551817,              3, Res.1&2 or Guest House
"building_type=1 to 2 Family, total_sf_nonzero=zero, valuation_bucket=10000_99999"                                                                   , target_input=Res.1&2 or Guest House, 0.2757537688442211 ,        1.0, 1.4100974313551817,              3, Res.1&2 or Guest House
"building_type=1 to 2 Family, total_sf_nonzero=zero, total_units_group=1, valuation_bucket=10000_99999"                                              , target_input=Res.1&2 or Guest House, 0.271356783919598  ,        1.0, 1.4100974313551817,              4, Res.1&2 or Guest House
"building_type=1 to 2 Family, const_type=Alteration/Remodel, valuation_bucket=10000_99999"                                                           , target_input=Res.1&2 or Guest House, 0.2333542713567839 ,        1.0, 1.4100974313551817,              3, Res.1&2 or Guest House
"building_type=1 to 2 Family, valuation_bucket=1000_9999"                                                                                            , target_input=Res.1&2 or Guest House, 0.22989949748743718,        1.0, 1.4100974313551817,              2, Res.1&2 or Guest House
"building_type=1 to 2 Family, const_type=Alteration/Remodel, total_units_group=1, valuation_bucket=10000_99999"                                      , target_input=Res.1&2 or Guest House, 0.2295854271356784 ,        1.0, 1.4100974313551817,              4, Res.1&2 or Guest House
"building_type=1 to 2 Family, total_units_group=1, valuation_bucket=1000_9999"                                                                       , target_input=Res.1&2 or Guest House, 0.2189070351758794 ,        1.0, 1.4100974313551817,              3, Res.1&2 or Guest House
"building_type=1 to 2 Family, total_sf_nonzero=zero, valuation_bucket=1000_9999"                                                                     , target_input=Res.1&2 or Guest House, 0.21702261306532664,        1.0, 1.4100974313551817,              3, Res.1&2 or Guest House
"building_type=1 to 2 Family, const_type=Alteration/Remodel, total_sf_nonzero=zero, valuation_bucket=10000_99999"                                    , target_input=Res.1&2 or Guest House, 0.21608040201005024,        1.0, 1.4100974313551817,              4, Res.1&2 or Guest House
"building_type=1 to 2 Family, const_type=Alteration/Remodel, total_sf_nonzero=zero, total_units_group=1, valuation_bucket=10000_99999"               , target_input=Res.1&2 or Guest House, 0.21262562814070352,        1.0, 1.4100974313551817,              5, Res.1&2 or Guest House
"building_type=1 to 2 Family, total_sf_nonzero=zero, total_units_group=1, valuation_bucket=1000_9999"                                                , target_input=Res.1&2 or Guest House, 0.2079145728643216 ,        1.0, 1.4100974313551817,              4, Res.1&2 or Guest House
"building_type=1 to 2 Family, const_type=Alteration/Remodel, valuation_bucket=1000_9999"                                                             , target_input=Res.1&2 or Guest House, 0.20069095477386933,        1.0, 1.4100974313551817,              3, Res.1&2 or Guest House
"building_type=1 to 2 Family, const_type=Alteration/Remodel, total_sf_nonzero=zero, valuation_bucket=1000_9999"                                      , target_input=Res.1&2 or Guest House, 0.19378140703517588,        1.0, 1.4100974313551817,              4, Res.1&2 or Guest House
"building_type=1 to 2 Family, const_type=Alteration/Remodel, total_units_group=1, valuation_bucket=1000_9999"                                        , target_input=Res.1&2 or Guest House, 0.19283919597989949,        1.0, 1.4100974313551817,              4, Res.1&2 or Guest House
"building_type=1 to 2 Family, const_type=Alteration/Remodel, total_sf_nonzero=zero, total_units_group=1, valuation_bucket=1000_9999"                 , target_input=Res.1&2 or Guest House, 0.1871859296482412 ,        1.0, 1.4100974313551817,              5, Res.1&2 or Guest House
"building_type=1 to 2 Family, const_type=New Construction"                                                                                           , target_input=Res.1&2 or Guest House, 0.16017587939698494,        1.0, 1.4100974313551817,              2, Res.1&2 or Guest House
"building_type=1 to 2 Family, const_type=New Construction, total_units_group=1"                                                                      , target_input=Res.1&2 or Guest House, 0.13222361809045227,        1.0, 1.4100974313551817,              3, Res.1&2 or Guest House
"building_type=1 to 2 Family, const_type=Alteration/Remodel, permit_type=Shutters/Doors/Windows, total_sf_nonzero=zero"                              , target_input=Res.1&2 or Guest House, 0.12751256281407036,        1.0, 1.4100974313551817,              4, Res.1&2 or Guest House
"building_type=1 to 2 Family, const_type=Alteration/Remodel, permit_type=Shutters/Doors/Windows"                                                     , target_input=Res.1&2 or Guest House, 0.12751256281407036,        1.0, 1.4100974313551817,              3, Res.1&2 or Guest House
"building_type=1 to 2 Family, permit_type=Shutters/Doors/Windows, total_sf_nonzero=zero"                                                             , target_input=Res.1&2 or Guest House, 0.12751256281407036,        1.0, 1.4100974313551817,              3, Res.1&2 or Guest House
"building_type=1 to 2 Family, permit_type=Shutters/Doors/Windows"                                                                                    , target_input=Res.1&2 or Guest House, 0.12751256281407036,        1.0, 1.4100974313551817,              2, Res.1&2 or Guest House
"building_type=1 to 2 Family, const_type=Alteration/Remodel, permit_type=Shutters/Doors/Windows, total_sf_nonzero=zero, total_units_group=1"         , target_input=Res.1&2 or Guest House, 0.12688442211055276,        1.0, 1.4100974313551817,              5, Res.1&2 or Guest House
"building_type=1 to 2 Family, const_type=Alteration/Remodel, permit_type=Shutters/Doors/Windows, total_units_group=1"                                , target_input=Res.1&2 or Guest House, 0.12688442211055276,        1.0, 1.4100974313551817,              4, Res.1&2 or Guest House
"building_type=1 to 2 Family, permit_type=Shutters/Doors/Windows, total_sf_nonzero=zero, total_units_group=1"                                        , target_input=Res.1&2 or Guest House, 0.12688442211055276,        1.0, 1.4100974313551817,              4, Res.1&2 or Guest House
"building_type=1 to 2 Family, permit_type=Shutters/Doors/Windows, total_units_group=1"                                                               , target_input=Res.1&2 or Guest House, 0.12688442211055276,        1.0, 1.4100974313551817,              3, Res.1&2 or Guest House
"building_type=1 to 2 Family, total_sf_nonzero=nonzero"                                                                                              , target_input=Res.1&2 or Guest House, 0.10584170854271356,        1.0, 1.4100974313551817,              2, Res.1&2 or Guest House
"building_type=1 to 2 Family, total_sf_nonzero=nonzero, total_units_group=1"                                                                         , target_input=Res.1&2 or Guest House, 0.09641959798994974,        1.0, 1.4100974313551817,              3, Res.1&2 or Guest House
"building_type=1 to 2 Family, permit_type=Revision - Building"                                                                                       , target_input=Res.1&2 or Guest House, 0.0882537688442211 ,        1.0, 1.4100974313551817,              2, Res.1&2 or Guest House
"building_type=1 to 2 Family, const_type=Alteration/Remodel, permit_type=Electrical, total_sf_nonzero=zero"                                          , target_input=Res.1&2 or Guest House, 0.08574120603015076,        1.0, 1.4100974313551817,              4, Res.1&2 or Guest House
"building_type=1 to 2 Family, const_type=Alteration/Remodel, permit_type=Electrical"                                                                 , target_input=Res.1&2 or Guest House, 0.08574120603015076,        1.0, 1.4100974313551817,              3, Res.1&2 or Guest House
"building_type=1 to 2 Family, permit_type=Electrical, total_sf_nonzero=zero"                                                                         , target_input=Res.1&2 or Guest House, 0.08574120603015076,        1.0, 1.4100974313551817,              3, Res.1&2 or Guest House
"building_type=1 to 2 Family, permit_type=Electrical"                                                                                                , target_input=Res.1&2 or Guest House, 0.08574120603015076,        1.0, 1.4100974313551817,              2, Res.1&2 or Guest House
"building_type=1 to 2 Family, const_type=Alteration/Remodel, permit_type=Electrical, total_sf_nonzero=zero, total_units_group=1"                     , target_input=Res.1&2 or Guest House, 0.08511306532663317,        1.0, 1.4100974313551817,              5, Res.1&2 or Guest House
"building_type=1 to 2 Family, const_type=Alteration/Remodel, permit_type=Electrical, total_units_group=1"                                            , target_input=Res.1&2 or Guest House, 0.08511306532663317,        1.0, 1.4100974313551817,              4, Res.1&2 or Guest House
"building_type=1 to 2 Family, permit_type=Electrical, total_sf_nonzero=zero, total_units_group=1"                                                    , target_input=Res.1&2 or Guest House, 0.08511306532663317,        1.0, 1.4100974313551817,              4, Res.1&2 or Guest House
"building_type=1 to 2 Family, permit_type=Electrical, total_units_group=1"                                                                           , target_input=Res.1&2 or Guest House, 0.08511306532663317,        1.0, 1.4100974313551817,              3, Res.1&2 or Guest House
"building_type=1 to 2 Family, const_type=Alteration/Remodel, permit_type=Shutters/Doors/Windows, total_sf_nonzero=zero, valuation_bucket=10000_99999", target_input=Res.1&2 or Guest House, 0.07914572864321608,        1.0, 1.4100974313551817,              5, Res.1&2 or Guest House
"building_type=1 to 2 Family, const_type=Alteration/Remodel, permit_type=Shutters/Doors/Windows, valuation_bucket=10000_99999"                       , target_input=Res.1&2 or Guest House, 0.07914572864321608,        1.0, 1.4100974313551817,              4, Res.1&2 or Guest House
"building_type=1 to 2 Family, permit_type=Shutters/Doors/Windows, total_sf_nonzero=zero, valuation_bucket=10000_99999"                               , target_input=Res.1&2 or Guest House, 0.07914572864321608,        1.0, 1.4100974313551817,              4, Res.1&2 or Guest House
"building_type=1 to 2 Family, permit_type=Shutters/Doors/Windows, valuation_bucket=10000_99999"                                                      , target_input=Res.1&2 or Guest House, 0.07914572864321608,        1.0, 1.4100974313551817,              3, Res.1&2 or Guest House
"building_type=1 to 2 Family, permit_type=Building"                                                                                                  , target_input=Res.1&2 or Guest House, 0.07883165829145729,        1.0, 1.4100974313551817,              2, Res.1&2 or Guest House
