row_index,target_field,algorithm,predicted_value,confidence,prediction_source,passes_threshold,permit_number
25,permit_class,grouped_majority,Res.1&2 or Guest House,1.0,group_majority,True,PRAC20250310791
26,permit_class,grouped_majority,Res.1&2 or Guest House,1.0,group_majority,True,PRAC20250311117
34,permit_class,grouped_majority,Residential-Multi-Family,1.0,group_majority,True,PRAR20240518452
35,permit_class,grouped_majority,Residential-Multi-Family,0.6979166666666666,group_majority,True,PRAR20240521400
37,permit_class,grouped_majority,Residential-Multi-Family,0.6979166666666666,group_majority,True,PRAR20241147573
41,permit_class,grouped_majority,Residential-Multi-Family,0.6979166666666666,group_majority,True,PRAR20250101267
48,permit_class,grouped_majority,Res.1&2 or Guest House,1.0,group_majority,True,PRAR20250207473
62,permit_class,grouped_majority,Residential-Multi-Family,0.6979166666666666,group_majority,True,PRAR20250311660
64,permit_class,grouped_majority,Residential-Multi-Family,0.6979166666666666,group_majority,True,PRAR20250311772
81,permit_class,grouped_majority,Residential-Multi-Family,0.6979166666666666,group_majority,True,PRAR20250312826
84,permit_class,grouped_majority,Residential-Multi-Family,0.6979166666666666,group_majority,True,PRAR20250312869
86,permit_class,grouped_majority,Res.1&2 or Guest House,1.0,group_majority,True,PRAR20250312887
97,permit_class,grouped_majority,Res.1&2 or Guest House,1.0,group_majority,True,PRAR20250313391
98,permit_class,grouped_majority,Res.1&2 or Guest House,1.0,group_majority,True,PRAR20250313412
103,permit_class,grouped_majority,Residential-Multi-Family,0.6979166666666666,group_majority,True,PRAR20250313465
191,permit_class,grouped_majority,Res.1&2 or Guest House,1.0,group_majority,True,PRAR20250414252
322,permit_class,grouped_majority,Res.1&2 or Guest House,1.0,group_majority,True,PRAR20250415063
383,permit_class,grouped_majority,Res.1&2 or Guest House,1.0,group_majority,True,PRAR20250415447
413,permit_class,grouped_majority,Residential-Multi-Family,0.6979166666666666,group_majority,True,PRAR20250415721
434,permit_class,grouped_majority,Residential-Multi-Family,0.6979166666666666,group_majority,True,PRAR20250415962
469,permit_class,grouped_majority,Residential-Multi-Family,0.6979166666666666,group_majority,True,PRAR20250416163
494,permit_class,grouped_majority,Residential-Multi-Family,0.6979166666666666,group_majority,True,PRAR20250416298
570,permit_class,grouped_majority,Residential-Multi-Family,0.6979166666666666,group_majority,True,PRAR20250416796
598,permit_class,grouped_majority,Residential-Multi-Family,0.6979166666666666,group_majority,True,PRAR20250416989
605,permit_class,grouped_majority,Res.1&2 or Guest House,1.0,group_majority,True,PRAR20250417028
