antecedents,consequents,support,confidence,lift,antecedent_len,predicted_target
"building_type=1 to 2 Family, total_units_group=1",target_input=Res.1&2 or Guest House,0.6335858676528671,1.0,1.4059770811247412,2,Res.1&2 or Guest House
"building_type=1 to 2 Family, total_sf_nonzero=zero, total_units_group=1",target_input=Res.1&2 or Guest House,0.5227101360812897,1.0,1.4059770811247412,3,Res.1&2 or Guest House
"building_type=1 to 2 Family, const_type=Alteration/Remodel",target_input=Res.1&2 or Guest House,0.4814907902768303,1.0,1.4059770811247412,2,Res.1&2 or Guest House
"building_type=1 to 2 Family, const_type=Alteration/Remodel, total_units_group=1",target_input=Res.1&2 or Guest House,0.4464112599188539,1.0,1.4059770811247412,3,Res.1&2 or Guest House
"building_type=1 to 2 Family, const_type=Alteration/Remodel, total_sf_nonzero=zero",target_input=Res.1&2 or Guest House,0.4424616710351513,1.0,1.4059770811247412,3,Res.1&2 or Guest House
"building_type=1 to 2 Family, const_type=Alteration/Remodel, total_sf_nonzero=zero, total_units_group=1",target_input=Res.1&2 or Guest House,0.4167893432910847,1.0,1.4059770811247412,4,Res.1&2 or Guest House
"building_type=1 to 2 Family, valuation_bucket=10000_99999",target_input=Res.1&2 or Guest House,0.29532153244048687,1.0,1.4059770811247412,2,Res.1&2 or Guest House
"building_type=1 to 2 Family, total_units_group=1, valuation_bucket=10000_99999",target_input=Res.1&2 or Guest House,0.2858784244730889,1.0,1.4059770811247412,3,Res.1&2 or Guest House
"building_type=1 to 2 Family, total_sf_nonzero=zero, valuation_bucket=10000_99999",target_input=Res.1&2 or Guest House,0.2669922085382931,1.0,1.4059770811247412,3,Res.1&2 or Guest House
"building_type=1 to 2 Family, total_sf_nonzero=zero, total_units_group=1, valuation_bucket=10000_99999",target_input=Res.1&2 or Guest House,0.26056515026390437,1.0,1.4059770811247412,4,Res.1&2 or Guest House
"building_type=1 to 2 Family, valuation_bucket=1000_9999",target_input=Res.1&2 or Guest House,0.22889662848730746,1.0,1.4059770811247412,2,Res.1&2 or Guest House
"building_type=1 to 2 Family, const_type=Alteration/Remodel, valuation_bucket=10000_99999",target_input=Res.1&2 or Guest House,0.22347492011058848,1.0,1.4059770811247412,3,Res.1&2 or Guest House
"building_type=1 to 2 Family, const_type=Alteration/Remodel, total_units_group=1, valuation_bucket=10000_99999",target_input=Res.1&2 or Guest House,0.21751463143154645,1.0,1.4059770811247412,4,Res.1&2 or Guest House
"building_type=1 to 2 Family, total_units_group=1, valuation_bucket=1000_9999",target_input=Res.1&2 or Guest House,0.21557574234318336,1.0,1.4059770811247412,3,Res.1&2 or Guest House
"building_type=1 to 2 Family, total_sf_nonzero=zero, valuation_bucket=1000_9999",target_input=Res.1&2 or Guest House,0.2136368532548203,1.0,1.4059770811247412,3,Res.1&2 or Guest House
"building_type=1 to 2 Family, const_type=Alteration/Remodel, total_sf_nonzero=zero, valuation_bucket=10000_99999",target_input=Res.1&2 or Guest House,0.20552224336648595,1.0,1.4059770811247412,4,Res.1&2 or Guest House
"building_type=1 to 2 Family, total_sf_nonzero=zero, total_units_group=1, valuation_bucket=1000_9999",target_input=Res.1&2 or Guest House,0.20361925963161107,1.0,1.4059770811247412,4,Res.1&2 or Guest House
"building_type=1 to 2 Family, const_type=Alteration/Remodel, total_sf_nonzero=zero, total_units_group=1, valuation_bucket=10000_99999",target_input=Res.1&2 or Guest House,0.2010699795339485,1.0,1.4059770811247412,5,Res.1&2 or Guest House
"building_type=1 to 2 Family, const_type=Alteration/Remodel, valuation_bucket=1000_9999",target_input=Res.1&2 or Guest House,0.1918063983339916,1.0,1.4059770811247412,3,Res.1&2 or Guest House
"building_type=1 to 2 Family, const_type=Alteration/Remodel, total_sf_nonzero=zero, valuation_bucket=1000_9999",target_input=Res.1&2 or Guest House,0.1855947721805321,1.0,1.4059770811247412,4,Res.1&2 or Guest House
