row_index,target_field,algorithm,predicted_value,confidence,prediction_source,passes_threshold,candidate_status,rejection_reason,validation_record_status,raw_permit_id
0,permit_class,grouped_majority,Res.1&2 or Guest House,0.9995987158908507,group_majority,True,Accepted,,valid,run_20260625_152341_37_row_000002
32,permit_class,grouped_majority,Res.1&2 or Guest House,1.0,group_majority,True,Accepted,,valid,run_20260625_152341_37_row_000034
33,permit_class,grouped_majority,Res.1&2 or Guest House,1.0,group_majority,True,Accepted,,valid,run_20260625_152341_37_row_000035
41,permit_class,grouped_majority,Res.1&2 or Guest House,1.0,group_majority,True,Accepted,,valid,run_20260625_152341_37_row_000043
45,permit_class,grouped_majority,Res.1&2 or Guest House,1.0,group_majority,True,Accepted,,valid,run_20260625_152341_37_row_000047
47,permit_class,grouped_majority,Residential-Multi-Family,0.6780660377358491,group_majority,True,Accepted,,valid,run_20260625_152341_37_row_000049
53,permit_class,grouped_majority,Residential-Multi-Family,0.6780660377358491,group_majority,True,Accepted,,valid,run_20260625_152341_37_row_000055
59,permit_class,grouped_majority,Residential-Multi-Family,0.6780660377358491,group_majority,True,Accepted,,valid,run_20260625_152341_37_row_000061
60,permit_class,grouped_majority,Res.1&2 or Guest House,1.0,group_majority,True,Accepted,,valid,run_20260625_152341_37_row_000062
65,permit_class,grouped_majority,Residential-Multi-Family,0.6780660377358491,group_majority,True,Accepted,,valid,run_20260625_152341_37_row_000067
70,permit_class,grouped_majority,Residential-Multi-Family,0.6780660377358491,group_majority,True,Accepted,,valid,run_20260625_152341_37_row_000072
74,permit_class,grouped_majority,Res.1&2 or Guest House,1.0,group_majority,True,Accepted,,valid,run_20260625_152341_37_row_000076
75,permit_class,grouped_majority,Residential-Multi-Family,0.6780660377358491,group_majority,True,Accepted,,valid,run_20260625_152341_37_row_000077
87,permit_class,grouped_majority,Residential-Multi-Family,0.6780660377358491,group_majority,True,Accepted,,valid,run_20260625_152341_37_row_000089
95,permit_class,grouped_majority,Residential-Multi-Family,0.6780660377358491,group_majority,True,Accepted,,valid,run_20260625_152341_37_row_000097
99,permit_class,grouped_majority,Res.1&2 or Guest House,1.0,group_majority,True,Accepted,,valid,run_20260625_152341_37_row_000101
111,permit_class,grouped_majority,Residential-Multi-Family,0.6780660377358491,group_majority,True,Accepted,,valid,run_20260625_152341_37_row_000113
118,permit_class,grouped_majority,Residential-Multi-Family,0.8181818181818182,group_majority,True,Accepted,,valid,run_20260625_152341_37_row_000120
122,permit_class,grouped_majority,Residential-Multi-Family,0.6780660377358491,group_majority,True,Accepted,,valid,run_20260625_152341_37_row_000124
124,permit_class,grouped_majority,Residential-Multi-Family,0.6780660377358491,group_majority,True,Accepted,,valid,run_20260625_152341_37_row_000126
125,permit_class,grouped_majority,Residential-Multi-Family,0.6780660377358491,group_majority,True,Accepted,,valid,run_20260625_152341_37_row_000127
131,permit_class,grouped_majority,Residential-Multi-Family,0.6780660377358491,group_majority,True,Accepted,,valid,run_20260625_152341_37_row_000133
140,permit_class,grouped_majority,Res.1&2 or Guest House,1.0,group_majority,True,Accepted,,valid,run_20260625_152341_37_row_000142
205,permit_class,grouped_majority,Res.1&2 or Guest House,1.0,group_majority,True,Accepted,,valid,run_20260625_152341_37_row_000207
217,permit_class,grouped_majority,Residential-Multi-Family,0.6780660377358491,group_majority,True,Accepted,,valid,run_20260625_152341_37_row_000219
249,permit_class,grouped_majority,Residential-Multi-Family,0.6780660377358491,group_majority,True,Accepted,,valid,run_20260625_152341_37_row_000251
269,permit_class,grouped_majority,Residential-Multi-Family,0.6780660377358491,group_majority,True,Accepted,,valid,run_20260625_152341_37_row_000271
285,permit_class,grouped_majority,Residential-Multi-Family,0.6780660377358491,group_majority,True,Accepted,,valid,run_20260625_152341_37_row_000287
305,permit_class,grouped_majority,Residential-Multi-Family,0.6780660377358491,group_majority,True,Accepted,,valid,run_20260625_152341_37_row_000307
320,permit_class,grouped_majority,Residential-Multi-Family,0.6780660377358491,group_majority,True,Accepted,,valid,run_20260625_152341_37_row_000322
321,permit_class,grouped_majority,Residential-Multi-Family,0.6780660377358491,group_majority,True,Accepted,,valid,run_20260625_152341_37_row_000323
322,permit_class,grouped_majority,Residential-Multi-Family,0.6780660377358491,group_majority,True,Accepted,,valid,run_20260625_152341_37_row_000324
332,permit_class,grouped_majority,Residential-Multi-Family,0.6780660377358491,group_majority,True,Accepted,,valid,run_20260625_152341_37_row_000334
333,permit_class,grouped_majority,Res.1&2 or Guest House,1.0,group_majority,True,Accepted,,valid,run_20260625_152341_37_row_000335
372,permit_class,grouped_majority,Residential-Multi-Family,0.6780660377358491,group_majority,True,Accepted,,valid,run_20260625_152341_37_row_000374
380,permit_class,grouped_majority,Residential-Multi-Family,0.6780660377358491,group_majority,True,Accepted,,valid,run_20260625_152341_37_row_000382
414,permit_class,grouped_majority,Res.1&2 or Guest House,1.0,group_majority,True,Accepted,,valid,run_20260625_152341_37_row_000416
434,permit_class,grouped_majority,Res.1&2 or Guest House,1.0,group_majority,True,Accepted,,valid,run_20260625_152341_37_row_000436
468,permit_class,grouped_majority,Res.1&2 or Guest House,1.0,group_majority,True,Accepted,,valid,run_20260625_152341_37_row_000470
492,permit_class,grouped_majority,Res.1&2 or Guest House,1.0,group_majority,True,Accepted,,valid,run_20260625_152341_37_row_000494
496,permit_class,grouped_majority,Res.1&2 or Guest House,1.0,group_majority,True,Accepted,,valid,run_20260625_152341_37_row_000498
510,permit_class,grouped_majority,Res.1&2 or Guest House,1.0,group_majority,True,Accepted,,valid,run_20260625_152341_37_row_000512
513,permit_class,grouped_majority,Res.1&2 or Guest House,1.0,group_majority,True,Accepted,,valid,run_20260625_152341_37_row_000515
519,permit_class,grouped_majority,Res.1&2 or Guest House,1.0,group_majority,True,Accepted,,valid,run_20260625_152341_37_row_000521
537,permit_class,grouped_majority,Res.1&2 or Guest House,1.0,group_majority,True,Accepted,,valid,run_20260625_152341_37_row_000539
540,permit_class,grouped_majority,Res.1&2 or Guest House,1.0,group_majority,True,Accepted,,valid,run_20260625_152341_37_row_000542
647,permit_class,grouped_majority,Res.1&2 or Guest House,0.9995987158908507,group_majority,True,Accepted,,valid,run_20260625_152341_37_row_000649
653,permit_class,grouped_majority,Res.1&2 or Guest House,0.9995987158908507,group_majority,True,Accepted,,valid,run_20260625_152341_37_row_000655
659,permit_class,grouped_majority,Res.1&2 or Guest House,0.9995987158908507,group_majority,True,Accepted,,valid,run_20260625_152341_37_row_000661
667,permit_class,grouped_majority,Res.1&2 or Guest House,1.0,group_majority,True,Accepted,,valid,run_20260625_152341_37_row_000669
674,permit_class,grouped_majority,Res.1&2 or Guest House,1.0,group_majority,True,Accepted,,valid,run_20260625_152341_37_row_000676
681,permit_class,grouped_majority,Res.1&2 or Guest House,1.0,group_majority,True,Accepted,,valid,run_20260625_152341_37_row_000683
691,permit_class,grouped_majority,Res.1&2 or Guest House,1.0,group_majority,True,Accepted,,valid,run_20260625_152341_37_row_000693
693,permit_class,grouped_majority,Res.1&2 or Guest House,1.0,group_majority,True,Accepted,,valid,run_20260625_152341_37_row_000695
695,permit_class,grouped_majority,Res.1&2 or Guest House,1.0,group_majority,True,Accepted,,valid,run_20260625_152341_37_row_000697
696,permit_class,grouped_majority,Res.1&2 or Guest House,1.0,group_majority,True,Accepted,,valid,run_20260625_152341_37_row_000698
701,permit_class,grouped_majority,Res.1&2 or Guest House,1.0,group_majority,True,Accepted,,valid,run_20260625_152341_37_row_000703
706,permit_class,grouped_majority,Res.1&2 or Guest House,1.0,group_majority,True,Accepted,,valid,run_20260625_152341_37_row_000708
708,permit_class,grouped_majority,Res.1&2 or Guest House,1.0,group_majority,True,Accepted,,valid,run_20260625_152341_37_row_000710
709,permit_class,grouped_majority,Res.1&2 or Guest House,1.0,group_majority,True,Accepted,,valid,run_20260625_152341_37_row_000711
718,permit_class,grouped_majority,Res.1&2 or Guest House,1.0,group_majority,True,Accepted,,valid,run_20260625_152341_37_row_000720
723,permit_class,grouped_majority,Res.1&2 or Guest House,1.0,group_majority,True,Accepted,,valid,run_20260625_152341_37_row_000725
725,permit_class,grouped_majority,Res.1&2 or Guest House,1.0,group_majority,True,Accepted,,valid,run_20260625_152341_37_row_000727
732,permit_class,grouped_majority,Res.1&2 or Guest House,1.0,group_majority,True,Accepted,,valid,run_20260625_152341_37_row_000734
734,permit_class,grouped_majority,Res.1&2 or Guest House,1.0,group_majority,True,Accepted,,valid,run_20260625_152341_37_row_000736
735,permit_class,grouped_majority,Res.1&2 or Guest House,1.0,group_majority,True,Accepted,,valid,run_20260625_152341_37_row_000737
738,permit_class,grouped_majority,Res.1&2 or Guest House,1.0,group_majority,True,Accepted,,valid,run_20260625_152341_37_row_000740
756,permit_class,grouped_majority,Res.1&2 or Guest House,1.0,group_majority,True,Accepted,,valid,run_20260625_152341_37_row_000758
759,permit_class,grouped_majority,Res.1&2 or Guest House,1.0,group_majority,True,Accepted,,valid,run_20260625_152341_37_row_000761
764,permit_class,grouped_majority,Res.1&2 or Guest House,1.0,group_majority,True,Accepted,,valid,run_20260625_152341_37_row_000766
774,permit_class,grouped_majority,Res.1&2 or Guest House,1.0,group_majority,True,Accepted,,valid,run_20260625_152341_37_row_000776
778,permit_class,grouped_majority,Res.1&2 or Guest House,1.0,group_majority,True,Accepted,,valid,run_20260625_152341_37_row_000780
