antecedents,consequents,support,confidence,lift,antecedent_len,predicted_target
building_type=1 to 2 Family,target_input=Res.1&2 or Guest House,0.7281156258521952,1.0,1.3734082397003746,1,Res.1&2 or Guest House
"building_type=1 to 2 Family, total_units_group=1",target_input=Res.1&2 or Guest House,0.6463048813744205,1.0,1.3734082397003746,2,Res.1&2 or Guest House
"building_type=1 to 2 Family, total_sf_nonzero=zero",target_input=Res.1&2 or Guest House,0.5590400872647941,1.0,1.3734082397003746,2,Res.1&2 or Guest House
"building_type=1 to 2 Family, total_sf_nonzero=zero, total_units_group=1",target_input=Res.1&2 or Guest House,0.5301336242159803,1.0,1.3734082397003746,3,Res.1&2 or Guest House
"building_type=1 to 2 Family, const_type=Alteration/Remodel",target_input=Res.1&2 or Guest House,0.492500681756204,1.0,1.3734082397003746,2,Res.1&2 or Guest House
"building_type=1 to 2 Family, const_type=Alteration/Remodel, total_units_group=1",target_input=Res.1&2 or Guest House,0.45868557403872373,1.0,1.3734082397003746,3,Res.1&2 or Guest House
"building_type=1 to 2 Family, const_type=Alteration/Remodel, total_sf_nonzero=zero",target_input=Res.1&2 or Guest House,0.4548677392964276,1.0,1.3734082397003746,3,Res.1&2 or Guest House
"building_type=1 to 2 Family, const_type=Alteration/Remodel, total_sf_nonzero=zero, total_units_group=1",target_input=Res.1&2 or Guest House,0.4333242432506136,1.0,1.3734082397003746,4,Res.1&2 or Guest House
"building_type=1 to 2 Family, valuation_bucket=10000_99999",target_input=Res.1&2 or Guest House,0.2915189528224707,1.0,1.3734082397003746,2,Res.1&2 or Guest House
"building_type=1 to 2 Family, total_units_group=1, valuation_bucket=10000_99999",target_input=Res.1&2 or Guest House,0.28306517589310065,1.0,1.3734082397003746,3,Res.1&2 or Guest House
"building_type=1 to 2 Family, total_sf_nonzero=zero, valuation_bucket=10000_99999",target_input=Res.1&2 or Guest House,0.2656122170711753,1.0,1.3734082397003746,3,Res.1&2 or Guest House
