raw_permit_id,parser_run_id,input_file_id,output_csv_file_id,csv_row_number,permit_number,building_type,permit_type,const_type,valuation,total_sf,total_units,permit_class,permit_class_clean,permit_number_normalized,building_type_normalized,permit_type_normalized,const_type_normalized,valuation_normalized,total_sf_normalized,total_units_normalized,permit_class_normalized,validation,validation_record_status,validation_building_type_status,validation_const_type_status,validation_permit_class_status,validation_permit_number_status,validation_permit_type_status,validation_total_sf_status,validation_total_units_status,validation_valuation_status,valuation_bucket,total_units_group,total_sf_nonzero
run_20260621_165055_31_row_000002,run_20260621_165055_31,run_20260621_165055_31_input,run_20260621_165055_31_csv,2,CDP930008935,1 to 2 Family,Building,Alteration/Remodel,,,,Res.1&2 or Guest House,Res.1&2 or Guest House,CDP930008935,1 to 2 Family,Building,Alteration/Remodel,,,,Res.1&2 or Guest House,"{'record_status': 'valid', 'fields': {'permit_number': {'status': 'valid', 'raw_value': 'CDP930008935', 'normalized_value': 'CDP930008935', 'messages': []}, 'building_type': {'status': 'valid', 'raw_value': '1 to 2 Family', 'normalized_value': '1 to 2 Family', 'messages': []}, 'permit_type': {'status': 'valid', 'raw_value': 'Building', 'normalized_value': 'Building', 'messages': []}, 'const_type': {'status': 'valid', 'raw_value': 'Alteration/Remodel', 'normalized_value': 'Alteration/Remodel', 'messages': []}, 'valuation': {'status': 'missing', 'raw_value': None, 'normalized_value': None, 'messages': ['Field is missing']}, 'total_sf': {'status': 'missing', 'raw_value': None, 'normalized_value': None, 'messages': ['Field is missing']}, 'total_units': {'status': 'missing', 'raw_value': None, 'normalized_value': None, 'messages': ['Field is missing']}, 'permit_class': {'status': 'valid', 'raw_value': 'Res.1&2 or Guest House', 'normalized_value': 'Res.1&2 or Guest House', 'messages': []}}, 'validated_at': '2026-06-21T16:51:32.499492+00:00'}",valid,valid,valid,valid,valid,valid,missing,missing,missing,missing,missing,missing
run_20260621_165055_31_row_000003,run_20260621_165055_31,run_20260621_165055_31_input,run_20260621_165055_31_csv,3,PRAC20220630040,1 to 2 Family,Revision - Building,New Construction,50000,1029,1,Res.1&2 or Guest House,Res.1&2 or Guest House,PRAC20220630040,1 to 2 Family,Revision - Building,New Construction,50000.0,1029.0,1.0,Res.1&2 or Guest House,"{'record_status': 'valid', 'fields': {'permit_number': {'status': 'valid', 'raw_value': 'PRAC20220630040', 'normalized_value': 'PRAC20220630040', 'messages': []}, 'building_type': {'status': 'valid', 'raw_value': '1 to 2 Family', 'normalized_value': '1 to 2 Family', 'messages': []}, 'permit_type': {'status': 'valid', 'raw_value': 'Revision - Building', 'normalized_value': 'Revision - Building', 'messages': []}, 'const_type': {'status': 'valid', 'raw_value': 'New Construction', 'normalized_value': 'New Construction', 'messages': []}, 'valuation': {'status': 'valid', 'raw_value': '50000', 'normalized_value': 50000.0, 'messages': []}, 'total_sf': {'status': 'valid', 'raw_value': '1029', 'normalized_value': 1029.0, 'messages': []}, 'total_units': {'status': 'valid', 'raw_value': '1', 'normalized_value': 1, 'messages': []}, 'permit_class': {'status': 'valid', 'raw_value': 'Res.1&2 or Guest House', 'normalized_value': 'Res.1&2 or Guest House', 'messages': []}}, 'validated_at': '2026-06-21T16:51:32.499672+00:00'}",valid,valid,valid,valid,valid,valid,valid,valid,valid,10000_99999,1,nonzero
run_20260621_165055_31_row_000004,run_20260621_165055_31,run_20260621_165055_31_input,run_20260621_165055_31_csv,4,PRAC20221047469,1 to 2 Family,Revision - Building,Addition,1,0,1,Res.1&2 or Guest House,Res.1&2 or Guest House,PRAC20221047469,1 to 2 Family,Revision - Building,Addition,1.0,0.0,1.0,Res.1&2 or Guest House,"{'record_status': 'valid', 'fields': {'permit_number': {'status': 'valid', 'raw_value': 'PRAC20221047469', 'normalized_value': 'PRAC20221047469', 'messages': []}, 'building_type': {'status': 'valid', 'raw_value': '1 to 2 Family', 'normalized_value': '1 to 2 Family', 'messages': []}, 'permit_type': {'status': 'valid', 'raw_value': 'Revision - Building', 'normalized_value': 'Revision - Building', 'messages': []}, 'const_type': {'status': 'valid', 'raw_value': 'Addition', 'normalized_value': 'Addition', 'messages': []}, 'valuation': {'status': 'valid', 'raw_value': '1', 'normalized_value': 1.0, 'messages': []}, 'total_sf': {'status': 'valid', 'raw_value': '0', 'normalized_value': 0.0, 'messages': []}, 'total_units': {'status': 'valid', 'raw_value': '1', 'normalized_value': 1, 'messages': []}, 'permit_class': {'status': 'valid', 'raw_value': 'Res.1&2 or Guest House', 'normalized_value': 'Res.1&2 or Guest House', 'messages': []}}, 'validated_at': '2026-06-21T16:51:32.499840+00:00'}",valid,valid,valid,valid,valid,valid,valid,valid,valid,le_1,1,zero
run_20260621_165055_31_row_000005,run_20260621_165055_31,run_20260621_165055_31_input,run_20260621_165055_31_csv,5,PRAC20230309581,1 to 2 Family,Revision - Building,New Construction,0,0,0,Res.1&2 or Guest House,Res.1&2 or Guest House,PRAC20230309581,1 to 2 Family,Revision - Building,New Construction,0.0,0.0,0.0,Res.1&2 or Guest House,"{'record_status': 'valid', 'fields': {'permit_number': {'status': 'valid', 'raw_value': 'PRAC20230309581', 'normalized_value': 'PRAC20230309581', 'messages': []}, 'building_type': {'status': 'valid', 'raw_value': '1 to 2 Family', 'normalized_value': '1 to 2 Family', 'messages': []}, 'permit_type': {'status': 'valid', 'raw_value': 'Revision - Building', 'normalized_value': 'Revision - Building', 'messages': []}, 'const_type': {'status': 'valid', 'raw_value': 'New Construction', 'normalized_value': 'New Construction', 'messages': []}, 'valuation': {'status': 'valid', 'raw_value': '0', 'normalized_value': 0.0, 'messages': []}, 'total_sf': {'status': 'valid', 'raw_value': '0', 'normalized_value': 0.0, 'messages': []}, 'total_units': {'status': 'valid', 'raw_value': '0', 'normalized_value': 0, 'messages': []}, 'permit_class': {'status': 'valid', 'raw_value': 'Res.1&2 or Guest House', 'normalized_value': 'Res.1&2 or Guest House', 'messages': []}}, 'validated_at': '2026-06-21T16:51:32.499979+00:00'}",valid,valid,valid,valid,valid,valid,valid,valid,valid,le_1,0,zero
run_20260621_165055_31_row_000006,run_20260621_165055_31,run_20260621_165055_31_input,run_20260621_165055_31_csv,6,PRAC20230939630,1 to 2 Family,Revision - Building,New Construction,6700,1026,1,Res.1&2 or Guest House,Res.1&2 or Guest House,PRAC20230939630,1 to 2 Family,Revision - Building,New Construction,6700.0,1026.0,1.0,Res.1&2 or Guest House,"{'record_status': 'valid', 'fields': {'permit_number': {'status': 'valid', 'raw_value': 'PRAC20230939630', 'normalized_value': 'PRAC20230939630', 'messages': []}, 'building_type': {'status': 'valid', 'raw_value': '1 to 2 Family', 'normalized_value': '1 to 2 Family', 'messages': []}, 'permit_type': {'status': 'valid', 'raw_value': 'Revision - Building', 'normalized_value': 'Revision - Building', 'messages': []}, 'const_type': {'status': 'valid', 'raw_value': 'New Construction', 'normalized_value': 'New Construction', 'messages': []}, 'valuation': {'status': 'valid', 'raw_value': '6700', 'normalized_value': 6700.0, 'messages': []}, 'total_sf': {'status': 'valid', 'raw_value': '1026', 'normalized_value': 1026.0, 'messages': []}, 'total_units': {'status': 'valid', 'raw_value': '1', 'normalized_value': 1, 'messages': []}, 'permit_class': {'status': 'valid', 'raw_value': 'Res.1&2 or Guest House', 'normalized_value': 'Res.1&2 or Guest House', 'messages': []}}, 'validated_at': '2026-06-21T16:51:32.500108+00:00'}",valid,valid,valid,valid,valid,valid,valid,valid,valid,1000_9999,1,nonzero
run_20260621_165055_31_row_000007,run_20260621_165055_31,run_20260621_165055_31_input,run_20260621_165055_31_csv,7,PRAC20231249236,1 to 2 Family,Revision - Building,Alteration/Remodel,50,0,0,Res.1&2 or Guest House,Res.1&2 or Guest House,PRAC20231249236,1 to 2 Family,Revision - Building,Alteration/Remodel,50.0,0.0,0.0,Res.1&2 or Guest House,"{'record_status': 'valid', 'fields': {'permit_number': {'status': 'valid', 'raw_value': 'PRAC20231249236', 'normalized_value': 'PRAC20231249236', 'messages': []}, 'building_type': {'status': 'valid', 'raw_value': '1 to 2 Family', 'normalized_value': '1 to 2 Family', 'messages': []}, 'permit_type': {'status': 'valid', 'raw_value': 'Revision - Building', 'normalized_value': 'Revision - Building', 'messages': []}, 'const_type': {'status': 'valid', 'raw_value': 'Alteration/Remodel', 'normalized_value': 'Alteration/Remodel', 'messages': []}, 'valuation': {'status': 'valid', 'raw_value': '50', 'normalized_value': 50.0, 'messages': []}, 'total_sf': {'status': 'valid', 'raw_value': '0', 'normalized_value': 0.0, 'messages': []}, 'total_units': {'status': 'valid', 'raw_value': '0', 'normalized_value': 0, 'messages': []}, 'permit_class': {'status': 'valid', 'raw_value': 'Res.1&2 or Guest House', 'normalized_value': 'Res.1&2 or Guest House', 'messages': []}}, 'validated_at': '2026-06-21T16:51:32.500236+00:00'}",valid,valid,valid,valid,valid,valid,valid,valid,valid,2_999,0,zero
run_20260621_165055_31_row_000008,run_20260621_165055_31,run_20260621_165055_31_input,run_20260621_165055_31_csv,8,PRAC20240207013,1 to 2 Family,Revision - Building,New Construction,500,0,1,Res.1&2 or Guest House,Res.1&2 or Guest House,PRAC20240207013,1 to 2 Family,Revision - Building,New Construction,500.0,0.0,1.0,Res.1&2 or Guest House,"{'record_status': 'valid', 'fields': {'permit_number': {'status': 'valid', 'raw_value': 'PRAC20240207013', 'normalized_value': 'PRAC20240207013', 'messages': []}, 'building_type': {'status': 'valid', 'raw_value': '1 to 2 Family', 'normalized_value': '1 to 2 Family', 'messages': []}, 'permit_type': {'status': 'valid', 'raw_value': 'Revision - Building', 'normalized_value': 'Revision - Building', 'messages': []}, 'const_type': {'status': 'valid', 'raw_value': 'New Construction', 'normalized_value': 'New Construction', 'messages': []}, 'valuation': {'status': 'valid', 'raw_value': '500', 'normalized_value': 500.0, 'messages': []}, 'total_sf': {'status': 'valid', 'raw_value': '0', 'normalized_value': 0.0, 'messages': []}, 'total_units': {'status': 'valid', 'raw_value': '1', 'normalized_value': 1, 'messages': []}, 'permit_class': {'status': 'valid', 'raw_value': 'Res.1&2 or Guest House', 'normalized_value': 'Res.1&2 or Guest House', 'messages': []}}, 'validated_at': '2026-06-21T16:51:32.500359+00:00'}",valid,valid,valid,valid,valid,valid,valid,valid,valid,2_999,1,zero
run_20260621_165055_31_row_000009,run_20260621_165055_31,run_20260621_165055_31_input,run_20260621_165055_31_csv,9,PRAC20240312108,1 to 2 Family,Revision - Building,New Construction,1,0,1,Not Identified,,PRAC20240312108,1 to 2 Family,Revision - Building,New Construction,1.0,0.0,1.0,,"{'record_status': 'valid', 'fields': {'permit_number': {'status': 'valid', 'raw_value': 'PRAC20240312108', 'normalized_value': 'PRAC20240312108', 'messages': []}, 'building_type': {'status': 'valid', 'raw_value': '1 to 2 Family', 'normalized_value': '1 to 2 Family', 'messages': []}, 'permit_type': {'status': 'valid', 'raw_value': 'Revision - Building', 'normalized_value': 'Revision - Building', 'messages': []}, 'const_type': {'status': 'valid', 'raw_value': 'New Construction', 'normalized_value': 'New Construction', 'messages': []}, 'valuation': {'status': 'valid', 'raw_value': '1', 'normalized_value': 1.0, 'messages': []}, 'total_sf': {'status': 'valid', 'raw_value': '0', 'normalized_value': 0.0, 'messages': []}, 'total_units': {'status': 'valid', 'raw_value': '1', 'normalized_value': 1, 'messages': []}, 'permit_class': {'status': 'missing', 'raw_value': 'Not Identified', 'normalized_value': None, 'messages': ['Field is missing']}}, 'validated_at': '2026-06-21T16:51:32.500523+00:00'}",valid,valid,valid,missing,valid,valid,valid,valid,valid,le_1,1,zero
run_20260621_165055_31_row_000010,run_20260621_165055_31,run_20260621_165055_31_input,run_20260621_165055_31_csv,10,PRAC20240519890,Commercial,Revision - Building,New Construction,1,0,1,Not Identified,,PRAC20240519890,Commercial,Revision - Building,New Construction,1.0,0.0,1.0,,"{'record_status': 'valid', 'fields': {'permit_number': {'status': 'valid', 'raw_value': 'PRAC20240519890', 'normalized_value': 'PRAC20240519890', 'messages': []}, 'building_type': {'status': 'valid', 'raw_value': 'Commercial', 'normalized_value': 'Commercial', 'messages': []}, 'permit_type': {'status': 'valid', 'raw_value': 'Revision - Building', 'normalized_value': 'Revision - Building', 'messages': []}, 'const_type': {'status': 'valid', 'raw_value': 'New Construction', 'normalized_value': 'New Construction', 'messages': []}, 'valuation': {'status': 'valid', 'raw_value': '1', 'normalized_value': 1.0, 'messages': []}, 'total_sf': {'status': 'valid', 'raw_value': '0', 'normalized_value': 0.0, 'messages': []}, 'total_units': {'status': 'valid', 'raw_value': '1', 'normalized_value': 1, 'messages': []}, 'permit_class': {'status': 'missing', 'raw_value': 'Not Identified', 'normalized_value': None, 'messages': ['Field is missing']}}, 'validated_at': '2026-06-21T16:51:32.500652+00:00'}",valid,valid,valid,missing,valid,valid,valid,valid,valid,le_1,1,zero
run_20260621_165055_31_row_000011,run_20260621_165055_31,run_20260621_165055_31_input,run_20260621_165055_31_csv,11,PRAC20240520675,1 to 2 Family,Revision - Building,New Construction,1,0,1,Res.1&2 or Guest House,Res.1&2 or Guest House,PRAC20240520675,1 to 2 Family,Revision - Building,New Construction,1.0,0.0,1.0,Res.1&2 or Guest House,"{'record_status': 'valid', 'fields': {'permit_number': {'status': 'valid', 'raw_value': 'PRAC20240520675', 'normalized_value': 'PRAC20240520675', 'messages': []}, 'building_type': {'status': 'valid', 'raw_value': '1 to 2 Family', 'normalized_value': '1 to 2 Family', 'messages': []}, 'permit_type': {'status': 'valid', 'raw_value': 'Revision - Building', 'normalized_value': 'Revision - Building', 'messages': []}, 'const_type': {'status': 'valid', 'raw_value': 'New Construction', 'normalized_value': 'New Construction', 'messages': []}, 'valuation': {'status': 'valid', 'raw_value': '1', 'normalized_value': 1.0, 'messages': []}, 'total_sf': {'status': 'valid', 'raw_value': '0', 'normalized_value': 0.0, 'messages': []}, 'total_units': {'status': 'valid', 'raw_value': '1', 'normalized_value': 1, 'messages': []}, 'permit_class': {'status': 'valid', 'raw_value': 'Res.1&2 or Guest House', 'normalized_value': 'Res.1&2 or Guest House', 'messages': []}}, 'validated_at': '2026-06-21T16:51:32.500779+00:00'}",valid,valid,valid,valid,valid,valid,valid,valid,valid,le_1,1,zero
