row_index,target_field,algorithm,predicted_value,confidence,prediction_source,passes_threshold,candidate_status,rejection_reason,validation_record_status,raw_permit_id
3,permit_type,grouped_majority,Building Permit No Plan Check,0.7525,group_majority,True,Accepted,,valid,run_20260625_175736_1038_row_000005
7,permit_type,grouped_majority,Building Permit No Plan Check,0.7525,group_majority,True,Accepted,,valid,run_20260625_175736_1038_row_000009
8,permit_type,grouped_majority,Building Permit No Plan Check,0.7525,group_majority,True,Accepted,,valid,run_20260625_175736_1038_row_000010
9,permit_type,grouped_majority,Building Permit No Plan Check,0.7525,group_majority,True,Accepted,,valid,run_20260625_175736_1038_row_000011
10,permit_type,grouped_majority,Building Permit No Plan Check,0.7525,group_majority,True,Accepted,,valid,run_20260625_175736_1038_row_000012
11,permit_type,grouped_majority,Building Permit No Plan Check,0.7525,group_majority,True,Accepted,,valid,run_20260625_175736_1038_row_000013
15,permit_type,grouped_majority,Building Permit No Plan Check,0.7525,group_majority,True,Accepted,,valid,run_20260625_175736_1038_row_000017
20,permit_type,grouped_majority,Building Permit No Plan Check,0.7525,group_majority,True,Accepted,,valid,run_20260625_175736_1038_row_000022
21,permit_type,grouped_majority,Building Permit No Plan Check,0.7525,group_majority,True,Accepted,,valid,run_20260625_175736_1038_row_000023
25,permit_type,grouped_majority,Building Permit No Plan Check,0.7525,group_majority,True,Accepted,,valid,run_20260625_175736_1038_row_000027
27,permit_type,grouped_majority,Building Permit No Plan Check,0.8841698841698842,group_majority,True,Accepted,,valid,run_20260625_175736_1038_row_000029
28,permit_type,grouped_majority,Building Permit No Plan Check,0.7525,group_majority,True,Accepted,,valid,run_20260625_175736_1038_row_000030
30,permit_type,grouped_majority,Building Permit No Plan Check,0.8841698841698842,group_majority,True,Accepted,,valid,run_20260625_175736_1038_row_000032
34,permit_type,grouped_majority,Building Permit No Plan Check,0.7525,group_majority,True,Accepted,,valid,run_20260625_175736_1038_row_000036
36,permit_type,grouped_majority,Building Permit No Plan Check,0.8841698841698842,group_majority,True,Accepted,,valid,run_20260625_175736_1038_row_000038
38,permit_type,grouped_majority,Building Permit No Plan Check,0.7525,group_majority,True,Accepted,,valid,run_20260625_175736_1038_row_000040
40,permit_type,grouped_majority,Building Permit No Plan Check,0.8841698841698842,group_majority,True,Accepted,,valid,run_20260625_175736_1038_row_000042
43,permit_type,grouped_majority,Building Permit No Plan Check,0.7525,group_majority,True,Accepted,,valid,run_20260625_175736_1038_row_000045
46,permit_type,grouped_majority,Building Permit No Plan Check,0.7525,group_majority,True,Accepted,,valid,run_20260625_175736_1038_row_000048
49,permit_type,grouped_majority,Building Permit No Plan Check,0.8841698841698842,group_majority,True,Accepted,,valid,run_20260625_175736_1038_row_000051
50,permit_type,grouped_majority,Building Permit No Plan Check,0.7525,group_majority,True,Accepted,,valid,run_20260625_175736_1038_row_000052
51,permit_type,grouped_majority,Building Permit No Plan Check,0.7525,group_majority,True,Accepted,,valid,run_20260625_175736_1038_row_000053
52,permit_type,grouped_majority,Building Permit No Plan Check,0.7525,group_majority,True,Accepted,,valid,run_20260625_175736_1038_row_000054
56,permit_type,grouped_majority,Building Permit No Plan Check,0.7525,group_majority,True,Accepted,,valid,run_20260625_175736_1038_row_000058
58,permit_type,grouped_majority,Building Permit No Plan Check,0.8841698841698842,group_majority,True,Accepted,,valid,run_20260625_175736_1038_row_000060
63,permit_type,grouped_majority,Building Permit No Plan Check,0.7525,group_majority,True,Accepted,,valid,run_20260625_175736_1038_row_000065
67,permit_type,grouped_majority,Building Permit With Plan Check,0.9201680672268907,group_majority,True,Accepted,,valid,run_20260625_175736_1038_row_000069
68,permit_type,grouped_majority,Building Permit No Plan Check,0.7525,group_majority,True,Accepted,,valid,run_20260625_175736_1038_row_000070
72,permit_type,grouped_majority,Building Permit No Plan Check,0.7525,group_majority,True,Accepted,,valid,run_20260625_175736_1038_row_000074
81,permit_type,grouped_majority,Building Permit No Plan Check,0.7525,group_majority,True,Accepted,,valid,run_20260625_175736_1038_row_000083
82,permit_type,grouped_majority,Building Permit No Plan Check,0.7525,group_majority,True,Accepted,,valid,run_20260625_175736_1038_row_000084
85,permit_type,grouped_majority,Building Permit No Plan Check,0.7525,group_majority,True,Accepted,,valid,run_20260625_175736_1038_row_000087
89,permit_type,grouped_majority,Building Permit No Plan Check,0.7525,group_majority,True,Accepted,,valid,run_20260625_175736_1038_row_000091
93,permit_type,grouped_majority,Building Permit No Plan Check,0.8841698841698842,group_majority,True,Accepted,,valid,run_20260625_175736_1038_row_000095
94,permit_type,grouped_majority,Building Permit No Plan Check,0.7525,group_majority,True,Accepted,,valid,run_20260625_175736_1038_row_000096
98,permit_type,grouped_majority,Building Permit No Plan Check,0.7525,group_majority,True,Accepted,,valid,run_20260625_175736_1038_row_000100
106,permit_type,grouped_majority,Building Permit No Plan Check,0.7525,group_majority,True,Accepted,,valid,run_20260625_175736_1038_row_000108
109,permit_type,grouped_majority,Building Permit No Plan Check,0.7525,group_majority,True,Accepted,,valid,run_20260625_175736_1038_row_000111
110,permit_type,grouped_majority,Building Permit No Plan Check,0.8841698841698842,group_majority,True,Accepted,,valid,run_20260625_175736_1038_row_000112
113,permit_type,grouped_majority,Building Permit No Plan Check,0.8841698841698842,group_majority,True,Accepted,,valid,run_20260625_175736_1038_row_000115
114,permit_type,grouped_majority,Building Permit No Plan Check,0.7525,group_majority,True,Accepted,,valid,run_20260625_175736_1038_row_000116
115,permit_type,grouped_majority,Building Permit No Plan Check,0.7525,group_majority,True,Accepted,,valid,run_20260625_175736_1038_row_000117
117,permit_type,grouped_majority,Building Permit No Plan Check,0.7525,group_majority,True,Accepted,,valid,run_20260625_175736_1038_row_000119
121,permit_type,grouped_majority,Building Permit No Plan Check,0.7525,group_majority,True,Accepted,,valid,run_20260625_175736_1038_row_000123
125,permit_type,grouped_majority,Building Permit No Plan Check,0.7525,group_majority,True,Accepted,,valid,run_20260625_175736_1038_row_000127
130,permit_type,grouped_majority,Building Permit No Plan Check,0.7525,group_majority,True,Accepted,,valid,run_20260625_175736_1038_row_000132
131,permit_type,grouped_majority,Building Permit No Plan Check,0.7525,group_majority,True,Accepted,,valid,run_20260625_175736_1038_row_000133
134,permit_type,grouped_majority,Building Permit No Plan Check,0.7525,group_majority,True,Accepted,,valid,run_20260625_175736_1038_row_000136
135,permit_type,grouped_majority,Building Permit No Plan Check,0.7525,group_majority,True,Accepted,,valid,run_20260625_175736_1038_row_000137
136,permit_type,grouped_majority,Building Permit No Plan Check,0.7525,group_majority,True,Accepted,,valid,run_20260625_175736_1038_row_000138
146,permit_type,grouped_majority,Building Permit No Plan Check,0.7525,group_majority,True,Accepted,,valid,run_20260625_175736_1038_row_000148
148,permit_type,grouped_majority,Building Permit No Plan Check,0.7525,group_majority,True,Accepted,,valid,run_20260625_175736_1038_row_000150
151,permit_type,grouped_majority,Building Permit No Plan Check,0.8841698841698842,group_majority,True,Accepted,,valid,run_20260625_175736_1038_row_000153
152,permit_type,grouped_majority,Building Permit No Plan Check,0.7525,group_majority,True,Accepted,,valid,run_20260625_175736_1038_row_000154
155,permit_type,grouped_majority,Building Permit No Plan Check,0.7525,group_majority,True,Accepted,,valid,run_20260625_175736_1038_row_000157
156,permit_type,grouped_majority,Building Permit No Plan Check,0.8841698841698842,group_majority,True,Accepted,,valid,run_20260625_175736_1038_row_000158
161,permit_type,grouped_majority,Building Permit No Plan Check,0.7525,group_majority,True,Accepted,,valid,run_20260625_175736_1038_row_000163
163,permit_type,grouped_majority,Building Permit No Plan Check,0.7525,group_majority,True,Accepted,,valid,run_20260625_175736_1038_row_000165
