antecedents,consequents,support,confidence,lift,antecedent_len,predicted_target
"permit_number_prefix=D, status=Issued, valuation_bucket=le_1",permit_type_input=Demolition,0.010924981791697014,1.0,91.53333333333333,3,Demolition
"permit_number_prefix=D, status=Issued",permit_type_input=Demolition,0.010924981791697014,1.0,91.53333333333333,2,Demolition
"permit_number_prefix=D, valuation_bucket=le_1",permit_type_input=Demolition,0.010924981791697014,1.0,91.53333333333333,2,Demolition
permit_number_prefix=D,permit_type_input=Demolition,0.010924981791697014,1.0,91.53333333333333,1,Demolition
"permit_number_prefix=G, valuation_bucket=le_1",permit_type_input=Grading,0.014566642388929352,1.0,68.65,2,Grading
permit_number_prefix=G,permit_type_input=Grading,0.014566642388929352,1.0,68.65,1,Grading
"permit_number_prefix=G, status=Issued, valuation_bucket=le_1",permit_type_input=Grading,0.013838310269482883,1.0,68.65,3,Grading
"permit_number_prefix=G, status=Issued",permit_type_input=Grading,0.013838310269482883,1.0,68.65,2,Grading
"permit_number_prefix=MISC, valuation_bucket=le_1",permit_type_input=Miscellaneous,0.01747997086671522,1.0,57.208333333333336,2,Miscellaneous
permit_number_prefix=MISC,permit_type_input=Miscellaneous,0.01747997086671522,1.0,57.208333333333336,1,Miscellaneous
"permit_number_prefix=MISC, status=Issued, valuation_bucket=le_1",permit_type_input=Miscellaneous,0.014566642388929352,1.0,57.208333333333336,3,Miscellaneous
"permit_number_prefix=MISC, status=Issued",permit_type_input=Miscellaneous,0.014566642388929352,1.0,57.208333333333336,2,Miscellaneous
"permit_number_prefix=M, valuation_bucket=le_1",permit_type_input=Mechanical,0.12381646030589949,1.0,8.076470588235294,2,Mechanical
permit_number_prefix=M,permit_type_input=Mechanical,0.12381646030589949,1.0,8.076470588235294,1,Mechanical
"permit_number_prefix=M, status=Issued, valuation_bucket=le_1",permit_type_input=Mechanical,0.11798980335032774,1.0,8.076470588235294,3,Mechanical
"permit_number_prefix=M, status=Issued",permit_type_input=Mechanical,0.11798980335032774,1.0,8.076470588235294,2,Mechanical
"description_keywords=mechanical, permit_number_prefix=M, valuation_bucket=le_1",permit_type_input=Mechanical,0.07793153678077203,1.0,8.076470588235294,3,Mechanical
"description_keywords=mechanical, permit_number_prefix=M",permit_type_input=Mechanical,0.07793153678077203,1.0,8.076470588235294,2,Mechanical
"description_keywords=mechanical, permit_number_prefix=M, status=Issued, valuation_bucket=le_1",permit_type_input=Mechanical,0.07501820830298617,1.0,8.076470588235294,4,Mechanical
"description_keywords=mechanical, permit_number_prefix=M, status=Issued",permit_type_input=Mechanical,0.07501820830298617,1.0,8.076470588235294,3,Mechanical
