raw_permit_id,parser_run_id,input_file_id,output_csv_file_id,csv_row_number,address,parcel_number,permit_number,permit_type,description,valuation,status,applied_date,issued_date,contractor_name,permit_type_clean,address_normalized,parcel_number_normalized,permit_number_normalized,permit_type_normalized,description_normalized,valuation_normalized,status_normalized,applied_date_normalized,issued_date_normalized,contractor_name_normalized,validation,validation_record_status,validation_address_status,validation_applied_date_status,validation_contractor_name_status,validation_description_status,validation_issued_date_status,validation_parcel_number_status,validation_permit_number_status,validation_permit_type_status,validation_status_status,validation_valuation_status,permit_number_prefix,description_keywords,valuation_bucket
run_20260625_170932_611_row_000002,run_20260625_170932_611,run_20260625_170932_611_input,run_20260625_170932_611_csv,2,"5832 North Muscatel Avenue Unit B , San Gabriel, California 91775",5387-010-026,B24-47821,Building,"NEW DETACHED ACCESSORY DWELLING UNIT: TWO BEDROOMS, TWO BATHROOMS, LIVING ROOM, KITCHEN/DINING AND FRONT PORCH","$135,103.6",Issued,10-30-2024,09-02-2025,Y W Rising Builder Inc.,Building,"5832 North Muscatel Avenue Unit B , San Gabriel, California 91775",5387-010-026,B24-47821,Building,"NEW DETACHED ACCESSORY DWELLING UNIT: TWO BEDROOMS, TWO BATHROOMS, LIVING ROOM, KITCHEN/DINING AND FRONT PORCH",135103.6,Issued,2024-10-30,2025-09-02,Y W Rising Builder Inc.,"{'record_status': 'valid', 'fields': {'address': {'status': 'valid', 'raw_value': '5832 North Muscatel Avenue Unit B , San Gabriel, California 91775', 'normalized_value': '5832 North Muscatel Avenue Unit B , San Gabriel, California 91775', 'messages': []}, 'parcel_number': {'status': 'valid', 'raw_value': '5387-010-026', 'normalized_value': '5387-010-026', 'messages': []}, 'permit_number': {'status': 'valid', 'raw_value': 'B24-47821', 'normalized_value': 'B24-47821', 'messages': []}, 'permit_type': {'status': 'valid', 'raw_value': 'Building', 'normalized_value': 'Building', 'messages': []}, 'description': {'status': 'valid', 'raw_value': 'NEW DETACHED ACCESSORY DWELLING UNIT: TWO BEDROOMS, TWO BATHROOMS, LIVING ROOM, KITCHEN/DINING AND FRONT PORCH', 'normalized_value': 'NEW DETACHED ACCESSORY DWELLING UNIT: TWO BEDROOMS, TWO BATHROOMS, LIVING ROOM, KITCHEN/DINING AND FRONT PORCH', 'messages': []}, 'valuation': {'status': 'valid', 'raw_value': '$135,103.6', 'normalized_value': 135103.6, 'messages': []}, 'status': {'status': 'valid', 'raw_value': 'Issued', 'normalized_value': 'Issued', 'messages': []}, 'applied_date': {'status': 'valid', 'raw_value': '10-30-2024', 'normalized_value': '2024-10-30', 'messages': []}, 'issued_date': {'status': 'valid', 'raw_value': '09-02-2025', 'normalized_value': '2025-09-02', 'messages': []}, 'contractor_name': {'status': 'valid', 'raw_value': 'Y W Rising Builder Inc.', 'normalized_value': 'Y W Rising Builder Inc.', 'messages': []}}, 'validated_at': '2026-06-25T17:50:56.274273+00:00'}",valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,B,mechanical,100000_plus
run_20260625_170932_611_row_000003,run_20260625_170932_611,run_20260625_170932_611_input,run_20260625_170932_611_csv,3,"5930 Loma Avenue Unit A , Temple City, California 91780",5384-013-003,B25-48522,Building,MAIN HOUSE ADDITION OF 102 SQ.FT. FOR A NEW BATHROOM #2,"$21,380.4",Issued,02-10-2025,09-02-2025,Potato Construction Inc.,Building,"5930 Loma Avenue Unit A , Temple City, California 91780",5384-013-003,B25-48522,Building,MAIN HOUSE ADDITION OF 102 SQ.FT. FOR A NEW BATHROOM #2,21380.4,Issued,2025-02-10,2025-09-02,Potato Construction Inc.,"{'record_status': 'valid', 'fields': {'address': {'status': 'valid', 'raw_value': '5930 Loma Avenue Unit A , Temple City, California 91780', 'normalized_value': '5930 Loma Avenue Unit A , Temple City, California 91780', 'messages': []}, 'parcel_number': {'status': 'valid', 'raw_value': '5384-013-003', 'normalized_value': '5384-013-003', 'messages': []}, 'permit_number': {'status': 'valid', 'raw_value': 'B25-48522', 'normalized_value': 'B25-48522', 'messages': []}, 'permit_type': {'status': 'valid', 'raw_value': 'Building', 'normalized_value': 'Building', 'messages': []}, 'description': {'status': 'valid', 'raw_value': 'MAIN HOUSE ADDITION OF 102 SQ.FT. FOR A NEW BATHROOM #2', 'normalized_value': 'MAIN HOUSE ADDITION OF 102 SQ.FT. FOR A NEW BATHROOM #2', 'messages': []}, 'valuation': {'status': 'valid', 'raw_value': '$21,380.4', 'normalized_value': 21380.4, 'messages': []}, 'status': {'status': 'valid', 'raw_value': 'Issued', 'normalized_value': 'Issued', 'messages': []}, 'applied_date': {'status': 'valid', 'raw_value': '02-10-2025', 'normalized_value': '2025-02-10', 'messages': []}, 'issued_date': {'status': 'valid', 'raw_value': '09-02-2025', 'normalized_value': '2025-09-02', 'messages': []}, 'contractor_name': {'status': 'valid', 'raw_value': 'Potato Construction Inc.', 'normalized_value': 'Potato Construction Inc.', 'messages': []}}, 'validated_at': '2026-06-25T17:50:56.274538+00:00'}",valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,B,addition,10000_99999
run_20260625_170932_611_row_000004,run_20260625_170932_611,run_20260625_170932_611_input,run_20260625_170932_611_csv,4,"5930 Loma Avenue Unit B , Temple City, California 91780",5384-013-003,B25-48523,Building,"NEW DETACHED ACCESSORY DWELLING UNIT: TWO BEDROOMS, TWO BATHROOMS, LIVING ROOM, KITCHEN AND COVERED PORCH","$133,306.28",Issued,02-10-2025,09-02-2025,Potato Construction Inc.,Building,"5930 Loma Avenue Unit B , Temple City, California 91780",5384-013-003,B25-48523,Building,"NEW DETACHED ACCESSORY DWELLING UNIT: TWO BEDROOMS, TWO BATHROOMS, LIVING ROOM, KITCHEN AND COVERED PORCH",133306.28,Issued,2025-02-10,2025-09-02,Potato Construction Inc.,"{'record_status': 'valid', 'fields': {'address': {'status': 'valid', 'raw_value': '5930 Loma Avenue Unit B , Temple City, California 91780', 'normalized_value': '5930 Loma Avenue Unit B , Temple City, California 91780', 'messages': []}, 'parcel_number': {'status': 'valid', 'raw_value': '5384-013-003', 'normalized_value': '5384-013-003', 'messages': []}, 'permit_number': {'status': 'valid', 'raw_value': 'B25-48523', 'normalized_value': 'B25-48523', 'messages': []}, 'permit_type': {'status': 'valid', 'raw_value': 'Building', 'normalized_value': 'Building', 'messages': []}, 'description': {'status': 'valid', 'raw_value': 'NEW DETACHED ACCESSORY DWELLING UNIT: TWO BEDROOMS, TWO BATHROOMS, LIVING ROOM, KITCHEN AND COVERED PORCH', 'normalized_value': 'NEW DETACHED ACCESSORY DWELLING UNIT: TWO BEDROOMS, TWO BATHROOMS, LIVING ROOM, KITCHEN AND COVERED PORCH', 'messages': []}, 'valuation': {'status': 'valid', 'raw_value': '$133,306.28', 'normalized_value': 133306.28, 'messages': []}, 'status': {'status': 'valid', 'raw_value': 'Issued', 'normalized_value': 'Issued', 'messages': []}, 'applied_date': {'status': 'valid', 'raw_value': '02-10-2025', 'normalized_value': '2025-02-10', 'messages': []}, 'issued_date': {'status': 'valid', 'raw_value': '09-02-2025', 'normalized_value': '2025-09-02', 'messages': []}, 'contractor_name': {'status': 'valid', 'raw_value': 'Potato Construction Inc.', 'normalized_value': 'Potato Construction Inc.', 'messages': []}}, 'validated_at': '2026-06-25T17:50:56.274866+00:00'}",valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,B,mechanical,100000_plus
run_20260625_170932_611_row_000005,run_20260625_170932_611,run_20260625_170932_611_input,run_20260625_170932_611_csv,5,"5930 Loma Avenue, Temple City, California 91780",5384-013-003,B25-48524,Building,BUILD A NEW DETACHED 3-CAR GARAGE,"$42,429.59",Issued,02-10-2025,09-02-2025,Potato Construction Inc.,Building,"5930 Loma Avenue, Temple City, California 91780",5384-013-003,B25-48524,Building,BUILD A NEW DETACHED 3-CAR GARAGE,42429.59,Issued,2025-02-10,2025-09-02,Potato Construction Inc.,"{'record_status': 'valid', 'fields': {'address': {'status': 'valid', 'raw_value': '5930 Loma Avenue, Temple City, California 91780', 'normalized_value': '5930 Loma Avenue, Temple City, California 91780', 'messages': []}, 'parcel_number': {'status': 'valid', 'raw_value': '5384-013-003', 'normalized_value': '5384-013-003', 'messages': []}, 'permit_number': {'status': 'valid', 'raw_value': 'B25-48524', 'normalized_value': 'B25-48524', 'messages': []}, 'permit_type': {'status': 'valid', 'raw_value': 'Building', 'normalized_value': 'Building', 'messages': []}, 'description': {'status': 'valid', 'raw_value': 'BUILD A NEW DETACHED 3-CAR GARAGE', 'normalized_value': 'BUILD A NEW DETACHED 3-CAR GARAGE', 'messages': []}, 'valuation': {'status': 'valid', 'raw_value': '$42,429.59', 'normalized_value': 42429.59, 'messages': []}, 'status': {'status': 'valid', 'raw_value': 'Issued', 'normalized_value': 'Issued', 'messages': []}, 'applied_date': {'status': 'valid', 'raw_value': '02-10-2025', 'normalized_value': '2025-02-10', 'messages': []}, 'issued_date': {'status': 'valid', 'raw_value': '09-02-2025', 'normalized_value': '2025-09-02', 'messages': []}, 'contractor_name': {'status': 'valid', 'raw_value': 'Potato Construction Inc.', 'normalized_value': 'Potato Construction Inc.', 'messages': []}}, 'validated_at': '2026-06-25T17:50:56.275147+00:00'}",valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,B,mechanical,10000_99999
run_20260625_170932_611_row_000006,run_20260625_170932_611,run_20260625_170932_611_input,run_20260625_170932_611_csv,6,"4848 Alessandro Avenue, Temple City, California 91780",8590-024-009,B25-49912,Building,REROOF OVER EXISTING WITH COMPO SHINGLES 30 SQ'S.,"$15,000",Finaled,09-02-2025,09-02-2025,Preferred One Roofing,Building,"4848 Alessandro Avenue, Temple City, California 91780",8590-024-009,B25-49912,Building,REROOF OVER EXISTING WITH COMPO SHINGLES 30 SQ'S.,15000.0,Finaled,2025-09-02,2025-09-02,Preferred One Roofing,"{'record_status': 'valid', 'fields': {'address': {'status': 'valid', 'raw_value': '4848 Alessandro Avenue, Temple City, California 91780', 'normalized_value': '4848 Alessandro Avenue, Temple City, California 91780', 'messages': []}, 'parcel_number': {'status': 'valid', 'raw_value': '8590-024-009', 'normalized_value': '8590-024-009', 'messages': []}, 'permit_number': {'status': 'valid', 'raw_value': 'B25-49912', 'normalized_value': 'B25-49912', 'messages': []}, 'permit_type': {'status': 'valid', 'raw_value': 'Building', 'normalized_value': 'Building', 'messages': []}, 'description': {'status': 'valid', 'raw_value': ""REROOF OVER EXISTING WITH COMPO SHINGLES 30 SQ'S."", 'normalized_value': ""REROOF OVER EXISTING WITH COMPO SHINGLES 30 SQ'S."", 'messages': []}, 'valuation': {'status': 'valid', 'raw_value': '$15,000', 'normalized_value': 15000.0, 'messages': []}, 'status': {'status': 'valid', 'raw_value': 'Finaled', 'normalized_value': 'Finaled', 'messages': []}, 'applied_date': {'status': 'valid', 'raw_value': '09-02-2025', 'normalized_value': '2025-09-02', 'messages': []}, 'issued_date': {'status': 'valid', 'raw_value': '09-02-2025', 'normalized_value': '2025-09-02', 'messages': []}, 'contractor_name': {'status': 'valid', 'raw_value': 'Preferred One Roofing', 'normalized_value': 'Preferred One Roofing', 'messages': []}}, 'validated_at': '2026-06-25T17:50:56.275373+00:00'}",valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,B,roof,10000_99999
run_20260625_170932_611_row_000007,run_20260625_170932_611,run_20260625_170932_611_input,run_20260625_170932_611_csv,7,"9103 Rancho Real Road, Temple City, California 91780",5388-002-017,B25-49913,Building,"LIKE FOR LIKE, TILE RESET ON 3900 SQ.FT. OVER EXISTING SHEATHING AND NEW UNDERLAYMENT","$13,650",Issued,09-02-2025,09-02-2025,DLS Development Inc.,Building,"9103 Rancho Real Road, Temple City, California 91780",5388-002-017,B25-49913,Building,"LIKE FOR LIKE, TILE RESET ON 3900 SQ.FT. OVER EXISTING SHEATHING AND NEW UNDERLAYMENT",13650.0,Issued,2025-09-02,2025-09-02,DLS Development Inc.,"{'record_status': 'valid', 'fields': {'address': {'status': 'valid', 'raw_value': '9103 Rancho Real Road, Temple City, California 91780', 'normalized_value': '9103 Rancho Real Road, Temple City, California 91780', 'messages': []}, 'parcel_number': {'status': 'valid', 'raw_value': '5388-002-017', 'normalized_value': '5388-002-017', 'messages': []}, 'permit_number': {'status': 'valid', 'raw_value': 'B25-49913', 'normalized_value': 'B25-49913', 'messages': []}, 'permit_type': {'status': 'valid', 'raw_value': 'Building', 'normalized_value': 'Building', 'messages': []}, 'description': {'status': 'valid', 'raw_value': 'LIKE FOR LIKE, TILE RESET ON 3900 SQ.FT. OVER EXISTING SHEATHING AND NEW UNDERLAYMENT', 'normalized_value': 'LIKE FOR LIKE, TILE RESET ON 3900 SQ.FT. OVER EXISTING SHEATHING AND NEW UNDERLAYMENT', 'messages': []}, 'valuation': {'status': 'valid', 'raw_value': '$13,650', 'normalized_value': 13650.0, 'messages': []}, 'status': {'status': 'valid', 'raw_value': 'Issued', 'normalized_value': 'Issued', 'messages': []}, 'applied_date': {'status': 'valid', 'raw_value': '09-02-2025', 'normalized_value': '2025-09-02', 'messages': []}, 'issued_date': {'status': 'valid', 'raw_value': '09-02-2025', 'normalized_value': '2025-09-02', 'messages': []}, 'contractor_name': {'status': 'valid', 'raw_value': 'DLS Development Inc.', 'normalized_value': 'DLS Development Inc.', 'messages': []}}, 'validated_at': '2026-06-25T17:50:56.275736+00:00'}",valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,B,other,10000_99999
run_20260625_170932_611_row_000008,run_20260625_170932_611,run_20260625_170932_611_input,run_20260625_170932_611_csv,8,"5112 Agnes Avenue, Temple City, California 91780",8589-007-026,E25-49704,Electrical,(3) OUTLETS AND (2) LIGHT FIXTURE,$0,Issued,07-29-2025,09-02-2025,Owner-Builder,Electrical,"5112 Agnes Avenue, Temple City, California 91780",8589-007-026,E25-49704,Electrical,(3) OUTLETS AND (2) LIGHT FIXTURE,0.0,Issued,2025-07-29,2025-09-02,Owner-Builder,"{'record_status': 'valid', 'fields': {'address': {'status': 'valid', 'raw_value': '5112 Agnes Avenue, Temple City, California 91780', 'normalized_value': '5112 Agnes Avenue, Temple City, California 91780', 'messages': []}, 'parcel_number': {'status': 'valid', 'raw_value': '8589-007-026', 'normalized_value': '8589-007-026', 'messages': []}, 'permit_number': {'status': 'valid', 'raw_value': 'E25-49704', 'normalized_value': 'E25-49704', 'messages': []}, 'permit_type': {'status': 'valid', 'raw_value': 'Electrical', 'normalized_value': 'Electrical', 'messages': []}, 'description': {'status': 'valid', 'raw_value': '(3) OUTLETS AND (2) LIGHT FIXTURE', 'normalized_value': '(3) OUTLETS AND (2) LIGHT FIXTURE', 'messages': []}, 'valuation': {'status': 'valid', 'raw_value': '$0', 'normalized_value': 0.0, 'messages': []}, 'status': {'status': 'valid', 'raw_value': 'Issued', 'normalized_value': 'Issued', 'messages': []}, 'applied_date': {'status': 'valid', 'raw_value': '07-29-2025', 'normalized_value': '2025-07-29', 'messages': []}, 'issued_date': {'status': 'valid', 'raw_value': '09-02-2025', 'normalized_value': '2025-09-02', 'messages': []}, 'contractor_name': {'status': 'valid', 'raw_value': 'Owner-Builder', 'normalized_value': 'Owner-Builder', 'messages': []}}, 'validated_at': '2026-06-25T17:50:56.276146+00:00'}",valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,E,other,le_1
run_20260625_170932_611_row_000009,run_20260625_170932_611,run_20260625_170932_611_input,run_20260625_170932_611_csv,9,"5832 North Muscatel Avenue Unit B , San Gabriel, California 91775",5387-010-026,E25-49903,Electrical,ELECTRICAL FOR A NEW DETACHED ACCESSORY DWELLING WITH 200 AMP SERVICE PANEL,$0,Issued,08-27-2025,09-02-2025,Y W Rising Builder Inc.,Electrical,"5832 North Muscatel Avenue Unit B , San Gabriel, California 91775",5387-010-026,E25-49903,Electrical,ELECTRICAL FOR A NEW DETACHED ACCESSORY DWELLING WITH 200 AMP SERVICE PANEL,0.0,Issued,2025-08-27,2025-09-02,Y W Rising Builder Inc.,"{'record_status': 'valid', 'fields': {'address': {'status': 'valid', 'raw_value': '5832 North Muscatel Avenue Unit B , San Gabriel, California 91775', 'normalized_value': '5832 North Muscatel Avenue Unit B , San Gabriel, California 91775', 'messages': []}, 'parcel_number': {'status': 'valid', 'raw_value': '5387-010-026', 'normalized_value': '5387-010-026', 'messages': []}, 'permit_number': {'status': 'valid', 'raw_value': 'E25-49903', 'normalized_value': 'E25-49903', 'messages': []}, 'permit_type': {'status': 'valid', 'raw_value': 'Electrical', 'normalized_value': 'Electrical', 'messages': []}, 'description': {'status': 'valid', 'raw_value': 'ELECTRICAL FOR A NEW DETACHED ACCESSORY DWELLING WITH 200 AMP SERVICE PANEL', 'normalized_value': 'ELECTRICAL FOR A NEW DETACHED ACCESSORY DWELLING WITH 200 AMP SERVICE PANEL', 'messages': []}, 'valuation': {'status': 'valid', 'raw_value': '$0', 'normalized_value': 0.0, 'messages': []}, 'status': {'status': 'valid', 'raw_value': 'Issued', 'normalized_value': 'Issued', 'messages': []}, 'applied_date': {'status': 'valid', 'raw_value': '08-27-2025', 'normalized_value': '2025-08-27', 'messages': []}, 'issued_date': {'status': 'valid', 'raw_value': '09-02-2025', 'normalized_value': '2025-09-02', 'messages': []}, 'contractor_name': {'status': 'valid', 'raw_value': 'Y W Rising Builder Inc.', 'normalized_value': 'Y W Rising Builder Inc.', 'messages': []}}, 'validated_at': '2026-06-25T17:50:56.276553+00:00'}",valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,E,electrical+mechanical,le_1
run_20260625_170932_611_row_000010,run_20260625_170932_611,run_20260625_170932_611_input,run_20260625_170932_611_csv,10,"6244 Hart Avenue, Temple City, California 91780",5384-009-026,E25-49911,Electrical,200 AMP MAIN PANEL UPGRADE AND EV WALL CHARGER HARDWIRE 11.5 KW,$0,Issued,09-02-2025,09-02-2025,MJ Electrical Services,Electrical,"6244 Hart Avenue, Temple City, California 91780",5384-009-026,E25-49911,Electrical,200 AMP MAIN PANEL UPGRADE AND EV WALL CHARGER HARDWIRE 11.5 KW,0.0,Issued,2025-09-02,2025-09-02,MJ Electrical Services,"{'record_status': 'valid', 'fields': {'address': {'status': 'valid', 'raw_value': '6244 Hart Avenue, Temple City, California 91780', 'normalized_value': '6244 Hart Avenue, Temple City, California 91780', 'messages': []}, 'parcel_number': {'status': 'valid', 'raw_value': '5384-009-026', 'normalized_value': '5384-009-026', 'messages': []}, 'permit_number': {'status': 'valid', 'raw_value': 'E25-49911', 'normalized_value': 'E25-49911', 'messages': []}, 'permit_type': {'status': 'valid', 'raw_value': 'Electrical', 'normalized_value': 'Electrical', 'messages': []}, 'description': {'status': 'valid', 'raw_value': '200 AMP MAIN PANEL UPGRADE AND EV WALL CHARGER HARDWIRE 11.5 KW', 'normalized_value': '200 AMP MAIN PANEL UPGRADE AND EV WALL CHARGER HARDWIRE 11.5 KW', 'messages': []}, 'valuation': {'status': 'valid', 'raw_value': '$0', 'normalized_value': 0.0, 'messages': []}, 'status': {'status': 'valid', 'raw_value': 'Issued', 'normalized_value': 'Issued', 'messages': []}, 'applied_date': {'status': 'valid', 'raw_value': '09-02-2025', 'normalized_value': '2025-09-02', 'messages': []}, 'issued_date': {'status': 'valid', 'raw_value': '09-02-2025', 'normalized_value': '2025-09-02', 'messages': []}, 'contractor_name': {'status': 'valid', 'raw_value': 'MJ Electrical Services', 'normalized_value': 'MJ Electrical Services', 'messages': []}}, 'validated_at': '2026-06-25T17:50:56.276910+00:00'}",valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,E,electrical,le_1
run_20260625_170932_611_row_000011,run_20260625_170932_611,run_20260625_170932_611_input,run_20260625_170932_611_csv,11,"4902 Baldwin Avenue Unit A-B , Temple City, California 91780",8585-009-024,E25-49914,Electrical,"(19) OUTLETS, (12) LIGHT FIXTURES, GARBAGE DISPOSAL, DISHWASHER, RANGE HOOD, WASHING MACHINE, EXHAUST FAN , ELECTRICAL WATER HEATER, AC UNIT WITH A 100 AMP SUB-PANEL FOR THE ATTACHED ACCESSORY DWELLING UNIT",$0,Issued,09-02-2025,09-02-2025,Owner-Builder,Electrical,"4902 Baldwin Avenue Unit A-B , Temple City, California 91780",8585-009-024,E25-49914,Electrical,"(19) OUTLETS, (12) LIGHT FIXTURES, GARBAGE DISPOSAL, DISHWASHER, RANGE HOOD, WASHING MACHINE, EXHAUST FAN , ELECTRICAL WATER HEATER, AC UNIT WITH A 100 AMP SUB-PANEL FOR THE ATTACHED ACCESSORY DWELLING UNIT",0.0,Issued,2025-09-02,2025-09-02,Owner-Builder,"{'record_status': 'valid', 'fields': {'address': {'status': 'valid', 'raw_value': '4902 Baldwin Avenue Unit A-B , Temple City, California 91780', 'normalized_value': '4902 Baldwin Avenue Unit A-B , Temple City, California 91780', 'messages': []}, 'parcel_number': {'status': 'valid', 'raw_value': '8585-009-024', 'normalized_value': '8585-009-024', 'messages': []}, 'permit_number': {'status': 'valid', 'raw_value': 'E25-49914', 'normalized_value': 'E25-49914', 'messages': []}, 'permit_type': {'status': 'valid', 'raw_value': 'Electrical', 'normalized_value': 'Electrical', 'messages': []}, 'description': {'status': 'valid', 'raw_value': '(19) OUTLETS, (12) LIGHT FIXTURES, GARBAGE DISPOSAL, DISHWASHER, RANGE HOOD, WASHING MACHINE, EXHAUST FAN , ELECTRICAL WATER HEATER, AC UNIT WITH A 100 AMP SUB-PANEL FOR THE ATTACHED ACCESSORY DWELLING UNIT', 'normalized_value': '(19) OUTLETS, (12) LIGHT FIXTURES, GARBAGE DISPOSAL, DISHWASHER, RANGE HOOD, WASHING MACHINE, EXHAUST FAN , ELECTRICAL WATER HEATER, AC UNIT WITH A 100 AMP SUB-PANEL FOR THE ATTACHED ACCESSORY DWELLING UNIT', 'messages': []}, 'valuation': {'status': 'valid', 'raw_value': '$0', 'normalized_value': 0.0, 'messages': []}, 'status': {'status': 'valid', 'raw_value': 'Issued', 'normalized_value': 'Issued', 'messages': []}, 'applied_date': {'status': 'valid', 'raw_value': '09-02-2025', 'normalized_value': '2025-09-02', 'messages': []}, 'issued_date': {'status': 'valid', 'raw_value': '09-02-2025', 'normalized_value': '2025-09-02', 'messages': []}, 'contractor_name': {'status': 'valid', 'raw_value': 'Owner-Builder', 'normalized_value': 'Owner-Builder', 'messages': []}}, 'validated_at': '2026-06-25T17:50:56.277237+00:00'}",valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,valid,E,plumbing+electrical+mechanical,le_1
